F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
192368579868.12442,24550.12717490935,7440269.373079229,2112903.689619607,332046573.22141093,16553868294.900742,11653135188.060303,17394.15050916117,161726.5445948796,23409.524719122634
199379351520.40375,23143.248734197456,7065805.281096502,1831529.9683972434,355339247.3171096,16457921718.20775,19003684782.691788,21298.701437513224,150624.86031309923,24961.191218587366
193135658129.47256,25905.125486911136,6879478.850746617,2338472.5236548395,371614245.89843065,27203204471.83608,12635672456.442535,17085.515989533567,155642.30147180354,25816.374473320055
214972486070.38562,23883.085332007897,7072000.094060523,1874013.5646241235,512996712.37426317,19230354934.786705,15871587879.015854,18530.027079370062,159717.7523021248,27604.715844462637
201415481128.271,24225.128613289366,8001944.516448783,2391535.3946637465,649205555.0058478,20621362867.806564,11278473970.49448,18562.300553784407,155270.1739749797,25450.94318476253
201643752890.88336,22952.473285303615,7449038.91379208,2172572.266007749,474090214.7982217,16765746492.820606,16727793688.567518,21486.821934004063,150358.30775419797,30359.451384506556
226565292407.76895,23353.28535011118,7687700.475283575,2382474.6375517775,305931181.4142536,17315053110.138165,16941052296.018127,17272.892069366168,158412.09314987436,26732.519059005645
201544465637.3227,21404.830713330375,7091764.177749571,2428436.861082737,286297181.3160875,9066854288.820576,12812833885.946827,19034.241189188906,151306.45798981446,25454.78372409408
190204229918.77106,21707.55410058312,7676232.859246958,2254401.8660517936,621345915.2314545,13043822221.307323,9171803877.591215,20048.78666990756,158607.7705804759,25238.23652627922
184061734490.85947,23393.35161502997,7540850.599034208,2744663.3713153074,272435402.01353425,19428101929.65355,21539636735.499844,15754.63047032302,150712.28293128882,27353.858742952136
198144625242.5841,24311.43429921379,7725338.111075279,1858477.1510227858,495627051.3068324,16341318039.675478,17838040264.02182,19014.04707499022,155726.5247468614,27447.22531777148
202650325757.13092,23942.64476401666,7280856.434139087,2134286.8307125787,496374401.0218249,12721790691.070017,15695818287.63844,19922.627966524327,158022.2151596467,27652.927153644072
178032828106.18088,17410.92162253927,7926427.211252926,2105778.390420353,574086714.0419711,25592308065.34023,12755345073.384119,19835.763185794527,151766.24327334124,26784.17775980284
198575304645.693,22443.5661586571,7607705.898784307,1356883.1875830193,616555237.0450491,12983860628.20463,17113141516.233505,19602.69773707744,162510.3011359279,22023.598226427148
193597221585.67603,23373.37718627188,7661608.79321052,1946569.3595647225,465724162.0402495,25612845436.32916,15856770219.889732,16752.459370335775,156261.34225042743,25485.48523730179
192830655216.81998,25114.180805647466,7158307.93603939,1425399.9299674756,342305562.7694062,9295987083.566387,22439870772.048714,17843.144155859198,154705.57182875692,25252.367249897274
189402601756.74713,21421.280098155108,7206932.519606488,1543945.3186146412,514115907.0580211,14915654730.979403,12130480303.683449,18579.33329324638,162043.06935075056,26003.943501927657
186018172637.2524,18821.822544487786,7100318.203171419,2085225.6016299117,437763256.95870686,20775171429.656208,12663443053.661217,17744.494932159418,158048.17066492938,26064.017631168226
206522861653.98032,20243.57248355975,6751027.910960171,1539720.7369895587,406100865.2804429,25606119868.94716,21148416777.964012,16938.528020646496,162621.38287931925,25388.421716199115
203594878997.3559,20616.261217747844,7307290.875044502,1644927.0259747661,505198156.18249,26560649674.213924,10601426102.368767,20017.8325898001,155482.4465206699,31613.90820649572
195998718005.5576,21078.187372827855,6961423.2893312555,2138702.6804388845,333553115.06407994,13211345735.275162,18361791871.81391,18785.515990650332,149280.12107837558,25266.374228633093
194055456764.62183,22556.727202864506,6851224.077302436,1791035.454954285,379895229.002265,11876143223.649109,17381923979.10959,23549.151845031785,148482.19316361897,24059.75359095628
205060624212.0307,25611.824704245893,7834216.043582123,2906630.0328661194,528917493.83701545,16841472291.93188,16412005191.271646,19814.357823880746,155020.28748825516,21105.952711352376
189099092020.71198,24045.669958821814,8101998.400494416,2056208.4883862396,695851462.8926837,22954211083.654495,20107609887.475792,19316.144944769076,154164.41748778243,25584.937546364916
186905819578.02283,18946.87208560381,7350269.476828791,1730300.7967743208,471834686.02395344,16993709489.10819,9939280015.534897,19919.36717861383,152549.19885963702,24961.031966829058
