F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
1760403988.8008106,2606.2640199811212,79778.90478821883,2336.3995468993944,21491497.157565612,46725.69824862028,36243497.1677376,9226.113267391309,19163.222081132946,4409.840589917963
3377852923.9597173,19598.903296856428,110169.94619508159,2230.2991545391533,31327120.104222115,802358.6929460992,14281288.810247052,6013.584554250805,10067.286330523242,4186.639214464414
3090375398.721724,24777.770719154556,84092.11888459975,2256.4253651370673,43234848.78333502,103892.94307249703,17304541.45538702,6293.547257673103,17958.64962593074,4256.536780163802
2045125970.5038927,23512.38983972608,111636.87864424658,2296.1190795971,40015067.448800966,106369.02401455073,21819422.868488625,4836.091312676791,14527.893915430795,4701.408217279563
1581478860.137961,22425.815273000706,86490.03000841847,2253.2854424373786,43175063.18520271,531183.9182081019,17659197.709457356,3118.740743616835,13878.804667907953,4215.8782994177
2345175141.4096813,18194.720030073066,76742.96259884769,2160.469778323313,25609772.89807167,62229.79889603336,25416997.29806603,11611.492338847951,14752.500931584702,4182.126233456485
3224716331.2367926,17619.128630053667,129154.39184297835,2350.3245916694314,21077798.86739946,834826.8399699243,12674156.763898432,6301.066756531968,17636.75152528321,4552.149809316113
2504507539.36592,6664.623177877867,86404.3729937778,2265.377388659661,36209856.54466235,982957.7893566919,16297828.587726597,8320.367240055013,12857.4826554584,4126.286748955878
2152661674.89353,23245.922000108803,100736.56776665957,2237.28290312783,38313179.36265622,82867.28092771799,29795506.10669729,5108.892891570273,16272.614863470457,4031.713138379116
3600106228.4267607,22906.561598984244,78832.75183348721,2253.4906063319486,22780435.528886285,472741.6895116949,14993095.978390936,7081.807205074912,21567.079874186653,4066.9538132717707
2406404077.8409157,3998.977496742751,90082.42207623472,2509.335771206154,17316537.508787394,173005.1793739027,13958208.774801979,7984.080035701373,28699.481266344494,5102.955393124382
2999420432.2838206,22927.781423726105,112336.00131982133,2235.874956605568,34963665.08604668,228253.4652787279,11862310.262109876,4062.1860920229183,12929.794744725072,3844.8216135135763
2142513277.0168335,21239.69955783597,133045.9992496226,2273.4427633444334,16861823.956104383,199928.38161127383,11339019.696614197,3791.165711003958,41781.485246931916,4258.6971141091
2149649042.996953,17764.060919636602,110395.91087110537,2329.9384652031717,26481407.723598965,141759.99649656494,21812649.19094461,4770.817917286236,20576.867000968185,4182.203595300648
4231422911.4572067,19537.445293937326,54280.65166816261,2275.3497935840037,10845483.875498012,766730.3691735935,20519349.04577063,7662.1583019981945,10936.647576205476,4112.849776155608
3891976171.8846207,19833.656357070202,167826.75336885772,2267.9165722700764,22118869.279929582,96165.05198684675,16409079.660482425,5283.4700058085145,16270.150444779545,4212.5703908923115
3364848419.8055296,16700.76938139052,76924.52208253951,2291.848597741081,43662810.08039348,1002267.6896942764,6701936.09404272,8838.019398053784,10575.854879810859,4438.868861323627
1566611354.8990557,23226.673702837958,83364.59399378745,2263.276390371757,26290132.115276355,166242.55277832656,21339860.253477495,8048.7065276729345,17884.79445862995,4073.4713378746674
2603875569.060831,12814.724919373122,83411.88308868239,2756.3262462841612,31847722.33357537,130319.89309987507,24286070.82011944,5874.733589186179,17785.00786124976,4436.839572330692
2946521073.851373,18047.969131367885,68015.31562048676,2588.716083390684,20278121.080777988,217343.0760466804,57229030.89062756,3573.714109436022,9181.460364417087,4039.2920929202905
3472127834.711008,8225.82432594266,104245.35775849578,2335.698411031885,20693530.194158822,108350.19884367095,19194322.12318424,5083.569232396683,15749.414359631817,4211.028287232188
2407481969.8826246,22037.657016654914,66795.0547190827,2214.4116430851905,27167514.83501906,386679.9446919379,8965308.266105164,8714.138907303131,16939.87080983732,4501.990280146107
2605360099.881198,18743.217198724396,101658.69894807212,2340.150190792695,34462031.00231274,156880.625873471,17098287.465558566,8322.839467229955,10447.961326972078,4313.697820925804
1827071509.853098,18055.587933966723,88017.26823404172,2336.905317349184,30393927.42735685,115338.98306791615,12925425.128146391,4218.001470645828,14771.472282949495,4265.957996645198
2294854398.3619847,17138.6325820683,74363.96074626577,2261.2397473819815,27975492.113393117,90084.72611033494,8887643.204936204,7454.083821620432,15062.697741320191,4628.637910198551
