F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
242691691032.26602,24587.988294594517,9934416.675522149,5080934.75681852,1659777935.492924,48138149163.65351,43279960856.651955,21390.909363468545,183189.54336160386,37687.152202436846
248851452689.7652,25034.03060321818,9874844.673658878,4800774.776607539,966013760.1147614,26394343401.49423,37781349808.804886,22910.678740191626,181194.7510927766,36824.60469511919
263879426141.6534,24954.986988836743,10181294.754341535,6947796.504016356,1037999529.9909385,60620893129.140236,46363258911.729935,20650.832681752127,173832.3401305724,42406.35419986569
242733963021.94275,27347.32180891071,10387785.404418252,7945672.153852688,1145855371.5219555,19846203759.845127,28943340192.986122,22656.54742269199,180101.96861718374,37708.79386393642
248016496290.96378,22547.470935645175,8909085.70097671,8084942.0203907415,1271469696.3998783,39224732132.06612,36759760468.97351,24376.06746858838,180835.96222955588,46130.850904165905
239272132597.16733,25819.73125671697,9498461.724397028,6954812.996597896,2461180563.993696,34832775354.873245,44699411202.642624,24852.32310876596,183902.4273909495,38860.05645630115
237282929239.65778,25646.229971998975,10785470.58226305,7124480.134335787,1878921333.577397,33515261850.832333,41059242326.32228,17926.795357915027,180766.99390799386,40152.802649349695
268415516947.85263,24483.839665284504,9890998.743845355,8297566.744465499,1354894455.5416033,51763535445.986496,44614125568.49672,22279.33149068237,178482.5941528374,39612.315318281
248639912191.60995,26063.857608792918,10631632.55136126,6000437.833723663,849068448.9544486,14721126825.99512,46553436600.4653,23801.591099805046,191618.065901451,49349.11101656027
264367153852.3681,23732.87545734571,9484949.147682529,5336008.1429600855,1457690842.9822705,39055964710.58358,22300000962.372185,23772.59036758128,180609.58919505455,37233.84843334369
253589059061.27634,22694.57805524871,10483412.109670915,6231171.59011641,1173247227.0086427,41160106132.95374,19217154499.9728,21668.587101995145,170858.09706288268,40077.93441883255
261150340242.15738,26164.864312799742,9584820.943309452,9222307.927349713,785985332.8941245,40937523800.95932,43126393504.34969,18940.23206672933,185054.81354604708,43798.648849667516
255106734460.57913,26776.840707320807,9754671.598345742,9007990.591761576,1248916627.2293952,34877982040.1,26372264299.79959,23433.60679895108,179414.8338456404,48748.737245861324
274154907849.50845,25422.7585841939,8974978.405288758,8915556.876893032,803372514.5859344,52962142133.213135,31603578990.174595,20523.208278795297,186298.48381706985,43136.18812068394
262055797813.98056,21540.840331957035,9974909.445709877,6617152.24657989,1530563445.8437424,53109859326.48305,18048471380.22544,21309.23556551896,179694.69823895075,50737.09430569514
268510142378.76968,26955.048852746346,9002115.046673942,9539065.76047669,1556032999.8920865,39091939808.7664,25465374846.96122,24033.756011463865,180733.2244666249,40193.163577464176
270550221765.23648,24280.02909887577,9519136.49886976,5294759.416596538,1517598365.3948743,60264339141.31029,32766277706.134163,19085.914107790355,183890.05459110544,43261.52840376498
236426174360.79764,24124.262755213374,9448687.585220776,5432993.685599418,1952998623.6691744,38689714808.02291,26563163125.644215,22498.594782165714,186337.24527941088,37539.65415403386
254294057250.8888,25992.270654201453,10128414.37102004,9756319.713678723,2277729421.9485416,34337064102.513954,24247247395.795216,22456.225540026175,178269.67086749832,30236.46778343562
255177519119.11282,25635.251141512155,10098963.075869922,5617503.9802729655,1484291373.621634,25808485909.000927,24652128268.665672,23479.525432275783,179223.1267058776,39442.91427161358
253404517614.03372,23913.406848022903,10100635.793811664,9282033.948823914,1457780678.5035284,60235590950.22752,39402649399.41296,19584.452024380033,177726.41600468458,37651.378470018244
264906083176.13605,23849.465679643767,9548135.469523797,6340908.945957408,587270451.1935576,15737125757.661018,19576219354.834095,23970.86953483402,165023.37564610914,42520.947790112805
258107269103.76224,25257.824350429975,9202461.447304605,6363717.171514286,1590368349.0574303,48670509941.87317,29624622312.39982,18324.47599819023,189315.5515582502,42653.21974497709
251485205378.26105,24437.00167243977,10112275.545521218,6706294.866623569,1623773809.0192175,47573944837.788536,22253175785.156044,20661.680852529666,183926.0440004254,52398.83336602468
259887232438.61786,25161.807314800953,10387964.109921113,5473956.768915464,1660532338.0085318,25861374740.179028,35356974562.55136,19857.2656510326,179266.34102626907,39339.84682582619
