F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
231699876222.32724,24351.96855167888,8984195.660882954,5772843.905119034,1722260209.0946271,49172681375.82818,29041231596.011364,25839.597897297266,186862.84469050707,34857.001271278095
201400215663.8269,23602.89792569574,7946503.890292957,4026609.2313002823,1475487944.7760692,43199173600.66847,29856844885.506023,23242.448017566927,189629.17858903695,31734.416614580034
247795825504.63947,20669.188758329954,8388918.626970619,4988319.809769193,1583426074.42323,41265071040.4072,28604680051.88465,24482.42653829415,184880.69910001036,33737.38282628923
246645047262.07285,23240.05099362005,8456716.61833937,4447442.859167761,1012950834.8828435,34023919820.765625,28182489662.721397,25487.189580187445,166691.06946789194,33071.50229570996
226721814212.32718,24456.667160334637,8517467.045142315,4796945.709686425,1305607124.7742963,40610951974.398926,40269103108.53926,23919.85956127566,186163.22559651916,34746.46206855762
218751643557.31287,23277.225642530007,9017415.804467743,3951335.445871854,2094168549.1473246,24080681345.717064,26103363589.60704,25067.00390696406,180774.13162979993,39277.90611954266
242764992438.81918,25622.79118959396,9588799.024269661,5410331.108068304,1077996824.2869794,38125097820.14093,28004609512.062366,23579.194169932634,178933.78854837114,30617.97440754398
219787595654.5568,26883.370930223384,9016866.917081926,3339361.7371326657,932597908.8818055,20936149294.98651,46529856611.89186,23838.446579193893,181074.98156561746,28175.30353160917
232413263280.94675,24870.124030550687,8880282.43748789,4366710.9800029835,1068586636.2053068,29687996710.149876,26582283622.65621,22319.974613377177,167322.21231775326,38537.24102502857
247531644915.33035,25982.672030668782,9439511.55111442,5193214.524832204,1077800779.7170448,26510183703.175846,48443133839.77765,24003.77000183717,178736.94623610217,30737.12665624424
253139462043.7345,25528.360485811016,8789005.246046256,3927608.774825418,1684229946.1524441,28531095993.31789,42383232719.11595,24879.96500440282,171627.32703786797,32307.54165078848
250855544099.35785,23434.78604732592,9167129.596840002,6133378.5862878235,1297189726.3048444,36028627717.27232,34371835975.50836,23601.023423651328,191809.403647606,34266.164786119116
213313592652.6127,24366.863009347973,8829048.224269329,5446841.023859544,1239831297.2854214,16235136845.121763,19174781647.550503,25881.740001627746,190568.24157235035,31693.63580590347
218977245853.40375,24597.449998353706,8534940.30893044,3265059.3836311083,1756123800.896799,32525109046.3642,25813232906.555893,21201.314011211605,164177.60461264706,30990.726681702145
239565680099.91013,24414.21803862423,8724209.206160512,3177057.0389499306,1703545073.5788758,28945978464.296383,26006029578.428482,23484.02360903927,175248.89119689065,33509.8557002101
229645266545.3519,23846.494723053314,8892591.089372884,5362732.641154968,1304882814.1132853,50190294461.37289,28519196822.884186,23625.331623156842,174052.60946525328,34255.26447924513
227761335050.34824,25598.318756325592,8234402.46167589,5290187.805006744,1467214031.8330333,33590071576.890965,40498419491.70135,26167.770065433873,182850.8268002374,28361.65176299742
262143055033.35028,24290.88439295116,8039425.900927109,4515569.916831225,2268099532.032712,38319017523.01604,28150829530.66307,23501.066244762624,184606.12222137518,32905.08469152226
245372876007.55307,25570.569812733913,9206452.775202362,3843166.677395643,1711231953.6886694,31083305282.28697,34712291351.982056,24431.664451668395,186074.57087369607,34311.58799844528
225921405155.64508,23669.406395342845,7753695.763741278,6921872.511265699,1395240220.1986618,35674385349.11902,29369096555.255585,24279.654893345196,174515.5860514858,32678.12881642247
239565674202.92114,24831.595403340067,7791015.650776386,6968766.215372683,1535527604.362595,26923889728.089527,30985831169.447647,23552.690160611077,160787.4307482439,30964.21853299598
242360573689.8773,26327.715124878385,8382577.173101895,3517379.83867512,1243898166.5319571,25059000775.069324,26793619769.445244,25725.425699452637,192074.89656538237,35014.94072702911
262007205579.65973,24943.985454670546,8427551.309744922,2247935.08821098,812501600.3821443,28261865731.275665,33934282322.787987,24085.170524064113,170979.90279721085,34147.31428073361
220084918964.56525,24314.808063162774,8021151.380258593,6221540.49598227,1662756356.5609808,26075991770.64262,34240042782.856247,23239.224081517994,175277.42563536353,34360.15245659054
255157347201.01898,23725.662071280753,8012690.613293884,8328885.999237217,1079856690.3121572,22004139682.169308,37405023829.98769,24823.2445151602,182811.36060661313,41096.43082628068
