F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
5449854559.778116,2899.340389173318,218200.63315364064,2115.3495624058933,22681383.889829494,51403.746980215394,141039010.2770887,-38264.4564881602,20086.20080003117,4139.007424822201
7845713268.438753,1162.1057912997567,218822.40629565323,2053.800079284384,42517367.06885597,1234048.1038569568,66466205.196951255,-37459.55618527836,19633.627214979886,4121.781029267253
7167275934.376799,540.7140631340517,202208.8745104375,2160.536787379905,38765262.18467144,691023.025337259,43179602.11105037,-37196.44924638889,19527.24235584785,4167.375508306485
6420438487.98145,1255.7756903293266,202890.8175142127,2105.2233205364473,131665692.46533038,2246841.191175578,44828979.871633984,-38792.15317602562,18748.770442440502,3899.8910497517127
6762743723.716032,4712.520679239409,230240.65010599355,2078.6622311586484,83699191.86766553,29211.431073242675,36372028.091329105,-34825.43116399419,19502.638347994493,4062.062728634654
5241421090.345077,439.82035971644655,177553.89529564432,2116.1571907407056,88399125.55905403,54072.68113170658,69821347.28424996,-37463.35687525941,20056.153833364053,3893.8373566800024
7042408796.421722,5004.13097930426,225720.85534984496,2041.9578459568595,100645428.7792266,400976.894567866,117734629.93375805,-38301.36559862491,18404.683031349545,4164.357899766892
5901858820.220211,656.9565359941116,218056.62834670578,2082.225172269383,65511916.470736615,24614.71150305269,23789781.82063329,-37115.923615938635,19130.70412248233,4021.1137418160743
7500717237.986841,210.9559856361957,173288.72026884105,2132.1129370594253,95405044.7209698,414110.18443945923,87413856.53420511,-38294.86572334896,20476.79862158315,3913.362542739198
6873215647.883418,699.6237107270863,215617.83252267752,2202.744798811995,48326257.35445311,53302.69003810206,23717282.18934068,-38477.89112171403,20077.471838318448,4286.39171300362
5500411990.851099,721.0616525642326,198165.9975731301,2043.6910285083898,39856682.31972663,1432288.5747425775,24127274.11962796,-38565.69905188931,18314.739958699818,3955.9839738434557
8207940068.726518,1041.019714765207,195620.801168492,2155.5406172769153,59233848.86253836,12283.119911716634,116243500.56718764,-36597.376951435115,20576.014555636415,4081.4982671525745
6695834432.179844,4591.864475600945,211333.70264263815,2096.517966916246,60436032.783900954,79493.92086428349,21572297.32349365,-36399.85893029164,17362.532601105893,4085.4805511834215
7075939000.824188,2847.974007789104,173258.26123179364,2027.9669519823606,39700285.22485898,157831.87623852634,85776548.06961812,-38244.75004373082,19186.546257366932,4088.9627866129476
7017419823.038364,-368.68518541758385,148130.3767248886,2120.5155965021545,85138630.8000134,14741.358612878073,65675681.171731256,-36287.22662638973,19701.074897040042,4118.781841011814
5143114485.996924,1358.8943809035845,233611.2290607728,2036.8346252125232,54732002.06687569,2033247.092523327,20192068.317320947,-37143.84801145384,19793.5947990638,4189.249878662309
5912605257.774497,1720.4923079192304,198202.88416573967,2074.048036612445,126888204.94383503,1375982.3269440017,65605935.3198314,-37681.79787527733,19545.617667123024,4029.3847882250957
6129579376.014216,-855.1259287970461,203258.4732810659,2098.34712868516,39730913.862460315,16892.109244179446,28247390.611260906,-37674.67514558238,19981.66901199799,4324.034522652244
6275617562.9249115,3417.6604030281305,194521.29991890053,2126.121742414732,65718604.58641153,51410.764669902346,119995479.57557377,-37791.034339034566,17584.376053861874,4144.997683284308
6753273672.533395,3720.8220489756495,222911.37355656413,2036.7329274931117,77515387.91299391,49760.913550975405,60337624.450413465,-36701.14203686544,19768.88736057177,4010.6111715065676
7610121842.567174,2790.554172375254,196973.3969093191,2111.609965040615,55958216.0734466,179422.3429584797,56607910.24002316,-37418.94740820523,17205.242303036088,3923.8756569542425
8535853989.909722,3876.8071477250705,186850.22563034232,2080.664759179375,37995608.81402245,136768.99611167383,89699005.65442218,-37552.478310796745,19563.114858670204,4130.460068964765
5466487975.221873,1897.3445378065662,211193.7537039253,2100.0264223785566,61177820.8679691,141360.5694380772,63752084.88525608,-34069.25878645703,19710.297177946235,4330.0411319149225
6168785028.326331,2978.969862720165,194713.82444091994,2088.0857294873563,53313886.54224174,29677.47940936201,44348219.85568607,-38615.75722177915,19322.13242177319,3900.3178783873354
5378531496.751874,1513.7291166572468,229805.78071267944,2078.6496220099457,47718858.67052283,434965.8050035146,38489484.138964705,-29954.39897271958,18724.15114519169,3933.0882734774523
