F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
287894858919.4875,26835.603784488238,10906651.654542953,11835483.42119994,1907099558.2621756,79768925797.05383,44733184914.3703,28337.26849520039,180676.9488814636,62327.49691748364
282270411966.7304,25541.444950697023,11222136.045195844,12773307.936588435,2826462626.402328,63097730741.85675,41055658461.955414,27835.823699365636,194295.7292274696,55061.68923331947
294281862958.73694,25656.050669310993,11328466.459292347,10406565.259450354,1841254239.6146197,75943296245.86201,40951719911.56809,26801.99201804934,187644.85556431662,47597.89297927241
284318747620.9944,26418.587072930663,11031470.971214218,12386403.021855913,1879352820.9996474,55230668885.74104,49815727102.16669,28231.392989338015,193777.2785435874,44691.661725822494
272838657729.0811,27546.893759074097,11385345.58967099,11107409.239611428,2536094319.5342364,82802517188.32578,30423926107.643112,26175.56306599198,188119.2901597234,55335.99027873237
287982528222.6815,27075.805498343885,11457927.659768026,11786067.355517048,2554760918.279466,48218887571.769005,36407220819.57686,28126.865973628817,194925.1139604879,57849.5573253363
294289087081.7104,26365.330966733385,11145813.058662245,10286900.656815784,2094363709.2229145,45855546948.327354,49547137323.47329,25735.7618399602,193519.68091801982,60964.81573024362
258254112925.38043,26340.691894180633,10925929.593318589,9974927.11696145,1748699205.5824673,63980260262.87395,49153178729.00219,23646.552353424988,194907.05490590667,55040.3856865351
263527790963.12747,26694.981703257035,11097347.907160556,12344365.600592928,2839659074.9527154,54715231052.26633,42759847934.13926,26196.872913392024,194493.30673628557,59360.74355384045
283556263682.33655,27137.132993198873,11465265.951566009,12717381.295127265,1166917956.7761948,46165212057.43272,41302964339.114075,28202.16032696892,194337.52133703098,52972.381343768626
291331301511.41974,27618.612175783106,11146519.86313503,11433547.573942622,1768044161.2286015,51400707479.18254,36851703808.56453,26919.506863286933,194185.72375002922,53155.65771125274
294879160803.7685,26030.446505997934,11267476.56287058,8604830.621877579,2197339181.4797616,71198014176.60255,31233808225.79537,28663.277040025765,181918.89544440538,42072.34347729414
276477481438.91907,27802.310880764962,10712392.206314221,12649204.736595284,2251584370.7431436,57520264921.27876,32524505412.24141,26469.594619240248,195831.00722491747,54177.5888371419
285427543062.04584,27625.196383395327,11342119.44882887,12737727.365688214,2673977475.1044025,66848091171.178055,41743818198.98297,26702.333033202234,195743.08151288316,58391.78056519649
279186202472.5607,26993.102159965452,11156182.433676627,12263429.696464058,2611270706.6942573,68390503153.77893,43785185952.33824,22730.129432822105,190800.739148972,54828.90530492432
292185366962.197,28353.675635296648,11458274.27678194,10882222.564292762,2268945763.405195,34805459097.56858,24252937081.90325,28436.60864691951,195808.53350145803,54019.85553508154
289514179969.9155,27525.613441782025,11208980.535991367,12849464.395115862,2527608305.801115,70832128119.35527,43260857138.14193,28553.56795342583,191506.48196901212,57074.55635292236
296326119144.4836,28876.29916345036,11266047.185161334,10121022.498238679,2756870395.37622,69250661139.26309,32995939907.65293,28262.51255156573,185746.52934231824,54120.81173844484
291651800876.55255,27646.17351398177,11182200.92005863,12881472.36762092,1724281148.2847002,61520652810.93171,41970241493.292404,26124.134413177926,195225.0296564333,54125.28098912247
290377861991.2305,27156.717192096556,11283863.977094427,11226797.36558219,1936461418.5677454,56111895166.29491,53723603876.270294,24711.272850943056,195653.57837737337,53303.445430096894
289239709780.84076,26908.678347943547,11393439.741887769,10251081.431279521,2081871657.1345377,67252041865.68177,32191523672.409008,26394.242744134277,194119.32831828765,46765.42303734481
285043147675.4796,25804.85287327908,10189704.159642661,11697084.139800098,2930137023.8677454,49367409465.01629,50620411470.26604,27003.589482430416,195550.15741287576,60034.157897591875
294863626731.89294,28287.184166010626,9946767.512226725,12555905.726741668,2340774444.406806,65116393485.17077,46391158073.87269,28504.429756559224,195074.42269520665,52667.635411656964
295156454576.03613,27345.665133213526,11396557.835944688,12817585.226397125,2095658440.9431953,56689646368.39869,37343234225.15309,27367.09467933123,193783.98094817527,57686.48095957435
278743781378.3759,27063.65189587763,11219708.904393855,11638777.720305303,2133271009.8905478,35038200925.50711,45824318796.3539,26396.91187505735,195214.94273038008,58101.66241719905
