F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
228990249.0820851,7315.725349879212,9164.97581019364,2062.137688245545,37174004.65969497,227114.69608488173,17763772.662894614,4823.947323685536,4651.444538507038,4246.874457496105
227740609.33976945,8367.32784039445,11268.208740861719,2068.7628348155104,58028008.7427493,113554.8293394799,29413778.580093473,2510.3818468901227,7296.398824328507,4177.897361199419
262109258.38935223,8976.397660303075,9484.105366958325,2048.8608708592933,39585662.0571916,144416.31970615042,28882160.834868364,3004.9992511643613,4453.847768354208,4255.005390605506
256929190.17800143,7289.109895711772,11028.25671984269,2045.9816793390564,29102174.718169477,78119.3829013854,42800156.64675118,4819.962318626705,4452.901665121981,4262.5296286840785
271041562.803418,6085.074596081955,9978.953554172173,2044.325560358187,38697037.282725826,153353.2463580593,21324480.049273476,7311.448835627635,4618.52590895947,4242.740999074761
218742442.4920464,7056.495140246378,10363.745494522449,2085.815755626032,42696336.35481977,320186.4390003999,31152206.805263136,3999.161012020267,4388.490166075606,4242.063650066515
241183671.3495033,10375.593729302615,8603.973392311464,2070.3623701409347,45073641.42317976,373103.6672229088,38424169.09036533,4921.16046130259,4331.254542240535,4407.043948933399
252203906.66104832,8995.417525117351,9792.12464459804,2060.1733152182364,32199114.72006226,270006.53096291196,21127290.042074937,5322.764494115327,6003.627044088662,4259.8188687333195
232813656.37697563,7084.37072029541,11952.123570545651,2083.0074959032195,44377609.802637294,157640.58709879985,20145966.83308868,5450.401775863041,4532.327068760103,4559.214691450967
289011732.3690839,7816.603728425216,13144.24940057044,2113.2958833599273,45655400.86883981,121773.1468122933,21104133.170036998,6643.075486574734,4310.716472471595,4477.925465203042
233568742.8294373,9673.58055448631,9496.316020245627,2038.2749669200334,51168930.63205135,246960.1846702572,38394452.58845316,3745.742832830654,4541.147543286845,4260.7461381438625
215630298.31878677,9332.781399370724,10179.229309416158,2061.48710694472,47799058.14801763,292570.3958967392,27446115.012209382,4886.1035538801525,4432.259945263855,4159.232180876272
232361885.99907455,9396.39587013419,9514.403361318047,2059.1542845976637,39507878.46687929,304146.88936473965,49269607.33950134,9483.142836755449,4496.340273616468,4296.861782427238
247390586.91048366,6762.715459494204,11122.950741483757,2067.5017319719454,40862762.48726157,113371.86641038282,23134223.565763105,5708.6212643374765,4513.441616805567,4337.217088302008
278643195.287292,11050.283410535234,9981.103101951756,2117.7521711073423,41279042.72724924,127565.00518543083,11497997.315638507,7750.628908180547,6345.1437868439625,4263.667961945648
215703692.01099467,10007.53124311944,10437.33521700812,2058.10666848763,55261450.331477374,136239.81938288556,26926294.312587347,4089.5960403511417,4635.766440831938,4079.586603033428
240197733.93347138,8054.270751678581,10656.321787011788,2061.9721363169283,44776406.0312231,539938.0629676409,30373607.934106417,4754.073992751914,4442.611648154225,4173.973603799704
268435715.8554256,9143.36036121055,9694.84542571972,2100.453871067206,40173209.55718505,84634.94517273517,30702336.064275455,6926.094508762436,4456.24130834917,4283.446483493055
249793398.51223373,8048.0176191133505,9165.398875090856,2050.319130274143,32245633.960277736,139086.7968473589,18012474.739389896,6259.529483952185,4398.57694836232,4107.768562996367
260605087.71757182,9366.846082564116,9789.439458084458,2066.881962101656,36740621.83583833,388167.9473335908,16355266.37098057,3873.8644506965793,4133.119518252045,4302.512449008914
336515290.1720481,9390.330328245975,10247.129047244909,2075.455847096104,47356905.20637765,130747.2587688984,42532282.92256317,3996.4180863023944,4908.519152138289,4212.369568225346
219116520.21403956,9245.448336617985,10611.40615575275,2068.486991370135,36372764.71370048,217582.3883772468,15036127.538781224,8810.541063654204,6536.474964978905,4309.311089787889
302924676.6786379,7800.462419954019,9521.49816307189,2059.519669274024,39587286.92051247,232664.1311315545,38042666.80008425,6757.978279337974,4062.353555361663,4263.099362625628
312969985.6294624,8009.322677695869,11177.943216321159,2060.3601515760947,38322207.977708064,122206.67935648005,29487542.64754537,4010.662621914329,4456.623718653289,4103.642509665784
264494199.42007574,7699.398200899595,10368.0087436906,2076.878272623319,30008013.07296833,184020.5829400918,59144327.271428704,9733.047626830763,4467.414449007839,4107.79511245892
