F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
1244366.9120710623,-3413.2096539366757,2330.694003326762,2081.296815182784,9689503.429503607,13329.927843479545,2393866.2333816797,-13602.9376936197,2788.1424713362603,3609.5800881915216
1237482.4929101462,-6672.624783379462,2058.0236923612997,2109.962888531707,10579602.168509802,7076.772693994895,5666930.863097168,-18304.05781681876,2797.4274700691362,3667.843097484138
1155935.7091064912,-5433.388250867647,2591.188882870548,2143.7529769508083,21283235.51534407,18201.417456544143,11127393.87084489,-19886.31688792083,2779.7327472521824,3689.284007304076
997237.0757513755,-4774.407081869642,2682.3541238729313,2154.72842194382,5800904.920294194,16289.78772009939,1593856.4027160048,-19659.781730247476,2822.9048675690387,3871.116141771104
2041874.3660786874,-1309.910221134065,2561.537557483201,2118.3063953465344,10639196.971742548,6810.141162865496,4908355.702949361,-18220.591728874086,2816.0563821052247,3606.9572799553334
799447.633088008,-5020.308789944727,2459.6840690627205,2058.517314243156,9764959.629145512,21181.192010651484,3500868.048804825,-18685.79744515093,2770.5368211731447,3687.4584314815
1174585.6938061088,-5924.183664846416,2500.485014110166,2095.5725721912454,10754648.793561686,88881.01608050505,3612195.870066704,-11635.553302172244,2785.4276249277127,3638.923780655393
939723.609136991,-4628.610020735236,2381.041636505638,2129.9611527541815,9561439.992489599,68573.42002376828,2903203.406816102,-15478.522999373894,2828.6608727017406,3744.4947575237657
979164.7742125221,-2981.406017126188,2725.1246179191376,2157.013158541243,11711529.880456157,25853.25171300403,4305133.05332835,-15339.911591101787,2758.4385817654916,3674.230687306541
727793.6269346357,-882.4569197071833,2462.8931173077654,2091.2289652539,15247094.020270143,37718.10277861336,4393895.030943328,-16804.42565977519,2753.9150534314767,3621.017026461677
1313204.61330733,-8645.533450342416,2545.4653327392516,2066.708595310101,8583198.732807122,66684.27033762608,2330574.433126614,-16430.40827323315,2791.282267761225,3714.00697742898
3296633.339885903,-935.5660547516454,2549.077720311805,2115.626308134851,13596885.188392337,213955.12090673688,7039097.305849178,-20485.696766662946,2783.790218753995,3627.980079690541
850272.4873867354,-6896.78052018203,2329.6980608004933,2169.841691481569,10794964.95458143,38247.29904459106,3513150.9328059927,-16162.12797863956,2757.081144076433,3755.225723221254
567406.6059924447,-1112.8904251687418,2354.7332961557754,2224.887048456794,9502285.879468417,17332.05566603509,2972270.956220453,-18493.640608587237,2787.837974486808,3731.345778777547
967102.2319846768,-3590.0342638761576,2719.503637222115,2186.2986549048005,11873158.97808162,12277.664336342008,5960778.174126228,-10304.625322841184,2768.292690633457,3701.468529846435
1042198.6491348416,-8942.028136135763,2318.616130085661,2021.9935901776364,4804306.692828339,24030.443033257856,3067660.7758708755,-14210.60319521618,5511.654550386786,3694.0477711205795
1229505.2775269584,-2749.1400491496315,2394.431067629352,2094.1939301195553,9570720.457263328,16885.146202227897,9413502.358729068,-14931.031079030552,2760.585612390206,3835.399489079453
1200052.2873266628,-597.9639069487894,2681.1611599768557,2148.1192695055984,14818444.749683838,14365.031919975072,2584982.666069747,-11277.372870780548,2820.398282428622,3571.389384741616
1048293.000940285,-6280.956836245503,2208.132908426241,2177.2778458549687,15950170.995542424,6083.610840271523,4944842.233935809,-14778.32572058294,2815.240702867559,3592.30372792065
903126.7290439497,-3195.331608896842,2510.9501949137643,2054.6762473198796,8895513.44469372,35180.48953690844,5480223.113061352,-14956.059848589532,2776.0686202565767,3635.678564951909
1348843.9801715477,-4334.9772358471455,2857.677377833893,2141.6543012386946,5379750.200315237,13695.859662600338,3939713.2721729157,-17928.80379369665,2772.889317617375,3513.258255697766
732538.6698901372,-4886.580279828915,2461.3611271761256,2066.3169342563774,7181395.505330363,21645.31504496323,2788044.4415492862,-19263.03445998794,2763.125140052388,3749.6096319665357
1145442.9686367959,-1101.4730604147262,2319.5390419896116,2251.4567605679035,3249239.996955819,20406.00634079102,4842542.997761386,-16197.6909132722,2816.9637202790823,3554.3915827476094
1015411.7704131462,-4663.14972222683,2914.1202126495523,2120.4968907647453,7232948.437961125,42067.53614487341,4066169.761031148,-13612.514396660943,2769.652124854578,3663.4332658864787
1182944.6951816315,-4581.340200763458,2468.481402682775,2072.98015884933,14695029.406373657,27587.591987114323,7425326.312777378,-10409.966024391593,5304.561121013796,3576.246935903554
