trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
290549183484.5423,273027797569.5265,281866296110.3295,279701624210.5936,288973247467.6424,288114869849.73926,294508122682.6907,279324723688.6055,285673613471.4577,287085166777.18304,272086639516.56763,273200914558.0613,278767327407.22144,291310426030.0161,300714304732.6536,287974673035.92725,297717168670.0338,298725793765.6858,291436009944.97955,285232538609.0013,285653757909.95435,278433755384.90186,300637409251.2144,291964919488.1953,278392604731.5288
286328765506.03107,260597909459.13776,281866296110.3295,278042543555.1524,283860071797.2849,284036758381.3113,274722194134.31558,252518017895.06726,284914105086.05396,282831427617.6109,272086639516.56763,273200914558.0613,276970411412.14453,284355525941.28827,279560897754.17035,277747961259.75745,286897002728.23804,289189565619.775,276811377309.40186,283205752217.936,283527492191.8333,271627356134.51468,294474090579.9427,289536383614.28766,275410425993.35095
280406285498.12494,260597909459.13776,281866296110.3295,276194191095.24884,272317880081.52374,270643935356.22794,274722194134.31558,252518017895.06726,283139768735.0066,282019900526.3983,261593040631.11313,273200914558.0613,266594530931.08255,284355525941.28827,275548684545.54004,277747961259.75745,286897002728.23804,285333746742.18494,276811377309.40186,282634009087.6548,283527492191.8333,271627356134.51468,284063484623.95416,289009090156.36475,275410425993.35095
279115282508.4887,260597909459.13776,270057960006.99426,262129131416.50504,272317880081.52374,262689290847.85077,274722194134.31558,245664631133.32062,279444564495.33795,276478580154.08136,261593040631.11313,267815691869.86136,251924351038.51947,275439809732.3501,259474705583.33826,277747961259.75745,283894646590.79865,285333746742.18494,273104153426.6251,282634009087.6548,271446897394.3333,264395785942.96545,284063484623.95416,281355840700.91296,265795617085.05508
271607430566.20325,260132945778.11636,259902003224.43408,257736231168.63498,272289861117.07462,256975755589.8271,274722194134.31558,242913414130.77887,279155199233.13135,273607288357.94562,253548103118.68298,267815691869.86136,251924351038.51947,272327931470.18253,255859700111.46838,263238178933.8737,278126405807.2543,279439333166.3485,265630251607.0752,268013371443.78076,270865273825.5537,263420655977.30386,282922148045.20703,267544865089.92307,253524923363.96136
268082271301.82993,259080471062.87177,259902003224.43408,248690348733.59882,249516792688.5422,254061664286.0076,274722194134.31558,242913414130.77887,273669202618.98868,265675058054.95862,223091115973.74286,257333404709.37756,246900035480.6145,271677067055.80948,254491990988.21936,263238178933.8737,278126405807.2543,267033584098.82462,265630251607.0752,264927532824.37964,264654437516.99646,256466794610.6721,280924737451.8526,264735330890.30887,242528535304.46063
268082271301.82993,254745637732.41,259902003224.43408,248690348733.59882,249516792688.5422,234509892797.18985,274722194134.31558,242913414130.77887,269476397991.54034,265675058054.95862,221977107936.43243,257333404709.37756,245171318520.78897,271677067055.80948,254491990988.21936,260276431842.91785,273949088934.24478,267033584098.82462,265630251607.0752,264738483919.7431,263592412850.8963,254896180559.85065,280924737451.8526,250429975935.09088,242528535304.46063
268082271301.82993,254745637732.41,248179868712.79575,239247622496.42142,246366217473.3748,234509892797.18985,260895330262.6882,241500292214.79538,269476397991.54034,263572982866.11575,221977107936.43243,255422060076.79883,245171318520.78897,267467596615.02652,253044927993.34262,236729109922.21976,268957499975.86984,267033584098.82462,262360931908.91812,260982718810.14334,260924053501.99173,253658295484.5842,273981896664.6957,247632489832.0421,242528535304.46063
266661493035.0063,254725044731.46158,237543292481.20193,238388076994.19525,246122314261.7555,234509892797.18985,260895330262.6882,238250088794.32474,259349552349.83325,257903493159.12668,219946362619.92404,253264850678.29733,245171318520.78897,259524760477.78577,246701959411.79523,232794669783.65616,267435455198.91125,266602060077.1692,262158607192.47638,245357704188.90106,260094686129.5383,249478315890.70905,260728622098.25543,247632489832.0421,240549114426.658
257061208500.69476,254673348355.09235,237543292481.20193,238388076994.19525,238021513865.167,233994655467.00333,249442592890.71286,236403364102.3234,259349552349.83325,257903493159.12668,192582679284.99506,249296241582.5324,245171318520.78897,254629142308.38846,246701959411.79523,229699978366.047,263397714915.42572,266602060077.1692,261296410149.37314,243142920928.35104,256934896919.0311,231636891916.12247,260728622098.25543,241140036541.31207,231791152819.2191
256104370947.04318,254174829231.42514,237392243009.11453,225810271492.64737,238021513865.167,233571679468.43304,247836931363.3996,236403364102.3234,258909698385.7525,234584219039.06033,191881066518.22653,247510946862.7689,245171318520.78897,249637967440.5969,246701959411.79523,229339461446.13388,261406066978.99033,261495957989.26105,257837793210.526,242679304609.1296,256934896919.0311,230583426795.075,260728622098.25543,240512912176.619,229360184030.63266
248069605039.58234,240848551965.07855,231049807609.15942,225810271492.64737,237912396594.44894,228156690442.11023,235362857220.28394,236403364102.3234,258909698385.7525,232638961080.9845,191881066518.22653,247285994456.76578,242346316629.9076,249637967440.5969,240356679342.0013,224618894453.7763,252956322754.17874,255989575409.38297,253732668279.4667,234081711250.67856,256515591374.5713,220818733540.52673,238595517460.59183,240512912176.619,224331087407.47348
243597638274.3976,227510615739.9231,228099159183.77548,225810271492.64737,225836446232.8338,225694482126.75952,225664531591.16263,231605914366.07037,258685445329.14233,232638961080.9845,186189499529.2394,245208949775.12048,241590989490.5381,249637967440.5969,240356679342.0013,221200154820.27728,250401204430.5989,255989575409.38297,253732668279.4667,234081711250.67856,255388203260.63947,220818733540.52673,233063159108.95908,233179392575.15375,222095673437.7932
243468052264.13275,227510615739.9231,226309610876.5005,214949837355.70905,220492166090.67767,220864681266.47623,225664531591.16263,231112653907.47318,247124934606.5233,227418506319.39084,181214214890.29544,238118881536.71442,228848092926.9436,249637967440.5969,232712275372.1119,217291216477.0477,250401204430.5989,245462180440.84106,253732668279.4667,227427417410.1315,255388203260.63947,220818733540.52673,229232372898.38797,233179392575.15375,208464866268.9232
