trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
633787609452.9602,552745878778.6364,602996555066.5898,588073950034.2858,471832431777.64044,613248561262.1504,628406320734.1188,543936800882.6889,571004135223.6693,543655730224.0315,463035945119.1095,471080423117.57794,608857570315.0886,454581022594.4774,626357889307.3619,543977271909.64404,602423835087.412,597679623862.5975,633517819057.7351,614557716036.1118,559339036830.9277,455971939049.80927,587962187656.6173,492683433197.8102,519327805001.75323
633787609452.9602,552745878778.6364,602996555066.5898,464708802111.8626,372353673597.2123,555277792825.2902,508383468148.6434,387917816657.18945,465325667584.2099,543655730224.0315,458155586606.96265,470125740957.3357,603591031922.6711,384222411851.9467,616153171047.0361,543977271909.64404,497488450306.70953,534446033798.0329,408884697219.13916,520368220432.3398,559339036830.9277,455971939049.80927,558430124131.2673,485566579227.6775,519327805001.75323
630969032035.3555,552745878778.6364,602996555066.5898,400928719376.72424,372353673597.2123,458926096713.1372,508383468148.6434,387917816657.18945,465325667584.2099,427963399444.5348,458155586606.96265,470125740957.3357,421754369415.12366,384222411851.9467,523258056634.22644,456951358422.91095,497488450306.70953,464192102436.5069,402202387031.76776,435986624590.1879,454874195264.3861,410151702566.95447,558430124131.2673,407801983402.9704,481369385783.01636
511272422493.18677,552745878778.6364,602996555066.5898,400928719376.72424,372353673597.2123,418263981157.02594,508383468148.6434,387917816657.18945,465325667584.2099,427963399444.5348,388686245793.6041,462272553774.9239,421754369415.12366,384222411851.9467,403321805425.97656,372073255884.00916,489929324464.54877,425161738312.2453,402202387031.76776,426470364953.6791,454874195264.3861,398011150990.07056,558430124131.2673,407801983402.9704,470106927570.04846
511272422493.18677,552745878778.6364,602996555066.5898,400928719376.72424,372353673597.2123,418263981157.02594,508383468148.6434,375892209495.9583,439526830859.8629,427963399444.5348,388686245793.6041,384137229209.75543,415562891893.0441,380407911808.812,402311103652.99225,372073255884.00916,460177304470.12836,422284713338.60144,332474049312.4061,426470364953.6791,416157990797.1864,398011150990.07056,558430124131.2673,398504757565.2245,351685159205.08307
403051711120.422,483163437698.2778,479643294971.17316,374562306566.618,372353673597.2123,359246746921.61646,508383468148.6434,375892209495.9583,398537551266.67035,415402523451.108,334670012006.14526,384137229209.75543,415562891893.0441,380407911808.812,402311103652.99225,372073255884.00916,460177304470.12836,368287547633.5385,332474049312.4061,426470364953.6791,394392921923.93195,362337242311.19574,364113552402.3188,347896191399.1168,351685159205.08307
403051711120.422,483163437698.2778,479643294971.17316,374562306566.618,372353673597.2123,359246746921.61646,449505034626.1802,353122816344.2347,398537551266.67035,404001382306.7609,334670012006.14526,384137229209.75543,333084489967.29626,380407911808.812,368080840186.8917,372073255884.00916,405383534607.6049,354705283240.0011,316572419724.7791,418501031469.9302,375312836965.30457,304463559040.9408,364113552402.3188,302550961405.6754,351685159205.08307
403051711120.422,406129434218.81067,479643294971.17316,339266788862.22424,344298275976.5154,358263189921.3904,384575269604.35004,336694995766.1659,398537551266.67035,398252801753.42194,334670012006.14526,384137229209.75543,328071645687.50323,380407911808.812,368080840186.8917,372073255884.00916,405383534607.6049,354705283240.0011,316572419724.7791,418501031469.9302,375312836965.30457,304463559040.9408,361397658973.25275,302550961405.6754,350539464410.43396
403051711120.422,299627517052.5349,479643294971.17316,306570082239.5491,321436857804.4047,357808665706.9424,384575269604.35004,326590008291.2914,398537551266.67035,398252801753.42194,334670012006.14526,328899112842.76495,328071645687.50323,355439673110.2382,332079836721.2547,372073255884.00916,359358498830.0161,354705283240.0011,316572419724.7791,362422172447.7606,320650786063.7166,303746525910.8736,359679725165.479,302550961405.6754,347859315456.0994
352554809608.38324,299627517052.5349,450087806912.4955,306570082239.5491,315557171299.4437,306375702158.9273,384575269604.35004,326590008291.2914,398537551266.67035,320134661813.64166,334670012006.14526,328899112842.76495,307637626495.116,355439673110.2382,332079836721.2547,363959460201.67914,359358498830.0161,347310097669.4126,316572419724.7791,362422172447.7606,320650786063.7166,287172044191.9229,359679725165.479,302550961405.6754,347859315456.0994
