trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
17636475.033701725,15321710.556036409,15611972.424866073,17539147.168403786,17124454.61886213,17262704.03560264,15477823.92764437,16780060.77641292,15999108.573694311,16619490.782593409,16291881.307545153,16131586.155946469,16250708.241083285,15832182.225956319,17946444.008544426,16821242.704383392,16166555.978477849,16904104.677270107,17446213.415036067,16602212.71352222,17220544.93644656,16382602.414944582,17169895.02634357,17403798.58149471,16807005.584623817
13865505.316810356,12368303.947736844,13769955.414687494,12807209.312827686,13125499.08143474,12549973.446399687,11566126.089389246,13837461.376129445,13587918.152939165,13563017.396895647,13238921.783668207,12272857.208325975,14196709.048951153,12305089.996590432,13074690.30929433,13042069.062593501,13314245.72605309,13562062.791312594,13509919.924491612,14452029.243209805,13213970.31761219,12314016.324821526,13829869.859750852,13165388.081333483,12075956.723776294
13865505.316810356,12368303.947736844,13024657.173843842,12807209.312827686,12591873.084014539,12549973.446399687,11566126.089389246,12045138.279201688,12600421.036841067,13563017.396895647,12709369.200396484,12272857.208325975,13971572.077042097,12305089.996590432,13074690.30929433,13042069.062593501,13155144.476975143,12176655.399927534,11056265.943069777,12871565.702378642,13213970.31761219,10774503.156350786,13829869.859750852,13165388.081333483,12075956.723776294
12880426.86693486,12368303.947736844,11469831.891493594,11225263.039453845,12314676.12752307,11725275.373161316,11566126.089389246,12045138.279201688,12466505.006194336,13021575.807929227,12040126.320291737,11436161.76919051,12626947.815803554,11933955.181882065,12895225.65491569,12438017.060944514,13155144.476975143,11974194.150786743,11056265.943069777,12446865.76382109,12769432.529094182,10774503.156350786,13284819.485649658,12934394.662093794,12075956.723776294
12721871.756343054,12208793.266928557,10346322.709916895,11225263.039453845,11586404.650154224,11725275.373161316,11057690.93405003,11794231.812876802,11303364.043053482,12185590.659415817,11652111.054331934,11098488.672890075,11784475.575624574,11731588.846104402,11226498.206075095,10442372.457443224,12277977.186649231,11204925.006389808,11056265.943069777,10796754.51488916,12095504.391662095,10774503.156350786,12123711.735441094,11568638.12492509,11886146.461745862
12166144.387595206,11709177.030744344,10346322.709916895,11225263.039453845,11223328.984068487,11725275.373161316,10466488.927851714,11598133.493276753,10473279.002449654,10481163.922580179,10882683.309276177,11098488.672890075,11518582.495002747,11522164.319298971,11226498.206075095,10442372.457443224,12120682.354240485,11204925.006389808,11056265.943069777,10796754.51488916,11677716.116803994,10774503.156350786,12088340.594241472,11304835.056531701,11049753.441126266
12166144.387595206,11414685.761745133,10346322.709916895,11225263.039453845,11178772.579091309,10939882.287988208,10390606.850404456,11598133.493276753,10473279.002449654,10481163.922580179,10684840.690754756,10742741.350156112,11518582.495002747,11049925.81410269,11059854.326592257,10442372.457443224,11772936.708370592,11204925.006389808,11056265.943069777,10796754.51488916,11209251.414989602,10491887.457167998,12088340.594241472,10895838.15464788,10549444.30612449
12166144.387595206,11414685.761745133,10346322.709916895,11160691.374226328,11178772.579091309,10939882.287988208,10390606.850404456,11598133.493276753,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11518582.495002747,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,11204925.006389808,11056265.943069777,10796754.51488916,11209251.414989602,10491887.457167998,12088340.594241472,10895838.15464788,10549444.30612449
12166144.387595206,11414685.761745133,10346322.709916895,11160691.374226328,11178772.579091309,10939882.287988208,10088712.338608924,11598133.493276753,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11518582.495002747,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,11204925.006389808,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,12088340.594241472,10895838.15464788,10422875.002155023
12166144.387595206,11414685.761745133,10346322.709916895,11160691.374226328,11178772.579091309,10939882.287988208,10088712.338608924,11543063.58167468,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11518582.495002747,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,12088340.594241472,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11178772.579091309,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11518582.495002747,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11178772.579091309,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11513705.88024672,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11178772.579091309,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11178772.579091309,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11178772.579091309,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12166144.387595206,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12137637.743221384,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10895838.15464788,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
12080406.856473707,10902689.245047592,10346322.709916895,11160691.374226328,11020056.89658657,10939882.287988208,10088712.338608924,10733813.184943233,10473279.002449654,10481163.922580179,10684840.690754756,10515217.375218885,11351445.458445968,10584181.817716433,11059854.326592257,10442372.457443224,11479077.125408497,10736941.474841459,11056265.943069777,10796754.51488916,11209251.414989602,10389602.586238394,11855736.644562494,10882991.942019941,10422875.002155023
