F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
62295046819.12568,10658.255024575457,2018500.7183802065,166596.90879993734,85648846.48789333,85530729.78142317,1982913087.9512756,2870.0880020139107,19438.747355435808,8236.334286905862
61400324954.97847,10398.59714117776,1978191.894165365,113833.88646629546,167158258.73132977,30047269.9499614,1356434569.9721746,2790.455886400716,18647.93490445803,8031.604255147466
57721582834.711655,11540.013276625903,1846139.5936208458,88925.8111883268,142843260.8477907,42729372.43106562,1401192740.2577167,2826.469180208945,17375.007827499074,6472.202881867596
60990253070.26442,11019.750418891848,2076356.8907758745,170886.0674137314,91349542.16244678,16256067.360395266,2279060893.649049,2777.885943617428,18945.820746671117,7912.433240506827
66350037372.0658,11120.35810427177,1793466.2061073764,116954.33258121047,246774974.31182018,24539379.004061926,2911973607.6281714,2734.9313486400133,19490.893954423875,6501.52141814945
57804036915.84231,11278.118746232452,1337855.0092210658,152319.75105601794,193580987.90589023,13022465.646904672,1090211503.5084102,2717.1124452018635,18785.098551369538,7773.452651310014
66543890346.78219,11860.38900621884,1773635.3359071494,227722.27483101052,228735031.77524477,16991789.336112,1693328535.7164016,2770.4382044406198,19578.236765855534,6531.725024346072
66032536921.07191,10142.125913056057,2227200.2581186267,154275.4469039248,223555606.7659394,37807474.513693765,1647435120.3746965,2803.439902815444,18920.85732941829,7719.879615181822
59058409304.01625,9640.695220961845,1928256.4578486322,147737.82999308585,183857779.76066494,50494579.152870595,1977167859.404484,2764.9538166111524,19325.976394758665,6277.591206756359
59745718336.62995,9976.263369752387,2483655.153034908,146727.60633812015,213027337.79836196,90484547.69546811,765667085.3336637,2778.2242913101863,18062.01479441685,7988.956861173854
57444626342.491394,10319.470561201968,2190276.0388327823,64114.390154304965,150268035.46552822,20186190.36359969,1615907799.8156984,2765.3462355404617,18805.58423674754,7735.699641747915
67935913723.862724,11234.646255427793,1968251.720098642,178455.3802591683,137882256.75087035,50303061.0603282,1826541734.1758213,2794.374764736437,20463.614998731806,7151.123626374321
63841754743.38063,10760.498584171104,2041034.3067914313,265598.8113203016,192086165.26600012,34749417.4054744,1812521937.082819,2764.8717422194018,19588.526865629658,7315.296076225552
46829811931.96371,10165.833547893835,1718383.6816357407,140101.0946982893,211432059.14832124,14733821.223538917,1746499820.0842924,2694.8165579752135,19538.71746849984,7414.542725605723
52660587312.39776,9885.563283451305,2192097.872619768,188079.34096554772,232473707.11142257,15572899.546851102,1521258453.3538506,2811.095450715703,19272.59056817029,7311.786647129398
68384132382.44104,10900.898195677693,2316401.413882396,117654.44361363298,218969095.07179302,40966366.560195714,2164600796.6736393,2921.9060980871195,18710.9788428072,7331.2877801139875
68083913549.438614,10724.79150144082,2382400.536776044,87108.64644136035,168307168.15163407,27542525.363353748,1257673841.4175038,2807.4476536131065,19393.106723940247,5947.670308396668
67827168931.809395,10355.700200902056,2150519.4784070426,103003.87211155673,188823041.19305724,30450606.898130868,1379727981.714968,2830.40102483353,19858.747911734772,7871.3860380696915
54347314183.62576,10912.257646515303,2159466.760137235,256312.36648497297,268721360.35703063,27030992.311580177,1778575790.7504482,2769.764447972643,17946.016109677083,6978.2184146068
60865296033.07943,10716.013820654049,2275528.0813734964,251281.51255085273,178209082.86389747,53623339.45534252,2175049342.9629126,2770.9904079376543,17393.297226869865,6814.441794461402
67296563103.4612,11091.26318601391,2078186.7041303553,207573.82232674863,201922073.24060535,24372938.698872507,1484196045.2714696,2826.220018839771,19534.27899230756,7016.932832439626
48715402485.66119,11708.375767003816,2402875.8580584372,145609.59080135296,224603029.54728654,43098672.36478205,2816042191.109977,2767.3331615293027,18703.947120980873,6089.605888901313
50589460879.740906,10957.417528834872,1912719.8435219366,276362.1189615966,165056016.615023,62711995.40317303,1957688609.9769247,2841.828958016012,19084.992568813588,6512.740666052036
67513402877.23192,11834.052702264295,2210608.722119774,208762.20533398134,124842482.69803402,36873834.54504659,1781638988.2204256,2755.3245994940844,18131.45382441394,7485.936956605466
54594644656.533714,9716.508918500533,2117538.2639812124,172197.3286313417,145672976.65258077,35623107.64749173,1409871300.171034,2810.0689407149534,18252.53438569807,7591.166337541432
