F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
21926577560.363842,10241.145011752347,1359297.212566602,46179.54903674369,16688330.40244441,834896916.8653078,71200150.10801896,2564.907676697842,32458.135436524128,7963.937294924785
63038861278.48644,8589.0633851756,1006303.2288128964,47156.39410212223,25292674.139628377,38527192.295407586,88121081.56731747,2748.555965945626,46814.0612995653,9590.85695445118
59728174592.475815,5708.614350514816,970914.0858423618,240794.45211974802,18737819.137117054,804249753.5375187,1332071532.9094524,2536.156305612274,24130.62102711962,10435.545999553808
26820389504.277275,8834.72461042563,1562211.6446099884,52857.286935553006,32452990.190558296,1055229993.9932489,1702514254.5707278,2465.693706165435,34412.30694659459,10527.948428732856
37729675004.43819,7823.691412363787,1023961.8477916723,172993.9032072944,27444080.014037795,134800254.4568532,26118105.400150515,1829.806244729855,38683.01601063345,10626.059873110093
27217433300.767994,-3227.9627409359455,2353045.7895568353,212767.68203249734,7616336.135322318,287188006.5944984,89055941.05420853,3018.6570930376406,39408.73349596648,8740.797431539077
48097095888.40469,8923.285827734158,2325529.2530276696,53077.16868345035,15223996.490174595,18212471.28814822,111873726.50693119,2647.74676813564,52458.34420670609,9038.032459179267
37872004034.27905,7872.684096197381,1718945.5745774887,18821.15157461405,9050205.35226381,23583479.83310925,302043714.8037806,2263.95224423251,49147.86532717773,10823.57525125961
24931540715.11855,10120.505330866965,2544410.690418682,137661.01820757473,34004831.991615996,441818424.0435845,24096324.866142556,2249.588619886436,33320.458786322284,8646.851158040121
39432663261.00592,8258.067694291878,1425582.366569463,1127793.8380503631,57931328.609550774,377652786.4730213,66515831.80094178,2348.7747652824733,29730.386119557283,8692.635645550836
43432101674.62124,6324.141712081795,1986197.2858471293,265287.5244056083,17584723.634289674,563347549.5518594,117461499.80152124,2627.2004513982656,47997.56390876274,7035.2416008323635
46778247368.55671,9312.988450533754,1372799.0256545113,266922.44513921504,5169888.476160128,168919413.6142036,144054584.58510548,2459.6639768433583,52434.000966412015,8978.625939657843
63284847912.50451,6969.882855684997,1066240.7922584605,141853.27385991107,12465607.662502557,1050736.6295075167,103321457.96466139,2707.7611573194004,39801.76424074179,8377.247324235512
75127596530.78778,7042.6248903257165,1982795.7736649695,180899.22863927812,2865739.1083322344,365134870.4820252,188262280.4315342,2406.0578151030245,48928.57144688687,6639.690437256861
41045949902.11449,9609.754487414366,1529977.219457878,122594.6359446805,61426105.37369363,38722504.23451806,53809061.09863149,2281.851791488799,26222.88411061776,10241.863362999135
61650098199.36703,8833.381853821797,1458930.7496118275,197723.50119162095,4569647.057019193,133482968.60842904,64958624.826927766,2931.2721519085253,32042.752063616044,6231.2647769692485
53114388765.80877,8147.134142916078,968470.9195388209,96831.60062247228,35440585.83430697,55576449.35027983,35314112.69224602,2694.882263321538,44173.834076030886,10987.506263018024
66942408157.15314,9979.644272928483,2145402.9874751824,72484.00103926455,12379031.311538383,202882220.73255762,877944956.7236466,2684.3913694505804,34207.60655638312,10231.376219479167
52739707018.15698,8856.041630613385,1052618.6267149255,46102.471703440286,27508967.168725956,188575110.98147133,130428251.06058013,2520.3828483937855,58715.35797516653,8343.76247196543
28917839963.47371,9727.672759764526,2084380.102735663,61600.92811389548,24597358.375751484,192967737.3197558,351506245.8489064,2511.6243121190428,26586.452917380855,9646.407015389654
28961454288.253304,7609.061712643281,1243164.3595177059,10136.971309917824,14731383.51687588,942455390.4078616,21599263.792022265,2713.191712556628,33412.873917701436,11244.34570529769
84329209373.33466,9872.252562728605,940593.9186662164,566917.4997600152,18872619.478976812,107901972.65812401,722626738.1486372,2558.7766027867847,19673.479093819427,8494.961820044147
55383659531.909225,7747.8452821827395,1315144.3127413625,94617.8789550776,14363710.13755525,81619188.06713201,80569373.40677239,2719.33492506743,33061.00438093048,9043.163639405331
52198301597.09218,4975.495162125539,2249007.3910126747,63153.29377826987,25242036.843119532,16067486.628695995,18261995.221975386,2146.042791087382,38386.67519706101,7290.944148863195
52689498281.6578,9235.729845178184,1785287.6951817225,266803.7437434239,21646629.322853416,81108687.33517772,495489261.7056488,2437.769290791965,20600.04452034704,10211.250435654047
