F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
2361292478.961287,9109.884134438667,166890.53114851945,1976.980430682972,6103208.586094643,2880248.276048709,7779505.675528761,2570.181209183098,5831.094775530984,4220.706620119794
6705496795.743757,10167.239757616802,85594.07624797407,1965.6469453437887,4677749.129519697,313472.8961410559,13374760.64541299,2525.888154699353,4920.361590650213,3806.277199055663
1006802769.9841527,9283.592561795198,241827.0747334994,1958.147162037806,1460431.9002709265,899277.179472041,7862175.580951383,11049.946327994508,8551.410716257382,3724.3513422226306
7580857540.730629,10329.374314920147,100256.04568557156,2047.7450899491455,2125216.6931733903,2297333.4646554757,2965180.069995975,2351.730447812661,7229.53907686023,4248.480306162273
3117076796.0599523,687.4383334371742,199619.87692645477,2069.170351960626,12862030.73420839,958318.0383886134,6313322.816007584,2519.3603846471765,11159.970454510138,4107.719324314934
1313647054.5307193,-1954.6437541206578,178225.78326627857,1976.9637579492178,9194241.483763948,224890.2694657116,10860289.334237536,2433.292537429235,5920.685898816888,3687.033318832271
2765951961.262581,11428.50954277956,142196.28612037218,2209.429496704254,1905109.711896338,935130.0211258043,3882467.151722475,2467.016332703403,6865.049331046447,4111.054778068762
3806863029.9044237,11571.599128486927,146754.2472258023,1944.595901623855,8397993.093065858,173844.41772739115,4791599.322039866,2416.996991145466,4961.147179812026,3600.046214923579
1012495713.434808,8931.438245353233,319456.7943586801,1941.291710330768,11227937.800185833,2333869.501513337,3477196.8128145966,2299.7681735521282,6491.148756475499,3813.756515178143
3823656746.24498,10423.719451427949,187416.721359195,1954.4182467722205,1806924.7857387613,125239.42999090508,9171419.193804154,2409.2710761649973,7624.217036442991,3813.125364652416
1365056558.1686583,10310.066676847848,80496.58539284437,2128.9613475241326,1596445.65346108,26988.237985055966,2503291.898048068,2385.8133843157925,5107.082019236152,4206.4029118650415
1765792068.1440175,9892.81479561268,109281.95766351979,2001.2272117402958,13096751.521423062,1114580.622773679,20964222.691479117,2429.9031121818102,6879.4240579327725,4032.726736036219
2029028855.9972215,10752.321279772763,157260.8520055959,1963.731705125497,4575656.229433651,1716538.909712715,7834332.366717575,2399.5927773606313,4058.0852831873035,4222.123976529062
4769697043.370418,10000.605525685292,173356.56913047293,2066.073686964583,5878303.205948692,451378.5384189435,7470590.227206686,2346.0486192728476,9762.67835512367,4388.487171142211
2704728860.872316,9537.317597006671,78134.9156133665,1921.5228267821763,7319442.267053468,1231388.2199967739,8523235.14081724,2406.2165203086292,8458.306523267927,3674.2999296705248
700138980.5016453,8934.631742526422,95602.30846796685,1972.3441922100128,5708251.632793007,315397.0164601115,12205650.798638372,2317.728879381399,8753.379707308064,3478.606640390888
3211540995.555835,9146.126223545269,117149.61723373947,1954.4486729251516,10750644.035467101,606606.4647403107,4554449.699858559,2418.131966279804,7471.666024524944,3936.993515085669
4146249224.567363,9365.659042591466,115262.44014938214,1965.8820391134707,4821651.329936284,140091.08518873874,3315672.504515927,2357.1521386238774,7753.731708255774,4505.007153971574
3705499594.310708,9199.907203142171,164537.4195305419,2077.2636753496777,1022549.1193644602,6245130.008435753,6757769.655009279,2401.971126507315,10309.675160186096,4274.951337610315
3102346649.2800817,10976.128565562893,173211.96441286965,1970.9184133336014,3770387.3622894324,265509.57031313836,14694704.647337966,-296.8350273770866,8640.689293332278,3532.8130825375556
5759547088.077611,10735.744164268854,179091.9861911387,1948.239004148269,8480619.891435988,312941.7762636469,7879069.286938725,2574.9738903586767,5726.012179902153,3688.773710861862
2455172808.9240794,8891.141774039646,118996.98383424981,1965.4569357988173,3678168.1253582123,624223.0818989088,2247104.1046410226,7505.492008334351,6351.19569159788,4601.304624377919
6519378898.481646,-1348.9004107291876,45999.15953299212,1963.6412759129782,1734580.7036394272,3275051.9238805044,5957583.670273936,2380.037997665216,7589.238792112201,3779.9862956442585
3272394428.0449715,9769.466724098467,64935.714647000685,2113.5286940711376,4666271.067091701,1128480.4562229489,5636869.327896852,9506.613105863506,7320.787913443275,4109.575944459641
6139089685.202549,10612.916512348549,105779.82937067538,2061.255140764464,6986379.277816905,674108.6721937611,10965009.184255159,2368.6560589976593,5134.7865499540985,4200.437214239331
