F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
15469135615.902689,4479.831073694193,397363.02867057594,18244.780469909478,21416251.81620128,174110.7976372145,125555161.33062536,5215.441222888863,32194.89218272503,5359.913113842747
7791020449.704993,6636.769736120386,497405.47733336047,41503.894996102485,17566702.8462371,2129057.339864881,75580224.0503672,2053.091933520463,37212.31275088004,6350.509208691999
19823664325.420044,7608.339166994971,416316.6116260802,17628.18615731463,23426076.123007372,1577390.5447944733,41778737.24233686,1159.196650637335,13493.278188113698,5585.940319654596
10002693499.482626,9110.742459506737,632946.8599914114,55263.39387800543,19615673.72320724,3817497.5644777967,224872336.15323848,-1707.300195895616,12287.220641397513,5525.356756687765
15625161069.865065,6049.102559172761,569546.9682670628,21899.58293877282,30960781.659475934,2502638.988541172,51765890.25151557,2633.9499514557006,24320.583361060708,6760.507584100881
9394687439.211264,8438.692488364517,283613.23457182833,10804.627700165829,43183192.98114871,1035929.1051170859,27992033.752484854,1860.6082550886697,21860.401842798277,7805.343645576431
16360108162.01263,5218.146441860092,348120.49591608293,22213.92951203005,118673170.7841234,2089375.9770935324,67400991.58479786,34.1647293748656,22733.588981283014,7102.022746899587
16186002610.379522,2002.9722899747212,575348.105094707,13469.079751751195,53526399.82334349,282409.3335321381,62037547.3863821,5303.486356115368,22515.20253937321,6602.858403352693
15000887490.477417,7297.069611056748,664059.0524281111,4605.132122941377,103008532.34250106,1631607.5111184597,79590647.39483276,-2151.5316448616086,20048.823016459137,6006.452356445439
16402377294.754995,3218.5212695482332,657841.9056748681,25157.13236044198,49437631.74266039,1651000.573477513,95394399.43056639,1371.5190827987078,17818.758304664203,6856.699461617853
9979227404.815723,5641.515420835371,546270.2670593869,29771.785277766485,9008406.6274542,2590709.4896920635,192105582.20087498,3511.8704121353553,10791.630708340803,6415.114740742475
7113124917.652982,8852.125877045484,373628.4665312754,9596.51030412867,56032699.26483622,4128719.083933844,104333681.54025942,-3316.5516870521933,21368.223709282698,5793.867850778099
9161146759.879866,6174.136397839464,360199.77625776053,70255.27831280233,20600340.287928104,2003686.5462317022,70633085.60567415,3682.0839431300806,34642.86098235469,6629.90533646995
13925706388.770332,2516.3971854161246,579555.7054358588,46497.8457303261,41980562.91027,1412482.7796349446,137942069.28498775,2549.896393376208,19396.861788348207,5669.089849587602
14973786429.622023,7858.726351117395,495796.4179267765,25020.68056164337,12266935.829597173,1505211.3300347137,82229497.05424416,-3524.1565627368554,26056.640685389088,6553.820414298318
9798469509.856722,5735.615514041303,317292.6260882165,21637.95250711505,30378728.32239528,1215612.2231036336,103092337.24521792,3383.38323547905,12517.472628805515,6612.349181498164
15912879973.976233,8166.566401565591,525125.784358517,22077.428036234047,27785579.275495533,1979198.4901983216,31144339.25892165,4060.5363557583714,23186.22779105367,5645.850111274012
11019875785.983335,7463.317803562031,674624.8490028164,5485.214850939044,25651909.627744902,3832353.9975940054,51172249.09106016,3970.2204749097746,21165.41372910183,6999.483338670432
10523105959.220903,7106.470940022826,403162.3787052458,11587.311141707854,27586639.46822368,3292954.395260928,110968133.52564989,2546.5788762428606,33595.36129398158,6848.683612149661
11739785027.214825,6417.611471994765,412705.57356679224,15355.400235487126,17561961.607893597,2269970.7332392447,42254443.018386215,7057.184994263849,30656.396538094792,6975.392956179072
10593354353.696043,4023.8691501999165,622666.1736054466,14952.465142723133,11643073.974200694,623123.2985620493,160203347.66774473,3532.3561184480677,15426.003855644682,6321.545691196234
12987166133.000126,5352.854052238006,330714.0541120549,57283.2932931347,23203705.41837382,1598131.9245573706,68755525.43520157,3833.60849443026,13654.445512299377,6773.6072636418285
12183899104.328259,7415.126618708735,626873.2080308539,25308.270518096084,42171160.45121559,1897283.9733131833,100610406.47795825,2664.5552068972233,12824.450658390024,6252.904690473978
19126739008.465424,6524.3277368859,528999.9339764348,7170.07478090127,69170588.89210682,198155.63914143547,53412030.05750245,5735.636794108595,15756.230055727765,5324.80427405528
14868026090.23848,6002.835735881534,287862.48888634663,7595.508558837174,36088916.22296068,879668.7883608055,224495728.91620487,3258.978231280389,27367.61047590608,7175.694606781104
