F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
4914018.014313674,6321.21572170925,2264.0976010774566,1927.612344605516,351534.1337889766,5712.038590274529,671518.6093081589,2432.6611928259736,2672.926774076102,3291.070001553411
3049147.6476558256,6602.502121956639,1710.7336545597427,1929.7401950349354,712257.5614833301,3008.0866871478906,544510.6268474141,2410.198091260329,2838.5074035008975,3256.5808013003198
2287111.688182949,6470.155710232273,3110.9618197597592,1931.0808537931514,362324.1652276316,7345.007122044914,3232103.234702761,2387.451306654456,3142.513986764726,3316.2074564968834
2962888.2056998783,10459.213746846048,1905.212513678518,1931.84579910806,297001.4226357463,5934.500558055168,132179.9977796593,2398.654188795206,2794.2267161610635,3288.9655235620103
4957686.815285344,8797.921313095641,1623.1559851708753,1933.2789743899039,274858.46061672585,13741.14522417664,353872.0193266093,2412.369249857357,2656.9542237090977,3270.2564401412797
3616727.2129840227,8900.296075079654,1704.0163793755833,1928.1702634182723,298242.50561152544,4984.294807009272,393165.31550847535,2378.5637757496816,2737.2460146544495,3245.280050556923
4817716.2457632,6056.557707806705,1930.6995113715295,1933.5187894001233,280282.45730324625,5950.5832781195695,1004309.7756403717,2426.1798083783942,2852.4084572219313,3285.17069052395
1471313.4320198593,6997.371249526754,1689.6057757297262,1929.094547012011,115007.92063437188,17023.727732363346,235071.87867744686,2406.7454690533677,2712.332530786247,3291.955189325889
2595350.3706241213,8611.572030087667,1692.5051015563313,1933.8288079359302,224984.32653713052,3889.2192432866464,925162.8447826299,2399.270956675696,2795.8072763997516,3336.146578057348
2389171.194558588,6179.368905181902,1966.6618117941462,1930.2703874628264,436668.3979622718,4223.799914115165,103199.03827838018,2431.0863674100838,2686.324751695906,3373.9849123161125
1230956.8372555454,9552.964098771967,1635.4041605062139,1931.005456528806,311172.7320767429,4774.204390039472,274933.5343513123,2403.470560858258,2735.485307274873,3347.706442977467
1731474.664237896,7424.157943829268,2040.7177511856305,1933.4129888786845,693555.3233051358,4535.669692240141,282885.6116319437,2388.114069327119,2689.822057123414,3298.081368257931
3412382.214902533,7797.150267451165,2065.439453964592,1932.0238850402764,215484.06691334778,5904.04063124317,1280594.7328427993,2399.1335992894465,2711.9249169471186,3244.6757236719504
2197500.2232020246,6413.366709763588,2303.3353551843707,1936.4949870633586,476343.86977573833,5215.917191449114,1061854.7931076752,2406.4649199811042,2732.3373198291683,3342.1696807420276
9753590.70374657,8614.082106809998,2138.017680835364,1926.5262033232623,250431.68766249536,4671.426459234278,1682718.244476965,2374.114191273694,2723.6353694443874,3447.7438321778063
3313270.214977269,3957.8092313838024,2582.466279456693,1930.5357817520462,351647.46159587306,4736.0298299121305,907062.8214096668,2387.098024953691,2817.763253569723,3239.305836285451
3176387.214004126,8846.150527893276,1819.6191890543907,1930.020149281096,192978.3932561738,5215.7771091707145,141773.81314818998,2429.762097407285,3153.88111592981,3326.351707907728
3619191.5155675043,10220.457901956122,1915.267374427364,1928.1559508942903,197923.42665763415,6249.925274179583,1004087.5927809965,2416.8969924153494,3087.9524647757703,3285.1965127092035
3851046.094156915,7849.630114323238,1833.3541885470943,1929.39889159317,263038.98620982625,4445.785740783005,913926.2411623716,2401.5784407381475,2827.1633633364045,3312.7575804926087
16798258.44497099,6583.065227011015,2143.998570116656,1930.9044985560452,367516.75733701646,12492.164072300939,329682.08227948594,2419.229794060333,2861.3063794158347,3232.259281259099
2197015.833589121,6074.913670156733,1959.1201676085584,1930.7108577773022,227732.5324077874,5617.014588042799,349823.1339350998,2423.4238840533617,2750.438765295365,3260.7346033886347
4773333.753703755,1519.3625694828734,1969.7510996487808,1928.400453662033,177470.06098943762,2927.9285408964756,256740.8230615918,2389.8371750206825,2745.937470498321,3264.072267289711
3384401.1950130695,7273.66655536647,1550.0496554200704,1931.6124514198368,170081.5345213106,3861.824362223967,389047.7483163565,2381.8856888748037,2688.185391089894,3292.6284107274814
2299524.961572487,7519.477343299179,2458.482051242399,1930.3214651888393,153943.09354780294,3507.5437928287756,407733.8879611548,2403.589632345182,2759.099139903806,3247.527492136101
612063.2832784987,9424.856402249385,1391.3033791792473,1927.7680245953718,257636.9570364991,4233.437181167754,284450.32551239536,2416.730513631337,3081.9420225468252,3288.73853866513
