F12020,F22020,F32020,F42020,F52020,F62020,F72020,F82020,F92020,F102020
2559389.541687527,1310.376906396974,1944.3125835795327,1941.055781599071,8215864.430347162,211240.23851262033,2972246.5264636725,2694.327381039844,2624.7692891727834,3522.5232226103144
5043378.743883952,978.591886381626,1823.9691239475749,1919.8016699932439,9121391.44865869,52732.62658448362,12470143.665605744,2401.378930897854,3038.11240194888,3602.6206892160008
4637949.735487549,1611.1197782075324,1809.4150750013769,1933.9051730950625,3173822.8533031205,121044.37532908184,17319244.305872183,2560.1371781394705,2628.934188224281,3505.5071512933755
895350.7921712266,496.8227551532327,1867.9753201694962,1945.9636352973423,3529667.640230677,949295.4939904312,1948153.5669636354,2418.766798752911,3245.7088711909296,3686.4713573634917
3003557.1688476657,1646.2094931711035,1707.7414896060286,1938.2706424186379,10176747.761363186,148609.39127676038,4736941.725222229,-2376.5142295437427,2624.752560488205,3478.024269786454
10329745.500957552,2293.0982762941494,1880.2117876876434,1936.6039040818864,8267424.175986114,63426.08626242228,11626777.31456117,3106.2461001594297,2610.803134888791,3548.306297726057
2622371.2320214016,-2162.764104405229,1958.5703979405284,1998.4379443223384,8299876.593714712,996545.5964943098,25484721.87372026,2380.3659844275016,2640.3067480198342,3678.868531452854
2840052.7632741416,3971.4928381191385,1758.827434858623,1948.5721351794862,8941749.511645172,248795.09088005585,3768004.00903363,2460.9032206785055,3111.187789622636,3671.0898372821453
329893.26686420105,-2950.5471253647192,1652.4894534409568,1934.3034749696974,3885483.2231201665,45724.77601888291,15916753.261417603,357.64451274328303,2619.7501358929267,4025.7743978696362
918221.3314688845,56.019007967923244,1665.1633118451205,1925.767485375693,3998879.400297347,817876.0197707535,9531520.948246446,2427.386082117752,2650.6591786793265,3952.6276783407284
882381.951228827,2675.2089489102473,1685.072193189034,1944.1576866510825,3836322.361562774,63654.63965432781,7099241.339519743,3538.18403134903,2618.9422265061876,3636.552965193808
793490.0410791638,1758.7050496912962,2107.963879134748,1957.8363709124505,6189273.974772135,139372.40693694644,6170643.052513196,2118.64189434307,2624.8247005175385,3941.5145414441195
729501.3863825412,783.496479929574,1636.4410488986537,1964.615708033401,2402216.0103433016,36655.18082823831,15343875.328764064,4672.439271286682,2618.3023874440496,3682.9581711304454
8209010.23471306,-831.6057815021486,2299.752439346146,1943.4496166181564,8271846.766980187,479038.659835918,6079210.742032025,1881.7322302471457,2642.6265570569367,3567.5634913272515
2386404.974374446,853.9909824185343,1648.6745431468648,1942.8870010788526,5706917.059135244,232592.34413291042,8464426.915384956,-3139.4314177188926,2622.5964644558276,3609.2377458571827
7393739.066670544,-1038.4138671880792,1881.2781727222873,1941.8386577578926,3789110.844787957,95322.08828056627,8037017.090175113,6558.293950944472,3095.4006489167245,3617.008091198426
4285496.904444964,2396.4741805461454,1886.9892462717187,1937.3729706973302,3808719.1173781273,144375.93884109278,3891454.051374137,2408.771599060892,2607.294292771875,3440.389715929371
214319.09465756078,1496.432359067836,1872.419513761821,1936.0103428431646,2699616.0888883895,924088.5891783838,6217923.410388927,2383.0356254888943,3004.7088434480884,3999.9316531616796
2521896.8287482616,564.5247793498565,1788.6247409778105,1920.2674907288558,4446937.674872287,172610.02885831814,2268747.710539283,1100.9325408834663,2623.6333858209546,3644.607764297177
523736.8910744603,2473.280750047339,1527.8340199231848,1938.5272117829975,1538271.333343106,64312.47892998637,26399492.087969877,5487.184061936649,3310.398146671574,3524.799566816796
3518951.7561598686,-772.6619758276429,1597.1830030336178,1954.4718801236252,5282251.570396533,522919.84171227104,12813987.42059397,2320.3311928355592,2671.141517506612,3504.687156930045
3016987.180738045,446.1352700748066,1644.4850720134132,2030.5415606047318,4917732.799415028,175989.11683938644,8105094.189349374,3079.181094413701,3103.6901652828074,3978.7008872532197
1744411.0668102978,-853.2135486838379,1739.6483122284722,1947.612742196262,7945830.6958035985,117428.63671416162,12074246.408664238,456.539999141165,2641.9011765755054,3464.5247254722763
5961340.671258141,-1897.9889689379452,1882.4774844858694,1937.3742673503698,1500914.3972522144,67521.2871718996,1270717.6035565687,2376.31042494034,2610.2970904220415,4318.248965525037
1105140.1826180192,1650.9343661479288,2199.6008701597448,1942.2146695679603,3725114.813323525,380855.28804759553,18269736.258789875,220.45055751745645,2628.5598525790183,3677.9425834947197
