trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
19084014.04944803,9014096.641468016,22781409.648586024,30999757.082332507,32692013.812085655,33984990.149867654,14675321.933041554,26922516.18592788,18820839.782408934,14249309.130810658,8221474.248840329,35410686.5464336,28672242.03944487,25180902.20554285,28607491.3011677,33560064.14411732,20875792.98597021,32605866.630859267,22030268.929616503,37425298.561717354,12684837.301215041,11814713.520304328,27133709.447506383,26958206.05947172,15390237.110673103
10429478.253807612,9014096.641468016,13326789.233754609,17208864.63516533,19383941.654194634,18286453.730509985,3206428.1578799984,13121362.726374485,14188735.928919768,10726370.18378339,5025034.775980576,11532845.751323694,7261526.039008541,14213712.303549048,6716134.3055316,13779035.403205149,6892046.0023514535,7471592.478675046,5616183.53801986,16124368.686287131,8187920.151975829,8560310.95916373,13964438.108477369,26958206.05947172,10160404.897473862
10429478.253807612,4476209.055457117,9954607.33473709,10406546.191472813,10429051.610937199,18286453.730509985,2173638.25823804,13108524.281957623,8937559.155927574,4233054.496742442,4110379.1367314686,1771667.215503056,2929906.4631625256,5091863.403995724,6716073.453570005,13333856.70929122,3840085.996576855,7105995.482846791,3609814.185900678,3952327.8412236613,3570393.7391569717,3157339.6870609433,3561362.802465453,18459932.735195473,8116361.699369639
4670365.167475721,2925704.2849754132,6002564.543131802,3633991.1721110977,6509942.639308757,13725839.380169747,739658.2661849102,6284551.538277487,4012567.0030674976,3575260.349603616,714833.9939925647,802419.5859513329,1698982.9470236185,3180735.348625785,3051948.05811708,9276627.88313152,3840085.996576855,3541019.3976326757,830938.5942481525,3901604.7207533563,1426643.544512848,1880244.2953284432,1078579.5584597287,5643315.238159638,4081097.5362394103
3091441.69593287,2102536.0771873235,5544265.460925344,2428453.526248814,4314179.644535118,7241368.467052068,637699.9540105428,3562403.3570114127,3250524.9023623904,2399411.7560961065,556169.6749038489,780880.660245341,1612463.875333433,3025923.5384590006,2379384.9765674006,7647979.08001426,2792444.2495403527,1597299.4759878016,801004.4642764715,2172358.052604328,1024583.2116703785,801547.8440049953,659172.8205984435,3941456.8832563865,3402217.9103565523
1995939.8365059202,1558286.1098133076,4797809.543392184,1233036.8720063819,2101341.955889332,4008144.4203111483,195504.0141204491,3432097.088296081,2645302.752925009,2335275.159218889,506343.7213298391,565312.2646204294,1444050.5741403513,1833270.6780915484,1562256.0516699166,5360330.626618289,2047105.3417736897,835232.3874705181,454611.42304500635,937741.8735737427,822921.434025298,619944.883050747,204199.15117981276,3146284.1845947765,3398126.9890160523
1586727.998405085,1316193.4618132652,3037331.5957672377,943952.5399437394,1080847.1850368455,2277116.013228625,165006.6759983001,2716099.6500753677,2363168.3049869454,1339399.6731826486,415271.63940935704,357675.73967491207,795700.8309048373,1547194.380853992,1082521.082055224,4240719.74303073,821697.3071313265,771550.9176954448,300354.42635004176,623494.343941964,351227.75964348984,502010.5335959585,138959.41918215924,1976208.2044104768,1673032.7271100858
1256999.1432851017,687558.6612415462,2811128.8761221333,872188.7435582506,430850.4391396415,1612521.3258052783,104003.084281683,1601280.8976583928,2034026.0899931905,1120987.255896682,391953.6955632876,275089.8043924101,399226.8119551428,1433127.0329027455,955535.7568654212,4125423.4059640616,553894.39757816,471536.1520580254,274693.6653688047,350536.61762627284,278122.72813719255,481548.94525657134,125639.02540703405,1747625.8635158,1327157.072059029
1119526.1999413178,634300.8800289024,2637635.647942529,687075.4353850158,350877.83933061216,1600363.9785645963,100528.12357560574,1591221.9652847229,1973052.430591688,841487.1911889045,338105.76565778337,254437.90132432207,274415.42772677133,1164238.94821716,680815.2236245592,3319607.408751354,493897.83647155616,450352.50010313,252747.00228775214,251403.5845904765,261895.78751344042,445997.7457801562,90679.134815915,1520371.8744751005,1215117.9622509887
1108467.4017803546,596434.9298760367,1881716.2475900925,631269.0235800347,270269.14192647266,1264662.698396326,93160.34945024873,1371088.0567674648,1887634.010602986,600644.8875123535,308369.3642922927,184641.2378909536,262762.0815054461,1147982.6582658554,667499.7112890151,3117051.529199912,354185.9574432149,380954.396010346,236531.35211536754,164963.4848952034,232543.789691282,401367.95962074376,45124.85088896687,1363316.124699945,987060.0546583771
