F12022,F22022,F32022,F42022,F52022,F62022,F72022,F82022,F92022,F102022,F112022,F122022
4633.513974518443,409.168780459611,600.0000774229037,860.0,900.1335091038014,51350.09357610498,2108.672841952225,3270.4301806449357,2676.7539654456205,1923.5994957790638,3461.9771920810144,2860.999432118254
4904.077658878385,409.09190258928544,600.0000232901415,863.0193807516415,900.0305808431982,1527649.8871173984,2076.403032347909,2622.388752184976,2672.1585201552552,2156.190541579703,3461.7376628480934,2862.100397885555
2999.4668112082036,409.9024990440137,600.0000348724562,878.6001686959108,900.1091487758331,112462.00794527086,2106.6707402602096,2701.310732320544,2673.651167261217,2515.486020109723,3433.324249754725,2859.9757774869304
5105.810140020713,407.6753868623775,600.0000331268783,878.1947043877585,900.0687777893544,321085.6453806547,2099.879474300851,2678.938816730503,2670.9686076932117,1646.9337190807619,3081.4634540677384,2861.4348109368616
1907.6317110025007,409.0836841213285,600.0000420668674,862.9664610741735,900.0765966681954,492222.81472125306,2108.233640853611,2576.561638741386,2674.2185840724715,2625.1948088358495,3461.5150755606123,2861.5604374103227
3115.386893079095,409.40644056725176,600.0000735724211,888.394982571084,900.0321013498037,207912.3753898573,2096.4215834982556,2931.8289740458604,2671.336629154265,2285.342842306285,3379.0234418660693,2861.616771513953
2603.668392926502,408.39412616930366,600.0000628929599,876.5,900.1186433335023,112051.12641219678,2073.8647434884992,2568.1893527497227,2670.5766629788727,1693.9543425905172,3461.3282720188577,2860.393586706948
5308.579385356024,423.54776761902224,600.000031337472,887.5435367685549,900.1090264573361,664601.9513571825,2131.532686011007,2439.6015349405548,2673.2209456635683,2360.575320445449,3431.158276660375,2861.454310484377
4906.725053401474,409.21029027811954,600.0000327142545,878.1351888537664,900.1669451414494,611743.34783827,2076.29559155515,2895.5794208034076,2672.177512057079,2450.5819791288623,3461.444190861507,2863.1134863856205
3148.827132515025,409.16558246766186,600.000044970702,863.3459992906127,900.1282624099471,126066.84943675651,2095.965857529483,2798.4592612166107,2673.278057323057,2629.044091021348,3461.770545701497,2858.540603541234
3344.849471940504,409.5809670712085,600.0000363946883,889.1216414475706,900.1625438091595,76601.28170830842,2089.1654638849427,2792.5659331841725,2672.4512574243654,2367.735428707272,3039.099049464736,2858.860139346919
3671.878772520166,409.01638148889316,600.0001128329077,861.560894130597,900.1658817106529,287433.683461252,2088.5524697801015,2276.2820561910244,2671.2639138912828,1713.829096911034,2763.27604451413,2860.913769832992
3376.085375772018,409.0343105452948,600.0000722793998,868.6603620622609,900.1552780026935,171429.9091464032,2105.3874795005304,2601.0586629525505,2672.175324895411,2618.363413572563,2941.2069531257825,2861.22582713281
2271.4492267512005,409.0860292541551,600.0000983584015,881.6631617747465,900.0622302217548,113815.8242726346,2075.773314278378,2445.286633787952,2669.3970303437745,2283.0346111103186,3219.7051538610153,2863.317518928823
2967.214911412427,409.9867707719752,600.0000594515095,900.99469130842,900.0613212101526,183861.00503485062,2092.1096531157823,2268.8080330368316,2674.0852412520385,2300.373216877661,3179.1776775902113,2864.2668064084905
4018.134061029929,409.09562316827186,600.0000489873637,880.3972725908499,900.0869056779775,566208.3772024418,2110.10208158541,2546.2265127338055,2673.1010574455286,2169.272308482432,3464.4130966922703,2861.536612990124
2553.89137032224,408.7864103841568,600.0001379523513,889.4093116080867,900.1316911710169,740059.5330187936,2097.5529351889886,4308.227330448189,2672.156278152405,2389.8491042917794,3461.4479197218448,2862.1913333174944
4845.998962649049,409.22122136920007,600.0000509993524,876.3816663947923,900.2222591149505,117726.72520607473,2083.723139215103,2438.2608607543666,2678.748848509099,2617.993272685168,3461.419603117954,2863.3584102832187
3355.807157584605,409.01866000203427,600.0000875176255,900.3739699422774,900.1070391418217,104136.90002180939,2079.7380385205465,2589.9105630774093,2670.207948358743,2430.3344322975418,3299.5270339897124,2862.103770704508
2047.1069675626754,409.237789161261,600.0001342195974,880.3893591699108,900.2429123506274,113448.92306597823,2071.137726667535,2411.293052106843,2679.740999416576,2327.459798765936,3017.430596307488,2862.265299248674
3554.6703053414826,409.612005338165,600.000035146416,884.6767407144257,900.0501873537208,463589.1403281462,2089.6262463718404,2340.3262264863256,2670.964777666858,2492.5894147373288,2769.0726283910385,2862.732798730659
1915.1192493035646,409.31025035609025,600.0000504955892,833.6759979271227,900.1220098922807,563906.5845780367,2046.4603295734232,2744.7750261090864,2672.864047088897,2471.542874355546,3461.7693402975146,2860.7968171387915
3279.256566608374,407.8119375533651,600.000038857688,874.5196785352074,900.0872740676848,57343.42179808188,2106.147285890296,2324.962552279526,2675.129302971964,2356.940916689595,3461.612201984531,2860.885157315056
5010.990819522098,407.76057111528115,600.0000502901879,860.0357063858664,900.086364635326,133330.57250133588,2091.0496108803104,2636.35871694844,2673.24457351317,2371.4194830747574,3201.751262801408,2863.238600135117
4617.5791185337375,408.1932897657666,600.0000932681845,867.7362970502045,900.2180338948514,442279.914771469,2098.5750242481145,3055.4418246897094,2676.1604282905496,2337.796487498486,2745.4206632722858,2862.6855938191497
