trial_1,trial_2,trial_3,trial_4,trial_5
-184.43664788023176,-193.68408827597062,-194.64808849986767,-188.47374856902482,-188.8309587733788
-193.78730748208974,-198.04179065246564,-194.64808849986767,-190.06837908751083,-189.38406437915012
-196.69398825520608,-199.3750785004365,-198.12340502429686,-193.49661747847895,-196.17606284563266
-198.70617954859023,-199.3750785004365,-198.12340502429686,-198.90220258241553,-198.50069638147028
-199.69646852121807,-199.55896519816437,-199.18162506316517,-199.76360088905975,-199.60338262496543
-199.7457746481038,-199.63885384037013,-199.61906925682092,-199.98113277040875,-199.87263764602494
-199.9261824388208,-199.95838888126733,-199.91500344189853,-199.98113277040875,-199.92579719585103
-199.97444189291073,-199.95838888126733,-199.96280651069503,-199.98113277040875,-199.9845212903162
-199.99632948705192,-199.97948121744056,-199.97796901100602,-199.98113277040875,-199.98464050300146
-199.99916926223568,-199.9943962114765,-199.98283572201413,-199.99652694471888,-199.99657811326648
-199.99943741553574,-199.99701872690883,-199.9834142317347,-199.99652694471888,-199.99749177929988
-199.9995339267898,-199.999574517371,-199.98609382087,-199.99798529369914,-199.99949660288974
-199.9999437594142,-199.99980091426383,-199.9874491072,-199.9997288856235,-199.99972033617058
-199.9999437594142,-199.99980091426383,-199.9883569876105,-199.9997288856235,-199.9997949006755
-199.99999199176554,-199.99980091426383,-199.98890047984105,-199.9997861837835,-199.99995638596954
-199.99999199176554,-199.99980091426383,-199.98890047984105,-199.99994488035583,-199.99995638596954
-199.9999959988273,-199.99980091426383,-199.98899590748252,-199.9999491944484,-199.99997480299922
-199.9999965942059,-199.99982688345582,-199.98905034939546,-199.9999753548361,-199.99998542933383
-199.9999989131194,-199.9998363865019,-199.98908179171607,-199.9999753548361,-199.99999066164477
-199.99999974929833,-199.9998363865019,-199.98908179171607,-199.99997926056236,-199.99999066164477
-199.99999995223783,-199.99983639293433,-199.9890832972412,-199.99998087543688,-199.99999190119922
-199.99999995223783,-199.9998394266227,-199.9890832972412,-199.9999819862114,-199.99999190119922
-199.99999995223783,-199.99983968848403,-199.98908798722917,-199.9999819862114,-199.99999269632184
-199.9999999826274,-199.99983968848403,-199.98909028844218,-199.9999819862114,-199.99999269632184
-199.9999999826274,-199.99983968848403,-199.98909028844218,-199.99998216410802,-199.99999269632184
-199.99999999248382,-199.99983968848403,-199.98909028844218,-199.99998225522708,-199.99999269632184
-199.99999999641568,-199.99983968848403,-199.98909028844218,-199.99998228424374,-199.99999269632184
-199.99999999749684,-199.99983968848403,-199.9890908045811,-199.99998228658043,-199.99999270875483
-199.99999999861194,-199.99983970881607,-199.98909097353098,-199.99998234188553,-199.99999270875483
-199.9999999993102,-199.99983978826054,-199.98909098354866,-199.99998234188553,-199.99999271140146
-199.99999999993102,-199.99983988232765,-199.98909098354866,-199.99998234188553,-199.99999271179206
-199.99999999993102,-199.99983991186227,-199.98909098354866,-199.99998234188553,-199.99999271297682
-199.99999999999145,-199.9998403921899,-199.98909098354866,-199.99998234414662,-199.99999271578184
-199.99999999999145,-199.9998403921899,-199.98909098354866,-199.9999823462773,-199.99999271578184
-199.99999999999145,-199.99984040523682,-199.9890987407713,-199.9999823462773,-199.99999271650736
-199.99999999999145,-199.99984040523682,-199.9890995566561,-199.9999823462773,-199.99999271650736
-199.99999999999275,-199.99984040523682,-199.9891005131875,-199.9999823462773,-199.99999271752574
-199.999999999999,-199.99984040523682,-199.9891005131875,-199.99998234640887,-199.99999271754058
-199.999999999999,-199.99984040523682,-199.9891005131875,-199.99998234640887,-199.99999271754058
-199.999999999999,-199.9998404052698,-199.9891005131875,-199.99998234672717,-199.99999271754058
-199.999999999999,-199.99984040826376,-199.98910062387182,-199.99998234672717,-199.99999271754058
-199.99999999999903,-199.99984040879784,-199.98910062387182,-199.99998234680766,-199.99999271754058
-199.99999999999957,-199.99984040922777,-199.98910072151526,-199.99998234709778,-199.99999271754058
-199.99999999999972,-199.99984041193068,-199.98910072151526,-199.9999823477832,-199.9999927179207
-199.99999999999991,-199.99984041193068,-199.98910072151526,-199.9999823477832,-199.99999271914
-199.99999999999991,-199.99984041357266,-199.98910072151526,-199.99998234785622,-199.99999272130432
-199.99999999999994,-199.999840413637,-199.98910073688108,-199.99998234785622,-199.99999272130432
-199.99999999999997,-199.99984041380728,-199.98910073688108,-199.9999823478683,-199.99999272155037
-199.99999999999997,-199.99984041386315,-199.98910084637586,-199.9999823478683,-199.99999272155037
-199.99999999999997,-199.99984041386315,-199.98910084637586,-199.9999823478683,-199.99999272163876
-200.0,-199.99984041386315,-199.9891008719283,-199.99998234789217,-199.99999272163876
-200.0,-199.99984041386315,-199.9891008719283,-199.99998234789217,-199.99999272163876
-200.0,-199.99984041386315,-199.98910106032577,-199.99998234793398,-199.9999927216664
-200.0,-199.99984041389976,-199.98910106032577,-199.99998234793398,-199.9999927216664
-200.0,-199.9998404139168,-199.9891011007694,-199.9999823479366,-199.9999927216664
-200.0,-199.9998404139168,-199.9891011007694,-199.9999823479366,-199.9999927216664
-200.0,-199.9998404139168,-199.9891011272362,-199.99998234794106,-199.99999272177251
-200.0,-199.9998404139168,-199.98910113113405,-199.99998234795285,-199.99999272177251
