trial_1,trial_2,trial_3,trial_4,trial_5
-193.23779001439024,-190.8631226570893,-187.1902084343577,-193.63957480118913,-181.7648570207698
-195.40170548552857,-199.10921208181483,-188.3833386292385,-198.79498812948276,-191.60513038213088
-198.03313396020022,-199.10921208181483,-197.6339331169643,-198.79498812948276,-197.9733950255952
-198.68762045299027,-199.2495408998223,-199.0514453373417,-199.11612545306136,-197.9733950255952
-199.68649397126669,-199.59011557043695,-199.30288680982517,-199.48861045117778,-199.66712929809523
-199.8987050596389,-199.82168168960249,-199.86965043471022,-199.84540941037127,-199.8725289686423
-199.9665566778924,-199.96715383919403,-199.94057086064393,-199.97690903621822,-199.8725289686423
-199.9744407564534,-199.98618751955993,-199.98719010831368,-199.97690903621822,-199.9831459877032
-199.99458622392942,-199.99083667443335,-199.98719010831368,-199.9855301274625,-199.9832324650204
-199.99937731116466,-199.9979636776829,-199.99020985492658,-199.9944527513261,-199.99146868426823
-199.99937731116466,-199.99924255967386,-199.9971432158466,-199.99724335209882,-199.9959264740759
-199.99990575176093,-199.99942149957826,-199.99908774525542,-199.99916228787444,-199.9994722983237
-199.99990575176093,-199.99995381016547,-199.99983748936998,-199.99986879746706,-199.9994722983237
-199.9999078874574,-199.99995601651108,-199.9998896123328,-199.99986879746706,-199.9994722983237
-199.9999415922538,-199.99995620536706,-199.99990387286095,-199.99991004134213,-199.9995381814622
-199.99999646618892,-199.99998172989356,-199.99998271711416,-199.99991004134213,-199.9995381814622
-199.99999646618892,-199.99999088923462,-199.9999951561487,-199.99995528653773,-199.99955939530778
-199.99999777215584,-199.99999392045623,-199.99999584922298,-199.99996846967403,-199.99969972838704
-199.99999798799917,-199.99999430977775,-199.99999584922298,-199.99998046681367,-199.9997590166796
-199.99999798799917,-199.9999982771943,-199.9999987658581,-199.99998561658947,-199.99980084250336
-199.99999900067627,-199.99999885588028,-199.99999967753695,-199.99998561658947,-199.99980084250336
-199.99999900067627,-199.99999885588028,-199.99999967753695,-199.99998561658947,-199.99980084250336
-199.9999991215449,-199.99999903317718,-199.99999984030282,-199.99998561658947,-199.9998035379401
-199.9999991215449,-199.99999953603117,-199.99999984030282,-199.99998561658947,-199.9998035379401
-199.9999991215449,-199.99999953603117,-199.99999989933303,-199.99998561658947,-199.99980373934986
-199.99999929072828,-199.99999953603117,-199.99999997525876,-199.99998561658947,-199.99980373934986
-199.99999929072828,-199.99999953603117,-199.99999997683554,-199.99998561658947,-199.99980373934986
-199.99999929072828,-199.99999953603117,-199.9999999783309,-199.99998565752995,-199.99980378994348
-199.99999929072828,-199.99999953603117,-199.99999998390135,-199.99998565752995,-199.99980378994348
-199.99999929351455,-199.99999953748443,-199.99999998390135,-199.99998565752995,-199.99980378994348
-199.9999992953782,-199.99999953748443,-199.99999998390135,-199.99998565963986,-199.99980378994348
-199.9999992953782,-199.9999995379396,-199.99999998390135,-199.99998565963986,-199.99980378994348
-199.9999992953782,-199.99999953803834,-199.99999998411266,-199.99998565963986,-199.99980378994348
-199.999999295649,-199.9999995381798,-199.9999999841547,-199.99998565963986,-199.99980389224083
-199.999999295649,-199.9999995381798,-199.99999998420336,-199.99998565977074,-199.99980389224083
-199.99999929585758,-199.99999953821555,-199.99999998420336,-199.99998565995662,-199.99980389224083
-199.99999929595003,-199.99999953821958,-199.99999998421742,-199.9999856600971,-199.99980389224083
-199.9999992959948,-199.99999953823553,-199.99999998421828,-199.9999856600971,-199.99980389248424
-199.9999992959948,-199.99999953823553,-199.9999999842199,-199.99998566025755,-199.99980389248424
-199.99999929605534,-199.99999953823553,-199.9999999842199,-199.99998566025755,-199.99980389248424
-199.99999929605534,-199.9999995382447,-199.9999999842199,-199.99998566028947,-199.99980389248424
-199.99999929612008,-199.9999995382447,-199.99999998422052,-199.99998566028947,-199.99980389248424
-199.9999992961424,-199.9999995382447,-199.99999998422052,-199.99998566032707,-199.99980389285054
-199.9999992961424,-199.99999953824613,-199.99999998422052,-199.99998566033324,-199.99980389285054
-199.9999992961424,-199.99999953824695,-199.99999998422052,-199.99998566033324,-199.99980389285054
-199.9999992961424,-199.99999953824695,-199.99999998422052,-199.99998566034344,-199.9998038928693
-199.9999992961424,-199.99999953824707,-199.99999998422058,-199.99998566036217,-199.9998038928693
-199.9999992961462,-199.99999953824707,-199.99999998422058,-199.99998566036217,-199.99980389291318
-199.9999992961462,-199.9999995382471,-199.9999999842206,-199.99998566036217,-199.99980389298022
-199.99999929659816,-199.9999995382471,-199.9999999842206,-199.99998566036635,-199.99980389298022
-199.99999929659816,-199.9999995382471,-199.99999998422064,-199.99998566044727,-199.9998038932155
-199.99999929659816,-199.99999953824715,-199.99999998422064,-199.99998566050127,-199.9998038932155
-199.99999929659816,-199.99999953824715,-199.99999998422064,-199.99998566052884,-199.99980389324014
-199.99999929660325,-199.99999953824715,-199.99999998422066,-199.99998566058562,-199.99980389330224
-199.99999929660325,-199.9999995382478,-199.99999998422066,-199.99998566058562,-199.99980389335175
-199.99999929660325,-199.9999995382478,-199.99999998422066,-199.99998566058562,-199.99980389335175
-199.99999929660325,-199.99999953824812,-199.99999998422066,-199.99998566059352,-199.99980389335175
-199.99999929660325,-199.999999538249,-199.99999998422066,-199.99998566059364,-199.99980389384518
-199.9999992966035,-199.9999995382503,-199.99999998422084,-199.99998566059543,-199.99980389404456
-199.99999929660405,-199.99999953825088,-199.9999999842209,-199.99998566059543,-199.99980389437042
-199.99999929660413,-199.99999953825235,-199.9999999842209,-199.99998566059543,-199.99980389496204
-199.99999929660413,-199.99999953825235,-199.99999998422092,-199.99998566059543,-199.99980389496204
-199.99999929660456,-199.99999953825318,-199.99999998422103,-199.99998566059543,-199.99980389496204
-199.99999929660518,-199.9999995382576,-199.9999999842211,-199.9999856605977,-199.99980389496204
-199.99999929660518,-199.9999995382576,-199.9999999842211,-199.9999856605977,-199.99980389496204
-199.99999929660518,-199.9999995382576,-199.99999998422112,-199.9999856605977,-199.99980389552755
-199.99999929660578,-199.9999995382576,-199.99999998422112,-199.9999856605979,-199.99980389552755
-199.99999929660578,-199.99999953825832,-199.99999998422118,-199.99998566059807,-199.99980389552755
-199.99999929660578,-199.99999953825832,-199.99999998422118,-199.99998566059807,-199.99980389552755
-199.99999929660578,-199.99999953825963,-199.99999998422123,-199.99998566059858,-199.99980389552755
-199.9999992966065,-199.99999953826025,-199.99999998422123,-199.99998566060512,-199.9998038957396
-199.99999929660675,-199.99999953826025,-199.99999998422123,-199.99998566060532,-199.9998038957396
-199.99999929660723,-199.99999953826034,-199.99999998422123,-199.9999856606116,-199.9998038960852
-199.9999992966075,-199.99999953826057,-199.99999998422123,-199.9999856606129,-199.99980389652262
-199.9999992966075,-199.99999953826057,-199.99999998422123,-199.9999856606147,-199.99980389664964
-199.9999992966075,-199.99999953826057,-199.99999998422123,-199.9999856606185,-199.9998038968606
-199.9999992966075,-199.99999953826065,-199.99999998422126,-199.99998566061964,-199.99980389706386
-199.9999992966077,-199.99999953826116,-199.99999998422126,-199.9999856606206,-199.9998038975665
-199.9999992966079,-199.99999953826116,-199.99999998422126,-199.9999856606206,-199.9998038975665
-199.9999992966079,-199.99999953826116,-199.9999999842213,-199.9999856606212,-199.99980390178834
-199.9999992966079,-199.99999953826153,-199.9999999842213,-199.9999856606212,-199.99980390368228
-199.99999929660794,-199.99999953826153,-199.9999999842213,-199.9999856606212,-199.99980390387728
