trial_1,trial_2,trial_3,trial_4,trial_5
-185.63523922068708,-192.5115550315226,-188.31322591804366,-189.97932837734496,-197.58862003094865
-189.5310341649594,-194.64649667304016,-189.72815603686072,-190.94436672979523,-197.58862003094865
-192.18775321337515,-197.0085773480031,-192.9557256999131,-195.75793240388495,-197.58862003094865
-198.34548406507662,-199.22115387184863,-196.98761912772116,-196.70094496965032,-197.58862003094865
-199.17384146308046,-199.22115387184863,-199.22607338996423,-198.65382611501053,-199.00280532844008
-199.71186380367956,-199.22115387184863,-199.37850087052865,-199.13294299299275,-199.00280532844008
-199.71186380367956,-199.90183470236676,-199.81641216404165,-199.65709528450856,-199.77257057011496
-199.82647863243338,-199.90183470236676,-199.86628446464076,-199.87862850842103,-199.83481884505954
-199.86299051104294,-199.90183470236676,-199.86628446464076,-199.87862850842103,-199.90046522422708
-199.9264797717319,-199.90183470236676,-199.94177203277047,-199.91115599356803,-199.90046522422708
-199.95000591778916,-199.90850718446336,-199.94177203277047,-199.91115599356803,-199.96594968727695
-199.95000591778916,-199.96084858096148,-199.98194578581837,-199.9133497987955,-199.96594968727695
-199.9871685884291,-199.96084858096148,-199.98194578581837,-199.96358597059762,-199.96594968727695
-199.9944920737248,-199.9639808240392,-199.98194578581837,-199.99205913262944,-199.9914965033455
-199.9944920737248,-199.98576728357514,-199.98570822891696,-199.99205913262944,-199.9914965033455
-199.9945206435583,-199.98576728357514,-199.9886190926692,-199.99807052131834,-199.9914965033455
-199.99748690546573,-199.98576728357514,-199.9959057371109,-199.99807052131834,-199.99233785799495
-199.99793756385475,-199.99064600478593,-199.99807739473226,-199.99872904456586,-199.99795637209925
-199.9979853468142,-199.9990230525649,-199.99829518721552,-199.99872904456586,-199.99903542300078
-199.9992728563508,-199.9990230525649,-199.99930066043208,-199.99872904456586,-199.99903542300078
-199.99978530966172,-199.9990230525649,-199.99995679255525,-199.99951834994297,-199.99950761381277
-199.99978530966172,-199.9990230525649,-199.99995679255525,-199.99951834994297,-199.99956580452704
-199.99978530966172,-199.9990230525649,-199.99995679255525,-199.99951834994297,-199.99956580452704
-199.99978530966172,-199.9997489864636,-199.99995679255525,-199.9996925565301,-199.9996817368315
-199.99978530966172,-199.9997489864636,-199.9999636983703,-199.99986026415655,-199.99974997608976
-199.99978530966172,-199.9997489864636,-199.9999636983703,-199.9999626919552,-199.99986966091217
-199.9999360522233,-199.9997549714366,-199.9999636983703,-199.9999626919552,-199.9999057468639
-199.99997270123407,-199.9997549714366,-199.9999830662122,-199.9999626919552,-199.99995455795562
-199.99997270123407,-199.99985310343564,-199.99998881817547,-199.9999626919552,-199.99995840209093
-199.99997270123407,-199.99990925157562,-199.99999082606618,-199.99997003320317,-199.99996941117095
-199.99998742088198,-199.9999428536386,-199.99999082606618,-199.99997368564956,-199.99999366798423
-199.99998742088198,-199.9999490031686,-199.99999082606618,-199.99999241591192,-199.99999366798423
-199.9999937309192,-199.99996663978428,-199.99999531104726,-199.99999683557616,-199.99999366798423
-199.9999937309192,-199.99997364311906,-199.99999609254064,-199.99999683557616,-199.99999366798423
-199.99999608220713,-199.99997364311906,-199.99999728759218,-199.99999683557616,-199.9999979099337
-199.99999608220713,-199.99998541800593,-199.9999973239172,-199.99999737252006,-199.9999979099337
-199.99999881918097,-199.99998541800593,-199.99999814516295,-199.99999803454446,-199.9999979099337
-199.99999881918097,-199.99998541800593,-199.99999876935425,-199.99999803454446,-199.9999979099337
-199.99999881918097,-199.99999562191653,-199.9999996068293,-199.99999965754756,-199.99999866497836
-199.99999910255096,-199.99999562191653,-199.9999998586594,-199.99999988392958,-199.99999932699885
-199.99999936723233,-199.9999978159447,-199.9999998586594,-199.99999988392958,-199.99999939852654
-199.99999936723233,-199.9999978159447,-199.99999987703626,-199.99999988392958,-199.9999995347315
-199.99999948303332,-199.9999978159447,-199.99999987703626,-199.99999988392958,-199.9999995347315
-199.9999996904443,-199.9999978159447,-199.99999987703626,-199.99999988392958,-199.99999976170062
-199.9999996904443,-199.99999821316754,-199.99999987703626,-199.99999988392958,-199.99999993369096
-199.99999987912923,-199.9999983793812,-199.99999992151896,-199.99999988392958,-199.99999993369096
-199.99999987912923,-199.99999846236244,-199.9999999596885,-199.99999988392958,-199.99999999761377
-199.9999999234487,-199.9999997846529,-199.9999999596885,-199.99999988392958,-199.99999999761377
-199.9999999234487,-199.9999997846529,-199.99999998413566,-199.9999998925733,-199.99999999761377
-199.99999993444592,-199.9999999328437,-199.99999998413566,-199.99999996021032,-199.99999999761377
-199.99999993444592,-199.9999999328437,-199.99999998413566,-199.99999996744276,-199.99999999761377
-199.99999993444592,-199.9999999328437,-199.99999998413566,-199.99999996744276,-199.99999999761377
-199.99999994979675,-199.9999999328437,-199.99999998526584,-199.999999993144,-199.99999999761377
-199.9999999937501,-199.9999999328437,-199.99999999569903,-199.999999993144,-199.99999999761377
-199.9999999937501,-199.9999999328437,-199.9999999958437,-199.999999993144,-199.99999999761377
-199.9999999937501,-199.9999999328437,-199.9999999958437,-199.99999999421138,-199.99999999761377
-199.9999999937501,-199.99999995746555,-199.99999999799044,-199.99999999538758,-199.99999999761377
-199.9999999937501,-199.99999995746555,-199.99999999946576,-199.99999999538758,-199.99999999761377
-199.9999999937501,-199.99999995746555,-199.99999999946576,-199.99999999538758,-199.99999999761377
-199.9999999937501,-199.99999998631745,-199.99999999946576,-199.99999999538758,-199.99999999761377
-199.9999999968976,-199.99999998631745,-199.99999999946576,-199.99999999865884,-199.99999999761377
-199.9999999968976,-199.99999998631745,-199.99999999946576,-199.99999999865884,-199.99999999761377
-199.99999999738293,-199.99999998631745,-199.99999999949847,-199.99999999865884,-199.99999999828387
-199.99999999738293,-199.99999998631745,-199.99999999949847,-199.99999999865884,-199.9999999984358
-199.99999999738293,-199.99999998631745,-199.99999999949847,-199.99999999865884,-199.99999999854464
-199.99999999846082,-199.99999998631745,-199.99999999949847,-199.99999999865884,-199.99999999855044
-199.99999999846082,-199.99999999780474,-199.99999999961983,-199.99999999865884,-199.99999999885645
-199.99999999988813,-199.99999999780474,-199.99999999961983,-199.99999999936722,-199.99999999885645
-199.99999999988813,-199.99999999780474,-199.99999999961983,-199.99999999967451,-199.99999999915397
-199.99999999988813,-199.99999999780474,-199.9999999996919,-199.99999999967451,-199.999999999283
-199.99999999988813,-199.99999999859205,-199.9999999997747,-199.99999999972488,-199.99999999953096
-199.99999999988813,-199.99999999859205,-199.9999999998211,-199.99999999972488,-199.99999999978994
-199.99999999988813,-199.99999999859205,-199.99999999983166,-199.99999999972488,-199.99999999986318
-199.99999999988813,-199.99999999913464,-199.999999999863,-199.99999999972488,-199.9999999998986
-199.99999999988813,-199.99999999913464,-199.999999999863,-199.99999999976114,-199.9999999998986
-199.99999999988813,-199.99999999913464,-199.999999999863,-199.9999999998286,-199.9999999998986
-199.99999999988813,-199.99999999913464,-199.99999999988862,-199.9999999998286,-199.9999999999344
-199.99999999988813,-199.99999999913464,-199.99999999988862,-199.9999999998286,-199.9999999999344
-199.99999999988813,-199.99999999913464,-199.9999999999705,-199.9999999999238,-199.9999999999344
-199.99999999988813,-199.99999999948128,-199.9999999999705,-199.9999999999238,-199.99999999997675
-199.99999999988813,-199.99999999948128,-199.99999999998101,-199.9999999999238,-199.99999999997675
-199.99999999990007,-199.99999999948128,-199.99999999998101,-199.9999999999238,-199.99999999997675
-199.9999999999096,-199.99999999948128,-199.99999999998101,-199.9999999999238,-199.99999999997675
-199.9999999999447,-199.99999999948128,-199.99999999998101,-199.9999999999238,-199.99999999997675
-199.9999999999447,-199.99999999948128,-199.99999999998101,-199.99999999999102,-199.99999999997812
-199.9999999999447,-199.99999999948128,-199.99999999998101,-199.99999999999102,-199.99999999997812
-199.99999999996948,-199.9999999997002,-199.9999999999883,-199.99999999999102,-199.9999999999841
-199.99999999996948,-199.99999999984308,-199.9999999999883,-199.99999999999102,-199.99999999999542
-199.99999999996948,-199.99999999984308,-199.99999999999275,-199.99999999999102,-199.99999999999542
-199.99999999996948,-199.99999999984308,-199.9999999999941,-199.99999999999102,-199.99999999999542
-199.99999999996948,-199.99999999984308,-199.9999999999941,-199.99999999999102,-199.99999999999542
-199.99999999996948,-199.99999999984308,-199.99999999999858,-199.99999999999102,-199.99999999999542
-199.99999999996948,-199.99999999984308,-199.99999999999858,-199.99999999999102,-199.99999999999542
-199.99999999996948,-199.99999999984308,-199.99999999999858,-199.99999999999102,-199.99999999999542
-199.99999999997615,-199.99999999984308,-199.99999999999858,-199.99999999999102,-199.99999999999542
-199.99999999997615,-199.99999999984308,-199.99999999999858,-199.9999999999951,-199.99999999999542
-199.99999999998062,-199.99999999984308,-199.99999999999872,-199.9999999999951,-199.99999999999542
-199.99999999998062,-199.99999999986076,-199.99999999999872,-199.9999999999951,-199.99999999999542
-199.99999999998062,-199.99999999986076,-199.99999999999872,-199.9999999999951,-199.99999999999542
-199.99999999998718,-199.99999999986076,-199.99999999999872,-199.9999999999951,-199.99999999999542
