trial_1,trial_2,trial_3,trial_4,trial_5
-173.43693654371276,-185.20177478872392,-184.86760752043716,-189.78951305533832,-183.5001505806526
-184.39468472318475,-192.02842682282107,-186.28145113870343,-196.36926769685408,-185.2323643932077
-191.77426532453512,-196.40687040288515,-194.20845331489173,-197.85359824721888,-191.0840734610068
-196.93400276275554,-198.76796427830482,-194.20845331489173,-197.85359824721888,-193.193448543843
-196.93400276275554,-198.76796427830482,-198.13916274602585,-197.85359824721888,-198.73296148942038
-198.7518578057319,-198.95370849822328,-198.1970744353496,-199.31825158840675,-198.73296148942038
-199.5271760414007,-199.75186069708988,-198.3052103793528,-199.31825158840675,-199.17157429455574
-199.5271760414007,-199.75186069708988,-199.08922352056356,-199.59457418272,-199.58746083584268
-199.69305558949236,-199.75186069708988,-199.718241436289,-199.6821817436818,-199.58746083584268
-199.74127183129485,-199.76434517887512,-199.85372939216404,-199.90550693289458,-199.8725869451026
-199.83069875678984,-199.83203284838459,-199.85372939216404,-199.9070337117824,-199.9441719970609
-199.95808818067192,-199.86268278432982,-199.85372939216404,-199.9070337117824,-199.9441719970609
-199.95808818067192,-199.9592846455374,-199.85372939216404,-199.96426329727132,-199.9441719970609
-199.95808818067192,-199.9592846455374,-199.92551383526796,-199.98816295663366,-199.97134491556938
-199.9785289978535,-199.98001530560606,-199.934119027507,-199.99282296366005,-199.98134295049078
-199.98100798964003,-199.98258615133128,-199.97014073378372,-199.99386726652995,-199.98134295049078
-199.98419314644914,-199.98258615133128,-199.9720690107489,-199.99655374910947,-199.9854760099285
-199.99176067319812,-199.99715593417906,-199.99319346147365,-199.99655374910947,-199.99727408735905
-199.99711534822228,-199.99715593417906,-199.99319346147365,-199.9968310368261,-199.99727408735905
-199.99933477796026,-199.997548799846,-199.99319346147365,-199.99835945555344,-199.99727408735905
-199.99933477796026,-199.9977446332892,-199.99319346147365,-199.99909301380762,-199.99814941377377
-199.99933477796026,-199.99836579619557,-199.99606893790235,-199.99962622467854,-199.99839647940163
-199.99933477796026,-199.99942178546806,-199.99734803526752,-199.9996465833289,-199.9993718696083
-199.99962128712383,-199.99942178546806,-199.9988486884025,-199.99976425208231,-199.9993718696083
-199.99989121777446,-199.99942178546806,-199.99934795604153,-199.99979274481956,-199.9993718696083
-199.9998937903968,-199.99946586446845,-199.99935567341623,-199.9999286243386,-199.99945629050777
-199.9998937903968,-199.99975930027344,-199.99935567341623,-199.99994395196282,-199.9997508231256
-199.99996659568222,-199.99975930027344,-199.9993834762658,-199.99994395196282,-199.9997508231256
-199.9999782843127,-199.9998959040936,-199.99984365397518,-199.99994395196282,-199.99975323248609
-199.99997869394056,-199.9998959040936,-199.99992654353443,-199.9999466430397,-199.99980785394231
-199.99997869394056,-199.99997704259275,-199.99992654353443,-199.99998766288613,-199.99999081779333
-199.99998206374622,-199.99997704259275,-199.99992654353443,-199.99998766288613,-199.99999081779333
-199.99999727250696,-199.99997704259275,-199.9999531027441,-199.9999884934042,-199.99999514085584
-199.99999727250696,-199.99997704259275,-199.99997673169767,-199.99999327698924,-199.99999514085584
-199.99999748684036,-199.99997713197703,-199.99997673169767,-199.9999986764714,-199.99999563286687
-199.99999748684036,-199.99998254013312,-199.9999933448396,-199.9999986764714,-199.9999960037357
-199.9999980531389,-199.99999468028014,-199.99999553570208,-199.9999986764714,-199.99999745530826
-199.9999980531389,-199.99999790909794,-199.99999553570208,-199.9999986764714,-199.9999987682257
-199.9999980531389,-199.99999790909794,-199.99999587669618,-199.9999986764714,-199.99999924372415
-199.99999916946268,-199.99999790909794,-199.99999587669618,-199.99999958007587,-199.99999924372415
-199.99999973266137,-199.99999790909794,-199.99999805755496,-199.99999958007587,-199.99999924372415
-199.99999973266137,-199.99999790909794,-199.99999805755496,-199.99999958007587,-199.99999924372415
-199.99999973266137,-199.9999989599058,-199.99999847244297,-199.99999958007587,-199.99999924372415
-199.99999973526815,-199.9999989599058,-199.99999847244297,-199.9999999048429,-199.99999924372415
-199.99999986216565,-199.9999989599058,-199.9999987373174,-199.9999999048429,-199.99999965908845
-199.99999986216565,-199.99999972485162,-199.99999950081678,-199.9999999048429,-199.99999977467397
-199.99999993794793,-199.99999972485162,-199.99999950081678,-199.9999999048429,-199.99999977467397
-199.99999993794793,-199.99999972485162,-199.99999961873897,-199.99999993114244,-199.99999977467397
-199.99999993794793,-199.99999972485162,-199.9999996265542,-199.99999996446346,-199.99999977467397
-199.99999995517365,-199.99999972485162,-199.9999998792839,-199.99999999544676,-199.9999998381709
-199.99999995517365,-199.99999980096442,-199.9999998792839,-199.99999999544676,-199.9999998908791
-199.99999995698158,-199.99999980096442,-199.99999998489068,-199.99999999544676,-199.999999942753
-199.99999997315686,-199.99999981000073,-199.99999998489068,-199.9999999967239,-199.999999942753
-199.99999998169108,-199.999999952635,-199.99999998489068,-199.9999999967239,-199.99999997604257
-199.99999998169108,-199.999999952635,-199.99999998489068,-199.9999999967239,-199.99999997604257
-199.99999998169108,-199.999999952635,-199.99999998489068,-199.9999999967239,-199.99999997604257
-199.99999999071224,-199.99999997449083,-199.99999998489068,-199.9999999967239,-199.9999999802022
-199.99999999071224,-199.99999998725232,-199.99999998561123,-199.9999999967239,-199.9999999802022
-199.99999999912148,-199.99999998725232,-199.99999998598864,-199.9999999967239,-199.99999999514176
-199.99999999912148,-199.99999998725232,-199.99999998633126,-199.9999999967239,-199.99999999514176
-199.99999999912148,-199.99999998725232,-199.99999999131086,-199.9999999967239,-199.99999999514176
-199.99999999912148,-199.9999999882321,-199.99999999131086,-199.9999999967239,-199.99999999769912
-199.99999999912148,-199.99999999444245,-199.9999999919901,-199.9999999967239,-199.99999999823154
-199.99999999912148,-199.99999999444245,-199.99999999584503,-199.99999999842188,-199.99999999823154
-199.99999999912148,-199.99999999465737,-199.99999999584503,-199.99999999842188,-199.99999999823154
-199.9999999992067,-199.9999999975906,-199.99999999752066,-199.99999999900515,-199.99999999831383
-199.999999999265,-199.9999999975906,-199.99999999960528,-199.99999999914272,-199.99999999841046
-199.99999999990587,-199.99999999810566,-199.99999999960528,-199.99999999940147,-199.99999999886248
-199.99999999990587,-199.99999999810566,-199.99999999960528,-199.99999999940147,-199.99999999904082
-199.99999999990587,-199.99999999837752,-199.99999999960528,-199.99999999940147,-199.99999999904082
-199.99999999990587,-199.99999999925038,-199.99999999960528,-199.99999999944288,-199.99999999904082
-199.99999999990587,-199.99999999925038,-199.99999999960528,-199.99999999944288,-199.99999999904082
-199.99999999990587,-199.99999999963796,-199.99999999960528,-199.99999999944848,-199.99999999904082
-199.99999999990587,-199.99999999964768,-199.999999999666,-199.9999999996819,-199.99999999941215
-199.99999999990587,-199.99999999964768,-199.99999999991962,-199.99999999978934,-199.99999999941215
-199.99999999990587,-199.9999999997314,-199.99999999991962,-199.9999999998027,-199.99999999994606
-199.99999999990587,-199.9999999997314,-199.99999999991962,-199.9999999998027,-199.99999999994606
-199.99999999990587,-199.9999999999285,-199.99999999991962,-199.9999999999376,-199.99999999995856
-199.99999999991775,-199.9999999999285,-199.99999999991962,-199.9999999999376,-199.99999999995856
-199.99999999991775,-199.9999999999285,-199.99999999991962,-199.9999999999376,-199.99999999995856
-199.99999999998317,-199.9999999999285,-199.99999999999162,-199.9999999999376,-199.99999999995856
-199.99999999998317,-199.9999999999285,-199.99999999999162,-199.9999999999376,-199.99999999995856
-199.99999999998317,-199.9999999999285,-199.99999999999162,-199.99999999996513,-199.99999999995856
-199.99999999998317,-199.9999999999285,-199.99999999999162,-199.99999999999545,-199.99999999995856
-199.99999999998317,-199.9999999999629,-199.99999999999162,-199.99999999999545,-199.99999999995856
-199.99999999998317,-199.9999999999629,-199.99999999999162,-199.99999999999545,-199.99999999995856
-199.99999999998317,-199.9999999999629,-199.99999999999162,-199.99999999999545,-199.99999999995856
-199.99999999998317,-199.99999999996336,-199.99999999999162,-199.99999999999545,-199.99999999996567
-199.99999999998317,-199.99999999997488,-199.99999999999162,-199.99999999999545,-199.99999999996567
-199.99999999998317,-199.99999999997488,-199.99999999999162,-199.99999999999545,-199.99999999996567
-199.99999999998317,-199.9999999999836,-199.99999999999162,-199.99999999999545,-199.99999999996567
-199.99999999999437,-199.9999999999836,-199.99999999999162,-199.99999999999545,-199.99999999996567
-199.99999999999437,-199.99999999998607,-199.99999999999162,-199.99999999999545,-199.99999999996567
-199.99999999999454,-199.99999999998607,-199.99999999999162,-199.99999999999545,-199.99999999996567
-199.99999999999454,-199.99999999998607,-199.99999999999162,-199.99999999999545,-199.9999999999914
-199.99999999999454,-199.9999999999899,-199.99999999999162,-199.99999999999545,-199.9999999999914
-199.99999999999454,-199.99999999999045,-199.99999999999162,-199.9999999999969,-199.9999999999914
-199.99999999999454,-199.99999999999045,-199.99999999999162,-199.99999999999898,-199.9999999999914
-199.99999999999454,-199.999999999991,-199.99999999999162,-199.99999999999898,-199.9999999999914
-199.99999999999454,-199.999999999991,-199.99999999999162,-199.99999999999898,-199.9999999999928
