Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-199.99999999062246,1.3838965267367376e-87,1.2198050977719287e-37,8.919717899460474e-14,1.1219985108563654e-05,0.2105474391115041,-1.8013034100985534,-2.0626103197615273,-2.345811576101315,-5.1621261599638695,-176.13757800155147,-1.0198295199309433,-6.129503891130687,-175.30033803096376,0.005355443683028747,-42.94438701899099
-199.99999999371227,1.3838965267367376e-87,7.1991508257855145e-34,6.561652631045353e-16,2.0035732386955858e-05,0.04640221930222607,-1.8013034100985532,-2.0625900440256544,-2.345811576101314,-5.162126159963948,-176.13757800100151,-1.0198295199309433,-6.129450644060049,-175.7140862371332,2.081372642605123e-18,-42.94438701899097
-199.9999999821878,1.3838965267367376e-87,2.743831534707568e-37,2.956689468869431e-13,1.705076586205922e-10,0.09614825861113568,-1.8013034100985537,-2.0626118708227255,-2.3458115761013145,-5.162126159963964,-176.13757800162776,-1.0198295199309433,-6.129503891127956,-169.4457181467475,0.0019189629686514403,-42.94438701899099
-199.99999999570338,1.3838965267367376e-87,6.402649721723871e-34,8.463203436153822e-16,4.4773520025389703e-07,0.07217084152883006,-1.8013034100985534,-2.0626118708227397,-2.345811576101315,-5.162126159963444,-176.13757800162338,-1.0198295199309433,-6.129503891130579,-176.14060449562024,4.093704658255814e-11,-42.94438701899099
-199.99999999774025,1.3838965267367376e-87,1.096120588869801e-34,5.272279096242442e-14,2.303756122737852e-11,0.018276675554152886,-1.8013034100985534,-2.062611870822738,-2.3458115761013145,-5.1621261598556725,-176.13757800127257,-1.0198295199309433,-6.129503891106999,-164.93566229237453,2.5801970503346676e-14,-42.94438701899099
-199.99999999708012,1.3838965267367376e-87,2.515809575275658e-32,2.715345003973253e-14,1.6468910931404133e-09,0.023349560566157418,-1.8013034100985534,-2.0626118708223915,-2.3458115761013074,-5.16212615996398,-176.137577950375,-1.0198295199309433,-6.129503891128098,-169.34936379194016,8.610547610955062e-14,-42.94438701899099
-199.9999999962516,1.3838965267367376e-87,1.2284053824319915e-33,3.239749207012663e-15,1.8232200544301742e-08,0.07463072111014242,-1.8013034100985534,-2.062487907192337,-2.345811576101314,-5.162126159963982,-176.13757796720483,-1.0198295199309433,-6.129502931371218,-156.8757824987595,0.0008786244423186762,-42.94438701899099
-199.9999999935665,1.3838965267367376e-87,1.0908491047459026e-35,2.7669318393445566e-15,5.970937085208964e-09,0.04044046212097625,-1.8013034100985534,-2.062611186971153,-2.345811576101315,-5.16212615996398,-176.13757800061958,-1.0198295199309433,-6.129503891130687,-146.5907859013098,1.2220222385709016e-15,-42.94438701899098
-199.99999999587794,1.3838965267367376e-87,1.049633120656453e-31,9.621431844840147e-14,8.559314469515515e-06,0.12244376378198579,-1.8013034100985534,-2.062611826801778,-2.3458115761013145,-5.162126159963952,-176.137578001619,-1.0198295199309433,-6.127081933438318,-173.69609922179015,8.707087256982382e-15,-42.94438701899097
-199.9999999895814,1.3838965267367376e-87,3.111624381105962e-35,1.4925483707117017e-13,1.3562912170531698e-06,0.014804100672236746,-1.8013034100985537,-2.0625474242962802,-2.3458115761013154,-5.162126159628018,-176.13757800156645,-1.0198295199309433,-6.129503891130688,-176.514403808533,3.819216168380106e-17,-42.94438701899076
