Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-200.0,1.3838965267367376e-87,1.9475447531080437e-81,3.2415100127375313e-35,5.939088248021444e-37,5.403830486538488e-06,-1.8013034100985528,-2.062611851156211,-2.3458115761010268,-5.162126159963956,-176.1375779964393,-1.019829519930943,-6.129479993787315,-176.52357936937526,2.858903382108776e-10,-42.9443870189895
-200.0,1.3838965267367376e-87,5.80654431437102e-80,8.661340302935807e-38,9.633298888281048e-36,1.6814153776795261e-06,-1.8013034100985532,-2.0626118708227343,-2.3458115761012803,-5.16212615995773,-176.13751681481045,-1.019829519930943,-6.129503890910806,-176.50903418453314,3.8957121888448116e-11,-42.94438694389435
-200.0,1.3838965267367376e-87,4.743917142522569e-80,4.973743867679575e-37,5.7215220425930295e-39,1.7175616439362663e-06,-1.8013034100985532,-2.0626118708225927,-2.345811575928825,-5.162126159960231,-176.13757544663443,-1.0198295199309433,-6.12950388907018,-171.85432232404563,6.888717826969985e-09,-42.49717342349103
-200.0,1.3838965267367376e-87,1.0104145554208119e-83,1.9070523538453604e-39,2.6677972366831437e-39,0.0007779463344200105,-1.8013034100968253,-2.0626118708227272,-2.3458115761003353,-5.162126159958444,-176.13757800120698,-1.0198295199264038,-6.129503891031689,-176.54149634862281,1.0950865695157006e-12,-42.944387018990874
-200.0,1.3838965267367376e-87,7.193914830859362e-80,4.440446928764693e-34,2.046454894505155e-33,1.6567881278725735e-05,-1.8013034100985528,-2.0626118708227392,-2.3458115760259894,-5.162126159963011,-176.137577795076,-1.019829519930943,-6.12942468354784,-176.53902307869356,3.88316963119945e-08,-42.94438701886658
-200.0,1.3838965267367376e-87,9.915072987789916e-80,2.4297766792744405e-37,1.4695956280839224e-36,5.0479956059503964e-08,-1.8013034100975815,-2.0626118398453666,-2.3458115760937543,-5.162126093881411,-144.32502595625402,-1.019829519930942,-6.129503815634227,-176.2530374676091,6.549875490677206e-13,-42.49717342349103
-200.0,1.3838965267367376e-87,7.703073530979692e-84,7.0556461400623085e-37,1.0151057547185493e-33,3.598900824884462e-05,-1.8013034100985177,-2.0626118708227263,-2.3458115761012843,-5.162126159963979,-176.13736235917685,-1.0198295199309433,-6.129503891130645,-176.4541397028598,2.4882340600555748e-12,-42.94438701896821
-200.0,1.3838965267367376e-87,1.5867852385343998e-77,2.551354667207394e-36,1.3074201959534767e-36,5.343366649052486e-07,-1.801303409842053,-2.062611870822526,-2.3458115761012768,-5.162126159961027,-176.13757795021257,-1.0198295199309433,-6.129503891130676,-176.52501461124825,0.0002044311072070722,-42.94438699667998
-200.0,1.3838965267367376e-87,2.1108426817385797e-86,4.2442497199166923e-35,8.091844869057011e-35,0.00015867097505844663,-1.801303410098545,-2.0626118708226935,-2.3458115761012692,-5.162126118583306,-176.07461400142998,-1.0198295199309433,-6.12950389113066,-176.54179279644822,7.091832463645436e-14,-42.94438701899053
-200.0,1.3838965267367376e-87,1.4821307468036962e-87,1.556881139776178e-34,1.951425481041545e-39,0.00013132298398593447,-1.8013034100978347,-2.062610393931504,-2.3458115761005587,-5.162126159232132,-144.5246464319735,-1.0198295199309433,-6.129503891130371,-169.3415770316938,1.8269554051287632e-09,-42.94438701772702
-200.0,1.3838965267367376e-87,5.465941583618299e-82,2.4750487977899366e-38,8.803115214625851e-33,1.3610234722167802e-05,-1.801303410098476,-2.0626118645092957,-2.345811576101224,-5.16212615996398,-173.31892318500311,-1.0198295199309433,-6.129503891130651,-176.44346062312104,9.082741389831706e-11,-42.939688034788226
-200.0,1.3838965267367376e-87,5.61931843654351e-77,2.253049912750785e-38,1.1263833552059203e-36,0.00038707133395672133,-1.801303410098552,-2.06261187082263,-2.345811576101303,-5.162126159963793,-176.13757800127013,-1.0198295199309433,-6.129503891125501,-176.54175634159773,2.483472353216781e-05,-42.944387018927884
-200.0,1.3838965267367376e-87,4.9767695087526745e-83,5.325817709308668e-36,7.65188484327247e-36,2.1510148486004568e-05,-1.801303410098344,-2.0626118708195604,-2.3458115761012337,-5.162126159963983,-176.13757789577065,-1.0198295199308023,-6.129503891109115,-176.54044799808273,4.025516519108499e-07,-42.94438701895609
-200.0,1.3838965267367376e-87,5.854872882961292e-73,1.3346194970784993e-33,1.3211516615514153e-37,1.823257516794919e-05,-1.8013034100955156,-2.06261187082273,-2.34581157610129,-5.162126159963983,-176.13757682361853,-1.019829519930943,-6.129503668870372,-176.54099402857744,1.1263949058101183e-09,-42.9443870182371
-200.0,1.3838965267367376e-87,1.1645311926913951e-80,3.219158890196128e-35,2.2653983950486258e-37,2.429188315913758e-08,-1.8013033885694907,-2.062611870543684,-2.3458115761012994,-5.16212615995929,-176.1375780016267,-1.0198295199309433,-6.129503891130573,-176.54173731859,6.443344448461757e-09,-42.944387018739604
-200.0,1.3838965267367376e-87,3.6320905676761844e-78,8.806060049105091e-40,1.1877497623074725e-34,0.0001672308145234537,-1.801303410098499,-2.062611870822739,-2.345811576101306,-5.162126159963646,-176.1079217921957,-1.0198295199309433,-6.129503891126986,-176.54179313406013,1.5769531543976336e-10,-42.944387018988834
-200.0,1.3838965267367376e-87,1.1292709761826799e-81,3.238382973041327e-36,2.2258385222022557e-32,0.00014604375578603014,-1.8013034100985532,-2.0626118708227397,-2.345811576101307,-5.162126159963805,-175.15051769043706,-1.0198295199309433,-6.129503890288618,-176.54179313471803,6.280501273703919e-11,-42.944321020315414
-200.0,1.3838965267367376e-87,9.23673305497399e-82,3.4244874488007166e-39,1.60799388513347e-37,0.00015477513360298998,-1.8013034099001635,-2.0626118630091277,-2.345811576101263,-5.162126159963802,-176.1361410429554,-1.0198295199309433,-6.129503891130679,-176.5302359440489,0.008457233513832787,-42.944387018966026
-200.0,1.3838965267367376e-87,4.806127378046867e-82,7.704947467534458e-34,1.6940718642454922e-33,4.535013397133247e-08,-1.801303410098326,-2.062611870822739,-2.3458115760931424,-5.162126159963681,-142.23603790499877,-1.019829519930943,-6.129503891130588,-176.49901677320398,5.690694439487125e-08,-42.94438701015879
-200.0,1.3838965267367376e-87,1.868491721458612e-82,1.042628713532693e-36,8.060417909100856e-36,0.00010387644962225705,-1.801303410098371,-2.062611870822739,-2.345811576101286,-5.162126159963862,-176.10054889845094,-1.019829519930943,-6.129503890920978,-176.54165771960965,1.6993653991192233e-11,-42.497173423491034
-200.0,1.3838965267367376e-87,7.8055818994142e-81,1.669019178480072e-36,1.9129527099170233e-37,5.524734505296577e-06,-1.8013034100985532,-2.062611870822739,-2.3458115760995617,-5.16212615988136,-175.9785219105317,-1.0198295199309433,-6.1295038911306445,-176.51908294641268,4.571556007959743e-12,-42.94438701857374
-200.0,1.3838965267367376e-87,5.676724160901646e-81,3.364354260825935e-37,8.234708718995948e-34,0.00027373880836121535,-1.8013034098832708,-2.062608986504949,-2.345811576100483,-5.1621260857289215,-176.13757800147175,-1.019829519930942,-6.129503891057015,-176.4169740277884,2.6630209256805447e-05,-42.94438700728533
-200.0,1.3838965267367376e-87,4.676606344330353e-86,2.2324486691886795e-38,3.241717949433643e-36,0.0005668262820335659,-1.8013034100836016,-2.062611870822738,-2.3458115761011933,-5.162126146676267,-176.12579085056115,-1.019829519930943,-6.129503891130309,-176.26194433382838,7.996766713274936e-09,-42.94438701824375
-200.0,1.3838965267367376e-87,2.554452059849776e-85,1.1536032368873085e-37,3.602910913165986e-32,2.9772087822315687e-07,-1.801303409534516,-2.0626118708227055,-2.345811576101281,-5.1621261599636705,-176.13757739209098,-1.0198295199309424,-6.129503891049451,-176.49172902354172,5.002870019499086e-13,-42.944387018794856
-200.0,1.3838965267367376e-87,3.500288497816985e-76,5.867841709662394e-37,1.1614777899866488e-35,0.00020427801589386607,-1.8013034100976801,-2.0626118640779083,-2.3458115761013074,-5.162126159945398,-175.95397295415978,-1.0198295199309433,-6.129503891124994,-176.18556266327397,1.1656100625990548e-05,-42.94438701382114
