Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-200.0,1.3838965267367376e-87,6.650747959917772e-175,7.944689879630964e-83,4.8970422254788645e-88,0.38893281584848577,-1.8010790112255464,-2.062499362372096,-2.3447877993859247,-3.355962116713806,-144.31456443470086,-0.9989504349852631,-5.777246852688675,-176.2429702273564,1.6591700970171852e-05,-42.732845726863744
-200.0,1.3838965267367376e-87,2.4275335533509067e-169,8.468624070107348e-82,6.035159471601081e-94,0.011906794581287607,-1.8013033446662101,-2.062611755628135,-2.3297668412166024,-4.943382308650715,-171.3147233890966,-1.0100282510082745,-2.853643743217628,-144.3889132202888,0.08147668959450799,-42.94345211621574
-200.0,1.3838965267367376e-87,5.661727257852013e-164,3.8508100965703564e-81,8.715550461292806e-91,0.8006302687283554,-1.801222643896982,-2.0626116800251757,-2.3424745606438737,-3.000011651914491,-176.13466616498533,-0.622244444305825,-6.128559074385551,-162.87957192014554,0.0011453861905490687,-42.49717362418965
-200.0,1.3838965267367376e-87,2.064791380490046e-166,2.009088009358666e-80,6.529480317441019e-91,0.21893698680987436,-1.7739370357993902,-2.06009021962545,-2.3456817904193787,-5.072544508099346,-42.21559663811662,-0.6328066230514744,-5.969329820284354,-145.4757068231319,0.022213430873391792,-42.938060979764394
-200.0,1.3838965267367376e-87,3.326490876372128e-163,2.1542263117368395e-82,1.4996375912311797e-84,0.07189491471971994,-1.154860141664865,-2.0626118708226318,-2.3458115757731224,-5.1477845479911934,-135.97316554777598,-0.1063120652169664,-6.129439397323037,-174.97677471310342,0.00484457046252157,-42.497173423491034
-200.0,1.3838965267367376e-87,6.5964966476951786e-167,1.702161856632924e-88,1.721924861773793e-88,0.6429509525099507,-1.801133489407443,-2.0626071058296342,-2.3428821462262825,-5.161600501132112,-116.45382462597985,-0.983435621056146,-6.050544127045962,-176.1965778831556,3.340565455635396e-05,-42.497173423491034
-200.0,1.3838965267367376e-87,1.3093724593381993e-169,4.278738917606274e-81,4.3823517843359296e-92,0.022510866333565166,-1.8013034100982832,-2.062607123847753,-2.3448311885106112,-5.135783882778647,-111.44727063712565,-0.40444495242449674,-6.1295038901874985,-145.0368966509154,0.021200276100827777,-42.49717463259153
-200.0,1.3838965267367376e-87,9.327275522553496e-163,7.787532576565286e-82,3.3851144846400767e-91,0.004148288274252859,-1.7020755940683312,-2.062611753704101,-2.309757549269886,-5.161859398621037,-144.26951099938753,-0.22479861568447743,-6.128678463679929,-176.54034591416735,0.0021042263371665432,-42.497173423491034
-200.0,1.3838965267367376e-87,7.234559677566487e-171,7.168142845219995e-87,9.182405159743188e-94,0.08845321735319164,-1.8012881159506122,-2.0625965433933975,-2.345781970752411,-5.162017682310282,-116.40379333922766,-0.5854959310193686,-6.1286620696050145,-176.30870258607362,0.0008752737045478858,-42.94434032906594
-200.0,1.3838965267367376e-87,7.151924029835308e-167,5.873800543500754e-81,9.258990423019151e-92,0.04019967940945042,-1.788549411445123,-2.0626118400947044,-2.3456927236007576,-5.159559790457364,-144.28724544482148,-1.0027609612006678,-6.129499021119561,-175.68715840937546,0.0071894172108046,-42.49717342489348
-200.0,1.3838965267367376e-87,9.954822387490543e-175,1.488807138578629e-83,2.8966341076049657e-95,0.3588352342861208,-1.7856792866577358,-2.0625177631467078,-2.3457978776335646,-4.89280858889095,-159.4373903168605,-0.6308392827691323,-6.12877975764418,-176.53478659613663,2.9655999561847177,-42.90483110014414
-200.0,1.3838965267367376e-87,3.737968506691123e-164,3.539155428116397e-84,3.793281381911782e-93,0.4337205782314719,-1.7611311879426035,-2.062607474022159,-2.33655695100843,-5.162126159311916,-175.37791746113928,-0.636255600979322,-6.128773253889083,-145.32648629780962,0.00014898009096793663,-42.497173423491034
-200.0,1.3838965267367376e-87,2.392345249803153e-177,2.080122139256565e-78,3.900595285305985e-86,0.7148831918770965,-1.7726197283593006,-2.0626118707244863,-2.3457969831694627,-5.133855194309276,-143.9271153303243,-0.8358561246612755,-6.125643466743722,-145.29216388496192,0.13698935830524156,-42.49717342349111
-200.0,1.3838965267367376e-87,3.204915297561913e-170,1.1832966657142459e-82,1.8685679043809128e-87,0.03401334148836882,-1.0611269951607274,-2.0626111181910813,-2.345781429007661,-5.162123106300617,-174.08902879908715,-0.8856163605954599,-6.123656108080568,-156.89401063424003,4.3078925250478175e-08,-42.93949323414226
-200.0,1.3838965267367376e-87,1.6968692048424444e-179,2.1540537743799185e-83,2.4025089807848267e-96,0.12327510272023984,-1.8012988820331644,-2.0625587858082697,-2.34580813795619,-5.162121640168206,-176.0659043729842,-0.400828202558591,-6.1235695960735175,-145.06816069240315,2.8465395618753146e-07,-42.497173423491034
-200.0,1.3838965267367376e-87,5.586719551069081e-171,7.525639058849637e-83,6.346246697306367e-98,5.867802081061076e-05,-1.8012667489297414,-2.0626092025104796,-2.344421962021429,-5.162124242241067,-176.13754551271015,-1.0100282509328016,-6.129415979551986,-176.17401004458605,0.029369036334772287,-42.944304685554414
-200.0,1.3838965267367376e-87,7.637180295884738e-167,3.121129951600941e-79,1.5294159140987654e-88,0.00665106244315168,-1.0,-2.062611774486986,-2.3456852521086593,-5.129397623739184,-98.6600360541713,-1.0100282510082745,-6.12950388837432,-173.41629765830527,0.000565035596869676,-42.941559806523955
-200.0,1.3838965267367376e-87,8.659600291148544e-177,1.220330872926856e-85,1.934810959123874e-94,2.7084004768630905e-05,-1.8012914995506157,-2.061096829776041,-2.345802235366556,-5.161991343771756,-110.67596969209372,-0.8527539434587582,-6.124105306388572,-176.04663490889993,0.0003133403069388056,-42.72038623928131
-200.0,1.3838965267367376e-87,1.0352309495738156e-170,7.082295811233645e-79,1.0297168159048253e-88,0.0017229006853736858,-1.800853721113019,-2.062610078289519,-2.3457955237146417,-5.1620581468373175,-150.26234084024347,-0.40207790427453305,-6.129503789697373,-176.51445600815194,0.0005861456203044303,-42.926251865972475
-200.0,1.3838965267367376e-87,7.493901079687193e-170,7.650640678692713e-85,1.0102946761273561e-87,0.01987088830103434,-1.8005766450398326,-2.062594381146272,-2.3402164132415577,-5.131424738875719,-176.09314121435665,-1.0054977995392826,-6.114106304121004,-145.45751393958747,1.983361276433537e-08,-42.497173423491034
-200.0,1.3838965267367376e-87,2.6301545959970953e-169,3.3146566538421933e-90,9.582157939581445e-95,0.01574646469934256,-1.7907501830925843,-2.0626118424239284,-2.265612920731354,-5.162125736269126,-175.7079691519497,-1.0198295199309433,-6.128797297824406,-176.52654491749254,0.0019790879789583007,-42.9442160902985
-200.0,1.3838965267367376e-87,1.3795875314588029e-163,9.543011761385446e-86,6.467248898035771e-87,0.017457714365969917,-1.7776195108313355,-2.0626117949361413,-2.345761053363526,-5.161289546808317,-144.28061853298536,-1.0100282510082745,-6.129491722158846,-176.5314418967241,5.023708157341235e-06,-42.94425406459414
-200.0,1.3838965267367376e-87,2.0652607654084496e-185,7.970453003474169e-82,4.2806531867893296e-93,0.07932915570404356,-1.7996099804805359,-2.062389327004083,-2.3458109893915493,-5.145994199727085,-144.52302959092853,-0.07487655371512335,-6.129205171025884,-145.47762738969016,0.008774385697631476,-42.497173423491034
-200.0,1.3838965267367376e-87,1.8724964556303672e-158,1.468891447601703e-77,4.134624375289909e-89,0.1237753653729916,-1.7261649565456187,-2.062607905075421,-2.3458115760460845,-5.16212506944931,-144.3118003713614,-0.9749783184177864,-6.129503891130646,-176.52902607676768,6.989505935858442e-08,-42.94430290196361
-200.0,1.3838965267367376e-87,1.3465579402512329e-170,2.0666398232992623e-78,4.949369332420359e-93,0.043781910855457795,-1.1938423259761293,-2.062251309179659,-2.345810376044521,-5.16201071138886,-168.81772559146603,-1.0198295199309433,-6.125100003492862,-142.7019285272653,0.00024128505660079061,-42.497173423491034
