Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-200.0,1.3838965267367376e-87,1.797471085291152e-98,2.1900293428552174e-53,2.8964041592825535e-31,1.4986755939325653e-06,-1.80129485668102,-2.062611794485858,-2.3458101452440636,-5.162121776904469,-176.1353833267104,-1.019829519852136,-6.129500134084986,-176.54056291980754,1.3975042785572508e-05,-42.94353077903785
-200.0,1.3838965267367376e-87,9.054236436533094e-115,1.7077826976856454e-48,5.635550910511776e-26,2.3567517714764555e-07,-1.8013018401074872,-2.062611740757643,-2.345810608632826,-5.1621182627494235,-176.13699044514678,-1.0198295196561529,-6.129430246788307,-176.54172862129823,7.578072382026506e-05,-42.93684582236213
-200.0,1.3838965267367376e-87,3.5847853051839017e-112,3.3589859834925143e-45,7.9057689248470815e-28,4.301481676718675e-06,-1.8012824239142036,-2.062611866016495,-2.345809889920556,-5.162117959807842,-176.13689616537312,-1.0198295151747279,-6.129452947730483,-176.54174862435016,7.743584348163761e-06,-42.94418715394668
-200.0,1.3838965267367376e-87,1.7666551880353593e-136,1.4155375337042912e-48,1.6544588000138545e-31,5.744712185533793e-07,-1.8011873812066197,-2.062611868531734,-2.3458104778821425,-5.1621236533028645,-144.32466018547277,-1.0198294734292574,-6.129490720861532,-176.52165519620056,0.00011990658531722477,-42.944264217473915
-200.0,1.3838965267367376e-87,1.0100712489948683e-103,1.663557014755881e-55,2.9608857571709795e-26,1.2752237470608838e-05,-1.8012484958684525,-2.062611754515053,-2.3458022749552203,-5.162125301465749,-176.13652709331785,-1.0198295198423437,-6.126241275784096,-176.5379410118879,1.5203887387459131e-05,-42.94046472282867
-200.0,1.3838965267367376e-87,1.5818057125792656e-131,8.085945937768957e-54,1.1697099505869811e-27,7.033495807252688e-07,-1.8012233125847321,-2.0626116876212297,-2.345811205118163,-5.162125432735388,-176.13533395588345,-1.0198295198173126,-6.129502739785662,-176.53985487926846,3.218203062856888e-05,-42.49716836416336
-200.0,1.3838965267367376e-87,1.6056762339643021e-99,8.597558564881529e-46,2.1690563843045965e-33,3.1611795808285544e-06,-1.8011536257392793,-2.0626118608328294,-2.3458096759599223,-5.162112700828011,-138.19034054095323,-1.019829519930548,-6.129423772681675,-170.7935677163778,1.0057627674492654e-07,-42.94430556785374
-200.0,1.3838965267367376e-87,3.243094552267208e-122,6.797862787471277e-46,2.1931281926643207e-25,6.11469250923353e-06,-1.8012917083299949,-2.0626118535989217,-2.3458111199899836,-3.000025913736409,-176.13726882441438,-1.0198294969027841,-6.129440339801637,-176.5413627809102,9.417671589700613e-05,-42.94138123583486
-200.0,1.3838965267367376e-87,3.504147458248472e-82,7.463530011697157e-56,1.808957543595082e-25,3.654455688058126e-05,-1.8012947725404573,-2.062611858211156,-2.3458101867257963,-5.162114003730161,-176.13746359537242,-1.0198294707147042,-6.129294056700027,-176.54069419709714,7.169440506825834e-06,-42.49717341850484
-200.0,1.3838965267367376e-87,8.156667090249041e-108,9.267223410676496e-57,1.1160117841924673e-28,2.629031403427292e-06,-1.801291305043661,-2.0625891328862407,-2.3458065606938807,-3.0000324642093075,-176.13732404071504,-1.0198295183632502,-6.129481619284611,-176.53984944874742,1.241962403832562e-06,-42.94266633086828
