Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-200.0,1.3838965267367376e-87,1.8743588302142156e-116,3.147332200140799e-34,1.566068393860321e-61,1.3944372563557722e-23,-1.8013034097546772,-2.0626118708227352,-2.3458010718155182,-5.162126159963983,-144.32502594666948,-1.0198295199309433,-6.129503887905304,-176.54179313519765,2.3507276641517574e-09,-42.94438701899019
-200.0,1.3838965267367376e-87,3.974676782895918e-110,1.0427563036391407e-36,1.9102371680261143e-62,2.7929684680172103e-08,-1.801303409663958,-2.06261181743509,-2.3458115760913154,-3.0000360758916873,-176.13757800156554,-1.0198295199309433,-6.129503891130671,-176.5417917930855,5.079870462360041e-09,-42.49717342349103
-200.0,1.3838965267367376e-87,3.9536783195439564e-100,3.708522197986318e-39,1.233446424007748e-65,1.3945666739176543e-25,-1.801303405937698,-2.062611870139037,-2.3458115761013136,-5.162126159963405,-144.52509097048468,-1.0198295199309433,-6.12950385195992,-145.4777373922216,6.321363495118778e-05,-42.497173423491034
-200.0,1.3838965267367376e-87,2.227529390851563e-116,2.8048288734637583e-38,1.4288550825136452e-62,9.469905388628924e-28,-1.8013034100985532,-2.0626118708227317,-2.3458115761012954,-5.162125714357478,-176.13757789811004,-1.0198295199309433,-6.129500584572855,-176.5417926729976,3.662447642616351e-07,-42.497173423491034
-200.0,1.3838965267367376e-87,8.966256351248856e-105,2.0810247914010962e-35,2.3140574296111275e-67,4.885180160357324e-26,-1.8013034100985537,-2.062611855613413,-2.3458115760974914,-5.162126159963975,-176.13757800162136,-1.0198295199309433,-6.1295038911306845,-176.53992554587313,4.007516548770905e-17,-42.497173423491034
-200.0,1.3838965267367376e-87,5.494034238349344e-114,3.5313181387382475e-41,1.2207579726427556e-68,5.740898172376725e-23,-1.8013034100973129,-2.062611870822738,-2.3458115761012555,-3.217439711370626,-144.3250259357387,-1.0198295199309433,-6.129503891130689,-176.54179118073856,0.00013738012956223262,-42.4971734754537
-200.0,1.3838965267367376e-87,4.94616207555135e-112,1.6331097872837488e-37,1.4168365195182879e-61,9.236853049564193e-22,-1.8013034080322503,-2.0626118696724065,-2.3458115761012635,-5.162126159963983,-116.4539699369199,-1.0198295199309433,-6.1295038898213186,-176.54178606068405,0.0003511810584015393,-42.49717342349103
-200.0,1.3838965267367376e-87,6.604087379071849e-100,7.932902330189519e-38,8.265358880907459e-66,2.8023317625074887e-22,-1.801303410098054,-2.0626118707829777,-2.3458115761013074,-5.162125915882405,-176.1375780012185,-1.0198295199309433,-6.129502980736147,-176.54177888404385,6.617131419172881e-09,-42.49717342349103
-200.0,1.3838965267367376e-87,2.9014443854128355e-104,2.6169035706755997e-41,1.7471033346120625e-58,4.985416031722133e-25,-1.2140478029300628,-2.0626118703059495,-2.345811306382735,-5.162126159960641,-176.13757800162944,-1.0198295199309433,-6.129503891130689,-176.54179299557265,6.352544632887895e-14,-42.497173712727445
-200.0,1.3838965267367376e-87,1.5483088763633452e-108,9.996656624219297e-35,3.254669490882767e-59,0.0,-1.801303409991382,-2.062611870822716,-2.345811575864566,-5.162119548648016,-135.1946997769733,-1.0198295199309433,-6.1295038613861355,-176.54179301201268,1.1150415983965161e-10,-42.94438701391734
-200.0,1.3838965267367376e-87,1.1499432995144707e-101,2.1977415207686573e-35,2.2321272557981582e-60,6.831965491666824e-23,-1.8013034100957506,-2.0626118704376504,-2.345811576101205,-5.1621251739811855,-144.52109685086438,-1.0198295199309433,-6.129496611959801,-176.54022706315016,5.702021786949317e-10,-42.49717342616271
-200.0,1.3838965267367376e-87,1.1984056538022661e-113,5.060397036846431e-37,7.874421012347038e-65,6.246545416684104e-21,-1.8013034100984548,-2.0626118708227117,-2.34581157610025,-5.162126159802774,-144.52509258485168,-1.0198295199309433,-6.129503891004023,-145.4777239197379,1.1731016307139434e-15,-42.4971734981781
-200.0,1.3838965267367376e-87,9.685934954174702e-110,4.761755875142097e-32,1.1447934635377722e-63,2.0413764061122977e-21,-1.801303410097451,-2.0626118708213963,-2.3458115746333155,-5.162126134719991,-144.3250259562567,-1.0198295199309433,-6.129503891130683,-176.5408445640493,3.5940759978969964e-20,-42.49717342349103
-200.0,1.3838965267367376e-87,2.364939119057143e-109,5.1124356807282776e-45,2.1973175153478995e-59,2.236422207748103e-19,-1.8013034100985519,-2.062611870202391,-2.3458115761013074,-5.162126159963134,-176.1375076319396,-1.0198295199309433,-6.129503891125675,-176.54179313632378,6.2166494833276035e-06,-42.944387018990994
-200.0,1.3838965267367376e-87,9.760543860951508e-105,7.500433248696702e-40,2.993182859813819e-63,7.099748146989106e-30,-1.8013034100985534,-2.062611870413789,-2.3458115761013008,-3.00003760054976,-176.13757800161736,-1.0198295199309433,-6.129503889494777,-176.54174156330797,4.419788480351979e-22,-42.497173433825495
-200.0,1.3838965267367376e-87,5.969461292057227e-113,9.496833503762862e-37,2.0052945369173755e-61,9.98402083170343e-31,-1.8013034099412155,-2.0626118708227352,-2.3458115760969807,-3.0000375953568916,-176.13727471628067,-1.0198295199309433,-6.129503890947206,-176.54179313674243,3.4099948577591814e-05,-42.944374493524776
-200.0,1.3838965267367376e-87,4.695971260649029e-104,3.8689955222902985e-36,3.623984024988727e-59,7.84587549505703e-22,-1.8013034100985479,-2.062611869817776,-2.3458115761013136,-5.1621261599612165,-144.32502595625067,-1.0198295199309433,-6.12950388741103,-176.54139566643644,4.26565427206449e-05,-42.94438701899099
-200.0,1.3838965267367376e-87,2.8817034577771525e-105,3.501174243212839e-35,4.044655496695504e-63,3.431064225597282e-27,-1.8013034100985497,-2.0626118708227397,-2.345811576025571,-5.162126159745315,-176.1374803314131,-1.0198295199309433,-6.129503890595965,-176.54176220203598,2.8277058479636537e-19,-42.94438701600962
-200.0,1.3838965267367376e-87,2.1474770245607502e-110,2.0112917012772196e-35,1.611964554836488e-61,3.864876140477303e-06,-1.80130333041531,-2.062611870822737,-2.3458115761012213,-5.162125760053774,-116.45391579143589,-1.0198295199309433,-6.129500934789652,-176.5415380026116,5.525621134308838e-07,-42.497173423491034
-200.0,1.3838965267367376e-87,6.771401717515342e-113,1.7859894137631524e-39,4.615132459835035e-63,1.6531460031068377e-19,-1.801303378105813,-2.0626118708192225,-2.345811564310857,-5.162126159963983,-144.32502595360904,-1.0198295199309433,-6.129503891130679,-176.54179313667078,1.2701223409301524e-08,-42.944385940887415
-200.0,1.3838965267367376e-87,7.953994305102173e-124,5.7845007257568564e-37,1.0949134933326601e-65,1.207573482570352e-26,-1.8013034100462657,-2.0626118526157806,-2.345811576101297,-3.0000376000911095,-144.3250259562544,-1.0198295199309433,-6.129503871035969,-176.54177299253598,3.3177620818872637e-10,-42.49717342917665
-200.0,1.3838965267367376e-87,4.840473159002975e-109,2.601747905963185e-38,5.541624329047686e-59,6.100117539966719e-06,-1.8013034100982597,-2.0626118708227392,-2.3458115758592313,-5.162126159957834,-176.1375774768628,-1.0198295199309433,-6.129503819793647,-176.5417931367457,3.6758276889551363e-13,-42.944387018990604
-200.0,1.3838965267367376e-87,3.2683988387472016e-105,1.0625322891685044e-32,5.1994432439274665e-64,1.734186947573888e-25,-1.0,-2.062611870512414,-2.3458115756203686,-5.162126154921273,-144.32502595164118,-1.0198295199309433,-6.129503891130654,-176.54179313599914,9.850708872262214e-07,-42.497173423491034
-200.0,1.3838965267367376e-87,5.613278249490108e-107,3.117562067335755e-34,2.2998439195442567e-70,1.9351744081202946e-28,-1.8012907266031992,-2.0626118708227397,-2.3458115760990066,-5.162126148299809,-116.45396993692513,-1.0198295199309433,-6.129503891120712,-176.541500513781,6.285409779848114e-06,-42.49717342352647
-200.0,1.3838965267367376e-87,1.496959769182041e-110,5.807707871401209e-33,1.592837517542453e-64,1.6619309144575788e-22,-1.801303410097934,-2.0626118708225887,-2.3458115761013016,-5.162126159963982,-176.13757800162043,-1.0198295199309433,-6.129503891128756,-176.54179313669457,9.50112037258052e-13,-42.49717342349103
