Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-199.99999999930728,6.382070456476118e-14,1.8498823693941184e-35,2.61008708546075e-16,2.1818125066139603e-20,6.794069069937387e-12,-1.801303410098536,-2.0626118686097894,-2.345811576101287,-5.162126159953898,-176.13757800020824,-1.0198295190196607,-6.129503777225625,-176.5416199661489,3.0416552909917537e-07,-42.94438701884782
-199.9999999997672,1.0104674300314892e-12,3.3279994399016935e-39,2.701417014435984e-15,1.0437556065622338e-19,1.7311738894887185e-11,-1.8013034100983016,-2.0626118699291536,-2.345811576101291,-5.162126159962392,-176.13757799972754,-1.0198295198691678,-6.129503891130555,-176.54177842419523,4.619702829079909e-10,-42.94438701896077
-199.99999999786215,8.829899903141822e-12,6.398413155932666e-37,8.401677212218382e-16,6.090337918316241e-19,1.4684726787390197e-11,-1.8013034100985101,-2.06261186900535,-2.345811576101281,-5.162126159960481,-176.13757800160508,-1.0198295190825843,-6.1295038911303745,-176.5391424717966,5.4861182036485104e-11,-42.944387018986376
-199.99999999787488,6.229173296614584e-15,7.865073282679534e-38,1.469188566186397e-17,2.7563511700599626e-19,7.141653711916954e-12,-1.8013034100984198,-2.0626118708083547,-2.345811576101291,-5.162126159963819,-176.13757800145302,-1.0198295191226048,-6.129503891127915,-176.5414254097346,2.608614707345007e-07,-42.94438701899097
-199.99999999422417,1.2005776255189268e-14,2.3356662048179322e-40,4.792018612790712e-17,2.8588809624585728e-18,8.528959227913554e-13,-1.80130341009855,-2.0626118652327814,-2.3458115761012914,-5.162126159961639,-176.13757800149773,-1.019829497177387,-6.129503877940623,-176.54097108233765,8.97921775157609e-08,-42.9443870189795
-199.99999999861726,3.7471106680006134e-13,1.005636188523416e-40,2.7764282886211054e-16,4.496638055706825e-20,2.9262911431402307e-13,-1.801303410098544,-2.0626118706808945,-2.3458115761012817,-5.162126159958588,-176.1375779944729,-1.019829514318804,-6.129503891085519,-176.54135679609468,2.233549118545809e-10,-42.94438701898034
-199.99999999927743,8.924512204119008e-13,3.3441443738444504e-35,7.636184030561194e-18,2.3406002534605432e-20,1.5860600312197103e-11,-1.8013034100985381,-2.062611869412158,-2.3458115761013048,-5.162126159957329,-176.13757790911322,-1.0198295194378368,-6.129503891129817,-176.54153461654084,2.0087921532536236e-06,-42.944387018986994
-199.99999999962446,7.315622044527561e-13,1.651049081074806e-39,9.799884651959188e-17,1.2800794156002796e-21,3.9145128203374064e-11,-1.8013034100982965,-2.062611866111178,-2.3458115761012763,-5.16212615996118,-176.13757799790017,-1.0198295164942515,-6.129503878697388,-176.5417516867941,2.766380932601728e-07,-42.94438701896168
-199.9999999999139,4.695240197938303e-16,1.4180249445477623e-40,1.2648342269041407e-16,8.015973154631587e-20,1.3644316477412986e-10,-1.8013034100985184,-2.062611870595249,-2.345811576101307,-5.162126159962803,-176.13757800139138,-1.0198295046653307,-6.129503874829408,-176.54168056463143,3.142105246590116e-08,-42.94438701898028
-199.9999999988322,1.091129984063694e-15,2.8670078855175046e-39,3.237104533166929e-17,1.537590573328885e-20,2.4323675338799104e-10,-1.8013034100985392,-2.0626118682236396,-2.345811576101302,-5.162126159963845,-176.13757800093856,-1.0198295071831212,-6.129503890854932,-176.5415036425818,2.890701214225508e-07,-42.944387018971575
-199.99999999784814,1.1454823803200671e-14,3.6105301260612316e-39,2.2818087085396975e-17,3.2053383861315644e-18,1.60755161860436e-12,-1.8013034100984777,-2.0626118705876273,-2.3458115761012968,-5.16212615996368,-176.13757790893047,-1.0198295187249113,-6.129503891107271,-176.53696485810843,3.040828863434884e-08,-42.94438701898973
-199.9999999995105,3.850148597006982e-13,6.899778548023464e-39,4.370466946986867e-17,5.1507298639019507e-20,5.729317171996007e-14,-1.8013034100985121,-2.062611870822729,-2.3458115761012994,-5.162126159942591,-176.1375779711316,-1.0198295196090177,-6.12950389113046,-176.54134918180952,1.1157697239587841e-05,-42.944387018990284
-199.99999999984053,5.432673498123798e-14,2.7631645514939087e-42,2.2558660964451878e-14,9.825311924579786e-21,3.392910212443762e-11,-1.8013034100984266,-2.062611870822647,-2.3458115761013034,-5.16212615995994,-176.1375780015188,-1.0198295198610516,-6.129503850759049,-176.5416626668759,3.9441874126473555e-11,-42.94438701879046
-199.9999999835536,4.700921265067653e-14,1.536127161314041e-36,4.3686446023664323e-16,5.867765652561864e-23,2.885341161059833e-11,-1.8013034100985401,-2.0626118706633823,-2.3458115761012843,-5.162126159945758,-176.13757800151035,-1.0198295196800595,-6.129503748222076,-176.54019012360578,8.906946096779453e-08,-42.94438701898212
-199.99999999979582,1.5545006907660447e-13,7.839656308137889e-38,1.641089017298364e-14,4.178866406783757e-21,1.7679432192874379e-13,-1.801303410098527,-2.0626118708214256,-2.3458115761012275,-5.162126159962716,-176.13757798838682,-1.019829519736044,-6.1295038863607445,-176.5417672521905,4.990083392315794e-11,-42.94438701898547
-199.99999999997303,3.073484888365432e-13,9.866214865874664e-42,1.2204742534912644e-17,1.0499913849669532e-18,1.5985250295500166e-11,-1.8013034100982548,-2.062611867925916,-2.3458115761013123,-5.162126159953697,-176.13757800126274,-1.0198295028033704,-6.129503800398762,-176.54152903133578,9.800193454309773e-09,-42.94438701899093
-199.9999999961413,3.658460425665795e-14,3.713281342276285e-36,4.3560064201387847e-16,2.946642800847177e-21,1.2187660100214269e-11,-1.8013034100985523,-2.062611870822522,-2.3458115761012723,-5.162126159943248,-176.13757796820317,-1.019829519534569,-6.129503885180694,-176.54173222976877,2.5573644593777163e-10,-42.944387018981686
-199.99999999931885,9.335958623261441e-16,6.72507109982338e-38,4.407950716015713e-16,4.49539978241635e-21,2.4544866062057016e-12,-1.8013034100985,-2.0626118706614913,-2.3458115761012994,-5.16212615996134,-176.13757798568417,-1.0198295181448211,-6.129503790166501,-176.54046182560626,2.5508973048132348e-08,-42.94438701899082
-199.99999999881746,3.029422641972527e-14,2.815199328865777e-37,3.060376856672269e-16,2.3237821213419183e-19,8.408606707269013e-12,-1.8013034100985275,-2.0626118293228055,-2.345811576101299,-5.162126159963227,-176.13757800138282,-1.0198295196887934,-6.129503890884746,-176.54142736452644,9.059370587738554e-08,-42.944387018981764
-199.9999999998429,1.6618120163478561e-15,2.705783509946931e-37,8.32796370305214e-17,4.20052129050254e-20,1.9807989725358088e-11,-1.8013034100985124,-2.0626118657237824,-2.345811576101246,-5.162126159963724,-176.13757800139587,-1.0198295197405856,-6.129503886786304,-176.53765089242978,1.1966456813164197e-07,-42.94438701899054
