Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-199.99999962220463,1.3838965267367376e-87,5.516959432357963e-28,1.1074284959954389e-09,1.2607565978915075e-16,9.281109548288448e-16,-1.801303410098553,-2.0626118708219234,-2.3458115761013016,-3.000037600554544,-176.1375780016196,-1.0198295199309433,-6.12950389113067,-176.52536392780206,5.893917911011037e-12,-42.94438701899095
-199.99999970114476,1.3838965267367376e-87,7.464283215615867e-32,3.0897959709447843e-12,1.92035350671481e-18,4.683295081151304e-15,-1.8013034100985528,-2.0626118708147634,-2.3458115761013145,-5.162126159963982,-176.1375780010094,-1.0198295199309433,-6.12950389050429,-176.53946115851096,1.3229482701532062e-13,-42.94438701899078
-199.99999994834488,1.3838965267367376e-87,9.87502575406229e-32,6.294565693259665e-13,3.0902259423689734e-16,1.4912581122774893e-14,-1.801303410098553,-2.062611870822733,-2.345811576101315,-5.162126159963982,-176.13757800155054,-1.0198295199309433,-6.129503882826341,-176.54171376014452,1.6183158533039662e-14,-42.94438701899092
-199.99999993497016,1.3838965267367376e-87,2.571097639397271e-33,4.000282150801742e-12,2.0190858174108398e-17,4.135615582197779e-13,-1.8013034100985532,-2.0626118596496434,-2.3458115761013145,-5.162126159963915,-176.1375780016205,-1.0198295199309433,-6.129503891130687,-176.53598361563363,5.963765831923458e-08,-42.94438701898912
-199.99999997894554,1.3838965267367376e-87,9.435194761887651e-30,1.4139207209553973e-12,3.4171217278195165e-17,7.187133587518079e-16,-1.8013034100985534,-2.062611870822653,-2.345811576101315,-5.162126159630314,-176.13757797107445,-1.0198295199309433,-6.129503891130683,-176.52872141820913,2.3289091244290403e-09,-42.944387018990895
-199.9999999431493,1.3838965267367376e-87,9.235884240236459e-32,1.3099346723180237e-11,4.628347776415481e-17,3.3649822216342738e-15,-1.8013034100985528,-2.062611870809854,-2.3458115761013145,-5.162126159963977,-176.13757799956832,-1.0198295199309433,-6.129503891130687,-176.54179313660765,4.956568375510985e-11,-42.944387018990945
-199.999999890781,1.3838965267367376e-87,2.197198704141254e-34,3.7571582190493513e-10,2.5249937762887026e-16,7.659550032828029e-16,-1.8013034100985523,-2.0626118708227095,-2.345811576101311,-5.162126159947895,-176.13757800127152,-1.0198295199309433,-6.129503891128714,-176.52778845196661,4.6094826205847496e-14,-42.94438701899057
-199.99999987835025,1.3838965267367376e-87,6.913470690716382e-35,1.0100192059371764e-12,3.449804630203223e-17,3.2328083518152403e-14,-1.8013034100985532,-2.0626118708227392,-2.3458115761013127,-3.000037600552749,-176.13757800162887,-1.0198295199309433,-6.129503891130564,-176.53913112811057,1.5321444982019026e-12,-42.94438701899082
-199.9999998793816,1.3838965267367376e-87,1.3314488533762226e-28,1.4413803449954675e-13,5.083703264685375e-18,1.8133199394113816e-14,-1.801303410098553,-2.062611870822502,-2.345811576101315,-5.162126159963972,-176.13757800162892,-1.0198295199309433,-6.129503891130677,-176.5417868573453,1.6031924542431604e-11,-42.94438701899098
-199.99999996400834,1.3838965267367376e-87,1.1694724630767805e-29,2.3110082077849393e-12,2.140398944347031e-16,1.2461897631327271e-17,-1.8013034100985514,-2.062611870822044,-2.345811576101315,-5.162126159963645,-176.13757800162517,-1.0198295199309433,-6.129503891130687,-176.54166073398272,5.521968971665003e-17,-42.94438701899077
-199.9999999857546,1.3838965267367376e-87,3.660903769576973e-32,1.141471830209563e-10,2.1227840827497425e-16,1.0576858376481698e-17,-1.8013034100985537,-2.062611869632279,-2.3458115761013074,-5.162126159963972,-176.1375780016149,-1.0198295199309433,-6.129503891129777,-176.53589806337914,1.5996542468861417e-07,-42.944387018990724
-199.99999996542664,1.3838965267367376e-87,5.089679099144091e-29,1.7098011521728465e-11,8.375546656783941e-17,8.627814430562233e-13,-1.8013034100985532,-2.0626118708217795,-2.3458115761013154,-5.162126159963724,-176.13757800152092,-1.0198295199309433,-6.129503890659685,-176.5398638686677,9.49800581286344e-13,-42.94438701899098
-199.9999998992485,1.3838965267367376e-87,1.1106017277593765e-32,4.976705604079127e-11,1.483481088197586e-17,1.23740759725862e-13,-1.8013034100985532,-2.0626118708227374,-2.3458115761013145,-3.0000376005545437,-176.1375780016285,-1.0198295199309433,-6.129503891130686,-176.53731204374458,4.6952427935678866e-17,-42.94438701899076
-199.9999999601345,1.3838965267367376e-87,8.38492480778763e-30,2.973353953928302e-11,2.205515527561828e-17,4.788053883713231e-15,-1.8013034100985532,-2.0626118707570744,-2.3458115761013105,-5.16212615996328,-176.13757800158942,-1.0198295199309433,-6.129503891130479,-176.45664406081275,6.960869239232267e-10,-42.94438701899091
