Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-199.9999999996988,1.3838965267367376e-87,6.510524805161449e-37,6.914227217722374e-17,5.010807422675624e-17,5.516029127290588e-15,-1.8013034100985537,-2.0626118708227166,-2.345811576101315,-5.162126159963983,-176.13757800132058,-1.0198295199309433,-6.129503891130689,-176.54135624323064,1.51361559556359e-13,-42.94438701899099
-199.99999999969037,1.3838965267367376e-87,1.343201055428748e-39,1.1874783509540464e-14,2.474551516730214e-17,2.9236990149472073e-14,-1.8013034100985534,-2.062611870822737,-2.345811576101315,-5.162126159963983,-176.13757800162261,-1.0198295199309433,-6.129503891102186,-176.53225802534888,2.1813135955675484e-16,-42.94438701899099
-199.9999999988131,1.3838965267367376e-87,2.701395693732621e-37,6.43888511863613e-17,1.7342934103901852e-17,1.0178148797474776e-13,-1.8013034100985537,-2.0626118708227357,-2.3458115761013154,-5.16212615996398,-176.13757800162534,-1.0198295199309433,-6.129503891114584,-176.52762619497364,3.1338448372481104e-15,-42.94438701899099
-199.9999999987686,1.3838965267367376e-87,2.0739368828642304e-40,1.2620166477107052e-17,1.7862873888941266e-17,3.5639467688546536e-12,-1.8013034100985534,-2.0626118708000614,-2.3458115761013154,-5.162126159963983,-176.13757800162844,-1.0198295199309433,-6.129503891130688,-176.5417676641381,1.341508791340751e-06,-42.94438701899099
-199.99999999984666,1.3838965267367376e-87,1.6786552613336558e-38,1.8591245616030518e-16,1.0054153328058849e-16,3.40204521019261e-14,-1.8013034100985537,-2.0626118703614864,-2.345811576101315,-5.162126159963981,-176.13757800162608,-1.0198295199309433,-6.12950389111077,-176.53979055273464,3.047745978591964e-14,-42.94438701899099
-199.9999999997357,1.3838965267367376e-87,1.7039690834049847e-36,5.158974550122937e-14,1.60212638326308e-18,5.158455088391238e-13,-1.8013034100985537,-2.062611870822703,-2.345811576101315,-5.1621261599639805,-176.13757800162938,-1.0198295199309433,-6.129503891100383,-176.4719258632569,4.533577694812751e-08,-42.944387018990994
-199.9999999983561,1.3838965267367376e-87,1.8702428408247566e-37,1.734172866010369e-16,1.2002136680805903e-17,5.031072320605345e-12,-1.8013034100985534,-2.0626118708225234,-2.345811576101315,-5.162126159963983,-176.1375780016292,-1.0198295199309433,-6.129503891130688,-176.5321343647924,3.1810094558513696e-09,-42.94438701899099
-199.99999999958783,1.3838965267367376e-87,1.995837203303822e-40,2.9722404196689404e-14,9.561296406419842e-18,4.168173723359769e-15,-1.8013034100985534,-2.062611870819906,-2.3458115761013154,-5.162126159963962,-176.1375780016294,-1.0198295199309433,-6.1295038911306845,-176.5042883611216,2.518097037481318e-10,-42.944387018990994
-199.99999999978647,1.3838965267367376e-87,7.653912974217174e-36,1.3929564459305318e-15,7.737550874447396e-17,3.950940361814234e-12,-1.8013034100985532,-2.062611870821934,-2.3458115761013154,-5.162126159963973,-176.13757800162935,-1.0198295199309433,-6.12950389112959,-176.54093265899027,4.726866042650408e-13,-42.94438701899098
-199.99999999976384,1.3838965267367376e-87,4.3870166233406726e-37,9.703611364972036e-16,4.8296969235303254e-17,8.56863267617807e-14,-1.8013034100985534,-2.0626118708225696,-2.345811576101315,-5.16212615995816,-176.1375780016288,-1.0198295199309433,-6.129503891130688,-176.50333131558241,5.260670373189028e-13,-42.94438701899097
-199.99999999935264,1.3838965267367376e-87,3.6747538406346227e-37,6.392519129362992e-14,3.737149754553902e-17,4.014537938728214e-14,-1.8013034100985537,-2.0626118695471254,-2.3458115761013154,-5.162126159963975,-176.13757800162796,-1.0198295199309433,-6.129503891130687,-176.53932638863571,4.2776027148685334e-16,-42.94438701899099
-199.99999999796842,1.3838965267367376e-87,2.692577347389442e-38,6.787139127698101e-15,7.672955949550755e-17,4.257716996179096e-13,-1.8013034100985537,-2.062611870821679,-2.3458115761013154,-5.162126159963983,-176.13757800162938,-1.0198295199309433,-6.129503890329229,-176.54155563542344,7.871736873144136e-16,-42.94438701899098
-199.99999999910153,1.3838965267367376e-87,3.556204658766413e-38,1.2870919303588394e-14,4.028533419125991e-17,4.407833839440362e-12,-1.8013034100985534,-2.062611870796167,-2.3458115761013154,-5.16212615987028,-176.1375780016147,-1.0198295199309433,-6.129503891130687,-176.53528885041322,2.2818100337105694e-05,-42.94438701899099
-199.99999999795452,1.3838965267367376e-87,9.822284212028818e-39,1.1749233017395231e-14,1.8206458413054225e-15,2.0974800304192157e-14,-1.8013034100985534,-2.0626118708227383,-2.3458115761013154,-5.1621261599635835,-176.13757800162747,-1.0198295199309433,-6.129503890982821,-176.53934366274063,4.247897605687959e-16,-42.94438701899099
-199.99999999870076,1.3838965267367376e-87,4.6980166843985094e-36,4.152097413218116e-15,7.310403066393396e-20,8.084162725367284e-14,-1.8013034100985537,-2.062611870804207,-2.345811576101315,-5.162126159963982,-176.1375780016288,-1.0198295199309433,-6.129503891130689,-176.53949509266693,2.1022682273439705e-16,-42.94438701899098
-199.99999999969754,1.3838965267367376e-87,3.537116999914112e-39,6.398298294691961e-15,7.171851160578853e-18,1.3654522850930685e-12,-1.8013034100985534,-2.0626118708082757,-2.345811576101315,-5.162126159963796,-176.1375780016294,-1.0198295199309433,-6.129503890365803,-176.53574215933108,2.0347775221137464e-17,-42.94438701899099
-199.99999999970325,1.3838965267367376e-87,1.1392130774181984e-37,8.561458860713412e-14,3.102828714282138e-17,1.7143797615882667e-13,-1.8013034100985534,-2.0626118708226673,-2.3458115761013154,-5.162126159963983,-176.13757800162824,-1.0198295199309433,-6.129503889869921,-176.53907149594696,8.473471756290124e-11,-42.94438701899099
-199.99999999879236,1.3838965267367376e-87,3.140190017747636e-35,7.488619787685338e-16,7.981191533361281e-18,7.492083151733202e-12,-1.8013034100985534,-2.0626118708227317,-2.3458115761013154,-5.162126159963794,-176.13757800162907,-1.0198295199309433,-6.129503891129078,-176.54158684112227,1.7804795237131132e-18,-42.944387018990994
-199.99999999850635,1.3838965267367376e-87,7.79469115573764e-40,1.8038479516789663e-16,1.797103305449934e-17,1.9988408555918804e-12,-1.8013034100985534,-2.0626118708198553,-2.3458115761013154,-5.162126159963981,-176.13757800162682,-1.0198295199309433,-6.1295038896585785,-176.5408684327413,7.978593600440356e-12,-42.94438701899098
-199.99999999984433,1.3838965267367376e-87,1.242923708932258e-35,4.884366457634435e-16,2.4487277102097295e-17,3.8008255499679106e-14,-1.8013034100985534,-2.0626118705754957,-2.3458115761013154,-5.162126159963698,-176.13757800162938,-1.0198295199309433,-6.129503891130679,-176.5417229366273,3.2569836821588954e-09,-42.94438701899099
-199.99999999938677,1.3838965267367376e-87,4.1455830950822913e-38,1.1023105432159574e-15,9.259070231128661e-18,5.264456553943505e-14,-1.8013034100985532,-2.0626118708200574,-2.3458115761013154,-5.162126159963977,-176.1375780013965,-1.0198295199309433,-6.129503891130688,-176.5320468740121,9.58229887216292e-07,-42.94438701899098
-199.99999999945038,1.3838965267367376e-87,1.0965185401051693e-37,1.939649754668417e-14,3.916265323199897e-17,6.936047911044611e-13,-1.8013034100985534,-2.0626118708169363,-2.345811576101315,-5.16212615996398,-176.13757800162617,-1.0198295199309433,-6.129503891130684,-176.53736262603468,2.719055248445311e-09,-42.94438701899099
-199.99999999730912,1.3838965267367376e-87,3.258147192248311e-37,4.08305463425636e-15,1.1470453346811425e-16,5.4891382376945e-15,-1.8013034100985537,-2.062611870696952,-2.3458115761013154,-5.162126159963982,-176.13757800162944,-1.0198295199309433,-6.129503890994382,-176.54162191497065,2.167364320836072e-10,-42.94438701899098
-199.9999999990884,1.3838965267367376e-87,1.4241675542862899e-36,7.674308882564406e-15,3.267259799757043e-16,1.8076134899344693e-15,-1.8013034100985532,-2.0626118708227343,-2.3458115761013154,-5.162126159963981,-176.1375780016293,-1.0198295199309433,-6.129503891130584,-176.5416207175484,1.483443352885465e-12,-42.94438701899098
-199.99999999736818,1.3838965267367376e-87,4.461609217792446e-37,8.653902098743361e-15,3.164783025660958e-17,5.4429309852465996e-14,-1.8013034100985537,-2.0626118708227374,-2.3458115761013154,-5.162126159963983,-176.1375780006669,-1.0198295199309433,-6.129503891130645,-176.54093743664163,4.5230042121058895e-10,-42.94438701899097
