Ackley2,Brent,ChungReynolds,Cigar,Matyas,Leon,Michalewicz,CrossInTray,Hosaki,Langermann,Levy5,Mishra5,Alpine2,Hansen,Himmelblau,Chichinadze
-199.9999984146512,1.3838965267367376e-87,1.5091047834228937e-22,11.87001416666015,2.7727809510039377e-14,0.0002871334962481331,-1.8013034100982686,-2.0626118708226975,-2.345811576101278,-5.162126159959857,-176.13757800159652,-1.0198295199309422,-6.129503891130284,-176.54179313606986,3.312565744538248e-13,-42.942097234862864
-199.99999601384079,1.3838965267367376e-87,2.2144265856075045e-23,0.000573520370289264,1.0360314965500528e-14,0.002184984816728042,-1.8013034100977552,-2.062611870822736,-2.3458115761012595,-5.162126159958685,-176.13757800110847,-1.0198295199309348,-6.129503891130606,-145.47773740182222,1.1098567297797543e-12,-42.4971734234909
-199.99999927398133,1.3838965267367376e-87,1.5983951678645667e-22,64.19911388431278,1.0129305021088674e-13,9.865203736459078e-07,-1.8013034100976117,-2.0626118708226993,-2.345811576101272,-5.162126159963245,-176.1375780014239,-1.0198295199309373,-6.129503891130377,-176.5417931362348,1.9060660045162873e-12,-42.4971734234854
-199.99999825431084,1.3838965267367376e-87,1.2696880604870445e-24,1.1663351129183375e-06,3.0349178196178857e-15,0.0003016031079119315,-1.8013034100984617,-2.062611870822711,-2.345811576101263,-5.1621261599582775,-144.32502595625112,-1.0198295199309402,-6.129503891130659,-176.54179313671273,9.332149146416989e-13,-42.49717342346468
-199.99999850088784,1.3838965267367376e-87,1.0488915215534036e-21,111.83211680114808,4.2846757884794935e-15,0.0015147143072662891,-1.801303410098171,-2.062611870822689,-2.345811576101287,-5.162126159959256,-176.1375780016247,-1.0198295199309406,-6.12950389113007,-176.54179313670053,3.6047692222899153e-13,-42.49717659439775
-199.9999892985842,1.3838965267367376e-87,3.4209841687251654e-22,60.288776698853354,4.470705808463327e-15,3.745727081802945e-05,-1.801303410098285,-2.0626118708226784,-2.3458115761012683,-5.162126159955668,-176.1375780015349,-1.019829519930925,-6.129503891130195,-176.54179313654382,2.996740320708272e-12,-42.49717342347994
-199.99999771111575,1.3838965267367376e-87,3.3971929734404566e-23,38.16048141976773,1.1475964932597458e-14,1.56001295097712e-06,-1.801303410098001,-2.0626118708227286,-2.345811576101239,-5.162126159961171,-176.13757800156299,-1.0198295199309422,-6.1295038911288735,-176.54179313674504,2.1158820648134756e-12,-42.944232005854424
-199.9999942311284,1.3838965267367376e-87,6.037628530228425e-22,6.309301008604318,3.3853941315927994e-14,1.1937683013166222e-06,-1.8013034100982215,-2.062611870822691,-2.3458115761012786,-5.16212615996066,-106.58138426289608,-1.0198295199309386,-6.1295038911302955,-176.54179313665023,8.305344391300297e-13,-42.94008004533879
-199.9999939165766,1.3838965267367376e-87,7.543888516972105e-23,122.99177382074707,1.940438864093732e-14,0.0011532510784427296,-1.8013034100982321,-2.062611870822689,-2.3458115761012897,-5.162126159960373,-176.13757800106637,-1.019829519930941,-6.129503891130539,-176.54179313667984,9.438024727168471e-13,-42.49717342349044
-199.999991369734,1.3838965267367376e-87,1.571411609507086e-22,0.3615529653846102,1.0254150587687495e-14,8.541351840161072e-06,-1.8013034100980032,-2.0626118708227223,-2.345811576101167,-5.162126159954853,-176.1375780014843,-1.019829519930876,-6.129503891130561,-176.5417931367322,1.3749848364260344e-12,-42.49717342349094
-199.99999291600386,1.3838965267367376e-87,1.1889379078356738e-21,1.1943377668781234,1.0930496118145031e-14,0.004868974706901852,-1.8013034100981495,-2.0626118708227152,-2.3458115761013016,-5.16212615996123,-176.13757800132285,-1.0198295199309084,-6.129503891130537,-176.54179313636362,6.008366642699249e-13,-42.49717342348941
-199.99999412465291,1.3838965267367376e-87,9.985000488018562e-23,5.129117462178636,9.256136129134982e-15,2.4179420912489186e-05,-1.8013034100979184,-2.0626118708227357,-2.3458115761012146,-5.162126159960596,-176.137578001354,-1.019829519930943,-6.129503891130476,-176.5417931361049,1.1588562761518396e-13,-42.497173423485826
