trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-170.14428874524185,-182.9527327650973,-159.64652898080087,-189.76201005388316,-187.75214805590454,-188.36987716151867,-183.06650407186865,-183.80213896505552,-187.498441220601,-185.49291186326073,-182.2724757642038,-180.2403298288272,-192.36307383052159,-164.5180018656813,-180.69325585122263,-179.29000828645422,-150.57164244136234,-180.8731484291616,-197.28663091109928,-192.27404239579874,-173.23963471333096,-183.35622331723334,-190.06309479928046,-182.51283479473105,-183.58321918813226
-187.36412187890886,-182.9527327650973,-165.84286006047546,-189.76201005388316,-187.75214805590454,-188.36987716151867,-183.06650407186865,-183.80213896505552,-187.498441220601,-185.49291186326073,-182.2724757642038,-180.2403298288272,-192.36307383052159,-183.6691361542882,-180.69325585122263,-180.24714582183123,-197.41192601450118,-180.8731484291616,-197.46789262920944,-192.27404239579874,-198.0066705469474,-183.35622331723334,-190.06309479928046,-182.51283479473105,-183.58321918813226
-187.36412187890886,-194.17577245452472,-172.8936939591002,-189.76201005388316,-190.03070941528378,-188.36987716151867,-183.06650407186865,-183.80213896505552,-187.498441220601,-186.75432764565707,-184.32722041081672,-180.2403298288272,-192.36307383052159,-183.6691361542882,-180.69325585122263,-180.24714582183123,-197.41192601450118,-190.8537074387781,-197.46789262920944,-192.27404239579874,-198.0066705469474,-183.35622331723334,-190.06309479928046,-182.83851399914147,-191.8780918879202
-196.67118924967565,-194.17577245452472,-172.8936939591002,-189.76201005388316,-190.03070941528378,-188.5223190251855,-187.92448072936034,-193.5362942361941,-187.498441220601,-191.34689854567824,-192.73707663363652,-186.9679094797927,-192.36307383052159,-183.6691361542882,-192.38839709102243,-181.54126614511603,-197.41192601450118,-190.8537074387781,-197.46789262920944,-192.27404239579874,-198.0066705469474,-183.35622331723334,-190.06309479928046,-182.83851399914147,-194.27516424031685
-196.67118924967565,-195.09007740289016,-191.49871960496654,-189.76201005388316,-190.03070941528378,-188.5223190251855,-187.92448072936034,-193.5362942361941,-191.32968974499838,-191.34689854567824,-192.73707663363652,-188.41488531168633,-193.49127164808203,-191.9115905036395,-192.38839709102243,-189.80256692166736,-197.41192601450118,-193.22739469383512,-197.46789262920944,-196.6326802260484,-198.0066705469474,-183.35622331723334,-190.06309479928046,-191.9264789151139,-194.27516424031685
-196.67118924967565,-195.09007740289016,-192.4836066451555,-189.76201005388316,-193.26525084383516,-190.03748826594455,-187.92448072936034,-193.5362942361941,-195.2644110794494,-191.34689854567824,-192.73707663363652,-191.9357338065003,-193.49127164808203,-191.9115905036395,-193.1798783864089,-195.04910416836537,-197.41192601450118,-196.24595283231176,-197.46789262920944,-196.6326802260484,-198.0066705469474,-192.52350311289257,-194.20117126953934,-191.9264789151139,-194.27516424031685
-196.67118924967565,-195.09007740289016,-192.4836066451555,-195.58719301106672,-193.26525084383516,-190.03748826594455,-196.89087925045627,-193.5362942361941,-195.2644110794494,-191.34689854567824,-195.33997878806628,-192.00560537677993,-193.49127164808203,-191.9115905036395,-193.1798783864089,-195.04910416836537,-197.41192601450118,-196.24595283231176,-197.46789262920944,-196.6326802260484,-198.0066705469474,-192.52350311289257,-197.24558284338397,-192.6881625386021,-194.27516424031685
-196.67118924967565,-195.39085974959661,-192.4836066451555,-195.58719301106672,-197.00215421754825,-190.03748826594455,-196.89087925045627,-193.5362942361941,-195.2644110794494,-195.28432588706826,-195.33997878806628,-196.91451702374636,-196.1051640184136,-191.9115905036395,-193.1798783864089,-195.04910416836537,-197.41192601450118,-196.24595283231176,-197.46789262920944,-196.6326802260484,-198.0066705469474,-192.52350311289257,-198.86701276098304,-195.35321982548913,-195.3639170383866
-196.67118924967565,-195.39085974959661,-193.93767505044056,-195.58719301106672,-197.00215421754825,-192.50113958676152,-196.89087925045627,-197.4205244013189,-197.4991197577544,-195.28432588706826,-197.42742156141338,-196.91451702374636,-199.25110035074158,-191.9115905036395,-193.1798783864089,-195.96992147177554,-197.41192601450118,-196.24595283231176,-197.46789262920944,-197.61775185341307,-198.0066705469474,-193.09899624075564,-198.86701276098304,-197.64013893275504,-196.28040082750712
-196.67118924967565,-195.39085974959661,-193.93767505044056,-195.58719301106672,-197.00215421754825,-199.0212209154707,-196.89087925045627,-197.4205244013189,-198.4829887260174,-197.41473585251057,-198.6265489799945,-196.91451702374636,-199.25110035074158,-191.9115905036395,-193.1798783864089,-197.94257249467822,-198.22548009022918,-196.24595283231176,-197.8248116972222,-198.6799465228093,-198.0066705469474,-193.8928588749731,-198.86701276098304,-197.64013893275504,-196.28040082750712
