trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-121.96390268453997,-62.85977870653932,-48.47825859651016,-143.14722448822093,-167.97191325820998,-171.99985361346904,-87.22246049167823,-160.99044457786005,-83.23875727859027,-130.72006366312607,-78.8701231764569,-104.35139423531506,-129.8320836944729,-79.87617746661711,-48.639495796463386,-142.41341621180672,-41.77779003220098,-131.34293920952197,-163.64274795583887,-103.57791584495614,-95.31324335799903,-31.42452411923002,-40.906308326595955,-176.46652134677237,-91.33204247710732
-137.06560818161879,-62.85977870653932,-108.27200287168442,-144.91354284605276,-174.02254309428187,-173.56203557647035,-87.22246049167823,-160.99044457786005,-156.67711368377826,-130.72006366312607,-98.54905564602099,-143.02033692415765,-142.4670927648168,-156.25611438540932,-137.02326331444965,-142.41341621180672,-82.83955130691815,-131.34293920952197,-167.8659944105415,-117.15592639563974,-95.31324335799903,-38.118411395258164,-129.31710969689613,-176.46652134677237,-112.5886235403366
-137.43949361950328,-92.81816640883132,-108.27200287168442,-144.91354284605276,-174.2294894065384,-176.05888342698756,-133.10031029328036,-173.85016811503306,-156.67711368377826,-136.5317223865083,-156.36676307274192,-143.02033692415765,-142.4670927648168,-156.25611438540932,-137.02326331444965,-142.41341621180672,-110.54481116039223,-131.34293920952197,-176.20655453231132,-144.64809640166368,-130.10680196890496,-117.49577585695205,-142.61313098869206,-176.46652134677237,-139.98395640081816
-176.19056914251274,-129.7406931287238,-108.27200287168442,-144.91354284605276,-174.32404846057128,-176.05888342698756,-133.10031029328036,-176.35549471290375,-156.67711368377826,-162.26803960026004,-156.36676307274192,-143.29256981603135,-142.67285255458233,-156.25611438540932,-137.02326331444965,-142.41341621180672,-146.40203551106998,-146.46333866078598,-176.20655453231132,-144.64809640166368,-130.10680196890496,-124.97237644673386,-143.4544281365824,-176.46652134677237,-139.98395640081816
-176.19056914251274,-136.711771009097,-117.04955227062406,-145.26839116416576,-174.35887733284574,-176.10840947470268,-133.10031029328036,-176.46693827256814,-156.67711368377826,-162.26803960026004,-167.25226045992633,-144.78543944103595,-144.65076721473176,-156.25611438540932,-143.03786207790685,-173.21252448638592,-148.1351348476811,-157.31505882890443,-176.20655453231132,-144.68185435654374,-130.10680196890496,-136.16474366659133,-144.45348751305818,-176.47425512981235,-139.98395640081816
-176.19332247996869,-140.73528153834937,-158.39462496661142,-145.26839116416576,-174.35887733284574,-176.1180265457921,-137.48362658447223,-176.50804362139954,-161.56624518925852,-162.26803960026004,-174.31635495108745,-144.96470212506003,-144.82095877729188,-156.75743643145393,-143.19764781796127,-175.33456630279872,-158.33972530495006,-166.47381306876173,-176.20655453231132,-145.370364385803,-159.14216600613253,-136.16474366659133,-145.1112438555743,-176.51357312814704,-140.13114428946744
-176.2386645287414,-140.73528153834937,-158.39462496661142,-145.44666678237817,-174.35887733284574,-176.12660799205776,-142.48820022074705,-176.52869338531391,-174.51805551125003,-167.862355182957,-176.41195913140496,-144.98321627942698,-144.82095877729188,-156.75743643145393,-143.78061417004466,-175.80138318728362,-158.5738514807574,-172.6729571310121,-176.33275772837104,-145.4360293007443,-159.84196342134808,-136.9202525798115,-145.34902166524313,-176.51830923102693,-141.12503218675815
-176.24188141638942,-140.73528153834937,-159.65332168358253,-145.46499771514434,-174.35887733284574,-176.12761999672458,-143.1664917179773,-176.53745425443057,-175.0656072747189,-174.31260261461875,-176.52306368384856,-144.98511249350219,-144.82095877729188,-156.75743643145393,-143.8043134917957,-176.09669758692016,-158.5738514807574,-175.15474759928796,-176.43063917427887,-145.4360293007443,-166.87870924395625,-152.0296559228298,-145.35920050915252,-176.5235058210817,-142.66714229494585
-176.2423480050648,-141.44470567807582,-159.65332168358253,-145.47203992523117,-174.3603005292571,-176.12834514924876,-144.8474874545972,-176.5401819978118,-175.33985519104579,-174.9674022548386,-176.5333996872729,-144.98511249350219,-144.828279859151,-156.75743643145393,-143.80441270937553,-176.11883919987895,-158.5738514807574,-175.81513316781647,-176.4310024180637,-145.4570813110965,-170.9611609682555,-152.712960263221,-145.47085254959057,-176.5246010574519,-142.66714229494585
-176.2428599125275,-141.94473414926838,-161.13116484261465,-145.47266251334466,-174.36063005422494,-176.1286282538455,-144.97326377864655,-176.54025119395843,-175.34872362522864,-175.10204338052299,-176.5333996872729,-144.98544975190387,-144.83223996690919,-156.76358206587557,-143.81352463321645,-176.12107636898696,-158.5738514807574,-176.0030392394842,-176.43133563612008,-145.4571940995227,-173.08011486016528,-155.5216211861201,-145.47744266688653,-176.5246010574519,-142.66863244608209
