trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-35.72229369682782,-72.35038084782876,-25.753170021533002,-18.063115132816083,-30.37805957309844,-95.94132368513469,-75.48288825127105,-14.238420267960711,-19.050694248829938,-78.08728312333082,-38.51048618519491,-31.589151620780136,-79.15040587269158,-154.01245451957666,-44.56884847169663,-84.31759537651186,-94.94763364931292,-27.793578760232496,-44.94876533697183,-34.210207957453854,-102.06028206093391,-32.046783788805776,-67.6819530988659,-81.33282716616065,-48.75459932673199
-62.2295405068613,-153.888817101012,-174.39560679185763,-27.000152624241395,-51.97517235286674,-108.67669839786444,-78.59593724305097,-92.80604484291942,-92.5693270963312,-78.08728312333082,-126.24672666906564,-64.28774503717224,-83.04262171239046,-161.71064878169534,-50.05456529245882,-84.31759537651186,-94.94763364931292,-96.58538445772714,-141.35443874963826,-160.43477935856976,-132.22865138826694,-101.55205417641653,-67.6819530988659,-108.02344679620883,-87.75482147200063
-119.24917392594377,-153.888817101012,-175.934611179421,-41.958622490069,-123.0640960032996,-108.68996302013596,-102.14946795176934,-132.83894401241608,-100.74149995925218,-106.70419171550658,-146.47399089561276,-76.1689274289817,-133.1768298247266,-172.69720178599434,-140.48132679643686,-84.31759537651186,-97.23446666407922,-107.49163080997022,-144.70698654688448,-176.0732478239647,-132.22865138826694,-141.79482836170214,-95.11659196451588,-108.02344679620883,-158.14326255759704
-119.24917392594377,-159.34245729351474,-175.934611179421,-41.958622490069,-135.6631270309326,-112.18383099200437,-102.14946795176934,-132.83894401241608,-111.73158182746529,-106.70419171550658,-146.47399089561276,-119.7079948231092,-139.40534464063978,-173.81423028011292,-172.92218576975878,-84.31759537651186,-98.28191349423702,-108.99805246110999,-148.08733478696612,-176.0732478239647,-144.951067689139,-143.63424361532532,-95.11659196451588,-135.02198155525625,-158.23027590881009
-119.24917392594377,-160.86545655380084,-175.934611179421,-41.958622490069,-135.6631270309326,-114.830541462479,-103.20394935253263,-139.21709399135187,-112.91353897250166,-124.49723244447298,-146.5858128098963,-139.79149071532308,-142.34039383422586,-173.97394434920437,-172.92218576975878,-103.29315712683088,-98.57611954003649,-109.0180460095398,-149.87315534146677,-176.0732478239647,-144.951067689139,-143.63424361532532,-142.59033959615135,-135.02198155525625,-158.23027590881009
-123.42010154054509,-164.19679435341178,-175.94755825145322,-42.172445845439285,-135.87122260042574,-115.60471456973704,-108.83732664403085,-139.21709399135187,-113.18189460184699,-143.02070713719442,-154.7410806089701,-142.77936775802428,-143.28803681684877,-173.97394434920437,-174.32182459643204,-103.29315712683088,-98.57611954003649,-109.32485843043163,-149.87315534146677,-176.0839282023921,-169.21099732739344,-143.78172624377433,-142.59033959615135,-142.21876976375026,-164.81491500156864
-133.8543756521898,-164.21046215013513,-176.13226398026598,-42.172445845439285,-135.87122260042574,-116.39254567378596,-109.87526625738082,-144.00147261982355,-113.18189460184699,-143.32520750530784,-155.84214214851778,-172.19803976551972,-143.54683061128893,-174.01829649400798,-175.8100786153851,-103.29315712683088,-98.61264875475439,-109.48343457517444,-150.14371206499547,-176.0890151707336,-173.19315990516563,-143.8338843011485,-142.59033959615135,-143.97029217054742,-165.70813504732297
-138.17130785354723,-164.90113866762238,-176.13425367926524,-42.189235780608676,-135.90273883090768,-116.3941675741093,-111.00315942831496,-144.2382546641366,-116.03250012166698,-143.34135439952226,-155.97266077156772,-174.56175076913533,-143.62260591473463,-174.0315436185684,-175.8100786153851,-107.95584973449333,-98.65901521042119,-110.00145120645858,-150.14371206499547,-176.09042732723057,-173.44358258041973,-143.86211078466962,-142.59033959615135,-144.10428075380864,-165.79657258340438
-139.98263598069778,-165.3496054785539,-176.13425554286871,-42.19081798549687,-135.91157541380863,-116.43534560935433,-111.00315942831496,-144.25068251337575,-116.21508634130171,-143.98632106967275,-155.97266077156772,-175.03956503541684,-143.90342693718475,-174.03369561670115,-175.92010945300711,-150.49819161699625,-98.65901521042119,-110.43651873428935,-150.19519468084567,-176.09042732723057,-173.45445250797187,-144.16786738582698,-142.59033959615135,-144.10759899698297,-168.2942748302361
-140.84065577178495,-171.1338105190997,-176.1342923395977,-42.215224075800045,-135.9159170711409,-116.43579658575597,-111.06914968216438,-144.26054276211298,-116.23582952897596,-144.1885583075485,-155.97266077156772,-175.16903785994924,-143.90342693718475,-174.03384280281966,-175.92010945300711,-174.91215830517535,-98.65901521042119,-110.50822446942493,-150.21364423763754,-176.09042732723057,-174.284049012322,-144.20697453374402,-142.59033959615135,-144.11188351801144,-168.69988124177874
