trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-177.58826544908422,-187.8965035060727,-190.1430659675716,-177.042185305404,-185.97964380427402,-196.71581294232573,-180.86084873732526,-193.14706681327434,-187.24404802230882,-177.55811280369576,-193.92093842972668,-188.6744919801847,-178.01767210666918,-178.23675986669318,-195.98736462790467,-176.3629529470778,-163.2164525742489,-177.95313376930707,-162.1650124346277,-173.70553570428638,-190.3795618530864,-188.56553065647776,-188.39885111789226,-189.69343386054268,-177.61019287768852
-198.7413653386482,-187.8965035060727,-190.1430659675716,-182.73531446732278,-196.99182212951,-196.71581294232573,-182.71642815584644,-193.14706681327434,-190.92568882282478,-177.55811280369576,-193.92093842972668,-191.60802610243874,-180.63786546179244,-178.23675986669318,-195.98736462790467,-176.3629529470778,-175.7813913577487,-179.67330562221284,-162.1650124346277,-186.21464317690376,-190.3795618530864,-188.56553065647776,-190.346301385728,-189.69343386054268,-177.61019287768852
-198.7413653386482,-196.50406477604884,-190.99536752579874,-189.6457491167873,-196.99182212951,-198.75008872184875,-187.29407169168184,-193.14706681327434,-192.52093238223355,-181.86039547460112,-193.92093842972668,-194.5298952064223,-183.88000498309944,-179.9557766851037,-195.98736462790467,-176.93622034496536,-180.5019100543092,-179.67330562221284,-164.2659770137811,-186.40258319453267,-191.96022935058897,-193.2688739824648,-195.09842258681212,-190.08893719872813,-177.61019287768852
-198.7413653386482,-196.50406477604884,-192.25990787437257,-189.6457491167873,-196.99182212951,-198.9272418115468,-189.02418963965331,-193.14706681327434,-193.50260536374884,-181.86039547460112,-193.92093842972668,-194.5298952064223,-191.1400125058268,-182.3393458394867,-196.57463943710752,-189.6222186086585,-182.34591287421495,-185.04758933235664,-184.67217454679476,-189.69082374457201,-194.7302914474489,-193.2688739824648,-197.13492729194817,-195.3502279179002,-177.61019287768852
-199.5562313039854,-196.50406477604884,-192.67387176531062,-191.53280621590406,-196.99182212951,-198.9272418115468,-191.5113005502781,-198.69935533661115,-193.63706425592773,-187.27930191713205,-193.92093842972668,-194.5298952064223,-191.1400125058268,-185.28994500112282,-197.92919796503526,-192.75583433622893,-188.87973448393453,-187.54817039606687,-184.67217454679476,-189.69082374457201,-196.08315023934784,-193.2688739824648,-197.13492729194817,-195.3502279179002,-178.37361188985773
-199.5562313039854,-197.4584914805504,-193.51020516683974,-191.53280621590406,-197.77024122661672,-199.62975520363074,-192.81309835939493,-198.76363502974442,-193.63706425592773,-187.27930191713205,-195.44915410351643,-195.33972078262323,-192.8184392644497,-185.28994500112282,-198.34606773462957,-192.75583433622893,-197.74295948558412,-189.7618849163834,-185.5656907199311,-190.22780371404505,-196.75608546150985,-194.53922298821428,-198.27255521976048,-195.3502279179002,-182.77830145138202
-199.85880251430362,-197.9445939608884,-194.49594951065194,-197.90667555040991,-197.77024122661672,-199.62975520363074,-193.3010597759896,-198.76363502974442,-194.0536975140534,-194.32290500140158,-195.44915410351643,-195.45932040740445,-193.45529755222836,-190.03576368849622,-199.10641857279882,-192.98855176966381,-197.74295948558412,-190.82081138118306,-188.4230344994368,-190.59712186647465,-197.7247820151188,-194.6956866391058,-198.27255521976048,-195.3502279179002,-183.0169840262381
-199.85880251430362,-198.01412689308574,-194.49594951065194,-197.90667555040991,-197.77024122661672,-199.62975520363074,-193.6825782251402,-198.85859214337432,-194.0536975140534,-195.54653801097868,-195.65077083920033,-195.51021773074467,-196.76244636579904,-193.46439910816426,-199.10641857279882,-193.85996371250891,-198.23974201111224,-190.82081138118306,-188.450118896196,-190.7137562762765,-197.7247820151188,-194.89812809560073,-198.27255521976048,-196.1123758923373,-184.31312023253602
-199.85880251430362,-198.30648110245406,-194.8016056613778,-197.90667555040991,-197.77024122661672,-199.73060084099717,-194.7598173331541,-198.85859214337432,-194.15940789394904,-195.54653801097868,-195.65077083920033,-195.53619105076353,-197.0679631600036,-193.7981592436745,-199.40638055961975,-195.46799387800624,-198.27109145628663,-195.38597714862848,-189.6417266090076,-190.73208599124146,-197.9678277737287,-195.0135086894476,-198.27701864914488,-196.1123758923373,-186.68893410779324
-199.92703305543836,-198.30648110245406,-194.98919309003958,-198.43251687875448,-197.83591540024855,-199.73060084099717,-194.80044372814794,-199.24518500332084,-194.2711308191994,-195.54653801097868,-195.65077083920033,-195.5660045282752,-197.0679631600036,-195.02468201242812,-199.50506692170535,-196.32862791153886,-198.92480368436242,-195.38597714862848,-189.6417266090076,-190.81079499453557,-198.1240858697866,-195.67369746903762,-198.28760416923345,-196.54001448952891,-187.03011850488866
