trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-194.99458751463467,-189.06401336345166,-193.59004527410556,-195.28672468357286,-196.32681040546836,-192.47435668609938,-195.7318194862805,-194.00010806302336,-194.90286827156308,-197.9820117575718,-195.17609309767613,-181.9634766328902,-189.7669425829769,-189.55068976111775,-191.3706625634109,-181.92646185202753,-191.41040575165343,-188.58979758495988,-198.57485395721906,-192.95315249483198,-194.02855625174038,-191.33891446759247,-187.45746759199938,-194.39991849761637,-197.61510050621496
-194.99458751463467,-195.85733215029882,-197.59614106501874,-197.18361967126094,-196.32681040546836,-196.15000859836212,-197.25821421354402,-196.39823516808983,-195.38690358338886,-199.28369183273614,-197.59842915218505,-196.81455705111787,-195.36552310303884,-196.7797761183666,-198.31683877274625,-194.8731459746411,-198.8072977622806,-196.76228573498554,-198.57485395721906,-196.06320687825237,-195.46139009688733,-194.79841069590117,-193.65529369537003,-194.39991849761637,-197.61510050621496
-199.24681733826392,-198.38927745225004,-198.44268207695205,-197.18361967126094,-199.82323826505143,-198.9054263181137,-197.3238340863787,-199.3677936131004,-196.2315950624489,-199.41932673896875,-198.87595018247728,-198.51533488106656,-198.84655012725955,-197.70686728023935,-198.31683877274625,-198.2036695294543,-199.44399005447434,-196.76228573498554,-199.4194647357978,-199.38363538447496,-199.53897423524873,-199.64340868897946,-197.9523823768681,-197.53173545686553,-197.61510050621496
-199.24681733826392,-199.34601606329224,-199.2612435360275,-198.44987937323805,-199.82323826505143,-199.58259749219275,-199.4310770316561,-199.3677936131004,-199.74405626920475,-199.52771704640008,-199.55615178088857,-199.5858219547999,-198.93850968348215,-199.39226653228147,-199.14359479625423,-198.9756701492106,-199.44399005447434,-197.48594928578805,-199.66420680604824,-199.38363538447496,-199.72236182989687,-199.64340868897946,-199.782216361741,-198.10828828465273,-198.7484030072801
-199.80754097421337,-199.48883666278056,-199.89492004396047,-199.584225378913,-199.83614968833984,-199.94235127305217,-199.63374451629932,-199.50607049495594,-199.74405626920475,-199.8759868798176,-199.87848311357556,-199.8685787157342,-199.61796976705713,-199.5790887956235,-199.80421507025034,-199.06488536028826,-199.73096254602208,-198.06160916864152,-199.94039154314783,-199.68353751120176,-199.84242342622426,-199.81806725425832,-199.782216361741,-198.95518963301666,-199.4939943235738
-199.83822637506208,-199.8992868066417,-199.89492004396047,-199.88714416104756,-199.83614968833984,-199.96534300660826,-199.63374451629932,-199.70006010757092,-199.89701426099785,-199.88736854925338,-199.87848311357556,-199.8685787157342,-199.9468879054869,-199.95316562141454,-199.9527177337412,-199.71247238144386,-199.88539321587947,-199.9056135595545,-199.94039154314783,-199.84283976915881,-199.84242342622426,-199.82517676244544,-199.9794625274177,-199.75025865480106,-199.70963681446307
-199.87756746388084,-199.90834576161583,-199.95835756500622,-199.88714416104756,-199.90727534230334,-199.96534300660826,-199.8554032259292,-199.86926552797587,-199.89701426099785,-199.95179433511922,-199.96556744219828,-199.92302652220556,-199.9635241154245,-199.95316562141454,-199.96913046712842,-199.91375334513563,-199.95933378681755,-199.9056135595545,-199.94489860809074,-199.96231933664166,-199.9671834395529,-199.94866737999934,-199.9794625274177,-199.81960627411993,-199.84792956300942
-199.9508819892808,-199.95310199573655,-199.9812582037757,-199.9824499068239,-199.90727534230334,-199.9913341146315,-199.92177785385078,-199.94299638655062,-199.91876190913123,-199.95179433511922,-199.9865116340178,-199.94028035493193,-199.9635241154245,-199.95627328192535,-199.97035189510456,-199.91375334513563,-199.9794345815538,-199.9793152970826,-199.9866879077301,-199.9752372896965,-199.98071912825546,-199.9748080694841,-199.9794625274177,-199.95331028572306,-199.9020665939258
-199.9508819892808,-199.97415385055203,-199.98723345414746,-199.9824499068239,-199.93990933352578,-199.9913341146315,-199.98183096612087,-199.98679185000236,-199.954392152839,-199.98627718225913,-199.98851644857464,-199.96700915416676,-199.98211223344677,-199.98754929605622,-199.97627473635774,-199.96841319306677,-199.9892320009169,-199.9793152970826,-199.9866879077301,-199.99475654495401,-199.98904092978583,-199.98643755974882,-199.9794625274177,-199.9577426771732,-199.97865889893563
-199.99435153145612,-199.98561695348354,-199.99371735038713,-199.99356361925953,-199.97454951142052,-199.99638933262332,-199.98183096612087,-199.99119281642444,-199.99906218943414,-199.99127935862347,-199.99281654790613,-199.98186265485134,-199.9923950571289,-199.9918430040201,-199.99817320413086,-199.98859994178676,-199.9980730361798,-199.98745715165157,-199.9956381093037,-199.99525367184322,-199.99422788723487,-199.9966978401236,-199.98678257967538,-199.98202110702448,-199.9889860761294
-199.99562417044015,-199.99729432306782,-199.99504012100445,-199.99356361925953,-199.98422029036212,-199.9985607164767,-199.99440573892363,-199.9976216836003,-199.99906218943414,-199.99426235958083,-199.99724374808062,-199.99799000207256,-199.99393070488443,-199.99729373548553,-199.99817320413086,-199.9953635747437,-199.9980730361798,-199.99871911241323,-199.99728930556563,-199.99941687714312,-199.99619648211538,-199.99718402049993,-199.9935839947794,-199.98824424701078,-199.99868025365285
-199.99702709459052,-199.99959296145272,-199.9984930019835,-199.9980263530188,-199.99182782249568,-199.99858813447304,-199.99811909748792,-199.9976216836003,-199.99919869612413,-199.99665120787563,-199.9993485994434,-199.99901747844967,-199.99637894523488,-199.9991280469969,-199.99817320413086,-199.99756334917817,-199.99855018655748,-199.99916581629512,-199.9993075391476,-199.99941687714312,-199.99850383879664,-199.9992408100116,-199.99734024404722,-199.99510249022595,-199.99868025365285
-199.99883135310753,-199.99973218073643,-199.9996948803968,-199.9991584132154,-199.99746541689154,-199.99986447935655,-199.9988758598205,-199.99921553846772,-199.9993484424285,-199.99900980556072,-199.99961950000687,-199.99979488793812,-199.99950341961724,-199.9998021234781,-199.99896633374624,-199.99896299537693,-199.99928827532435,-199.99957306546492,-199.9993075391476,-199.99941687714312,-199.9995470444051,-199.9992408100116,-199.9983305455619,-199.99695066257698,-199.99915655175266
-199.9994942519824,-199.9998901117019,-199.9996948803968,-199.99983951527295,-199.99903403484694,-199.99992385418378,-199.9995657114112,-199.99967548503585,-199.99976422445528,-199.99966419545157,-199.9998223817722,-199.99979488793812,-199.99965692234224,-199.9998021234781,-199.99982333207853,-199.9996270117576,-199.99966918502489,-199.99982625172487,-199.99980967504976,-199.99962847603433,-199.999967459825,-199.99970910951455,-199.9997775091243,-199.99817606024268,-199.99928356722955
-199.999960739576,-199.99997293755192,-199.99995276793499,-199.9999321866639,-199.99936494954997,-199.9999901617992,-199.9998369826376,-199.99990156051842,-199.99992517109854,-199.9997843024667,-199.99987475526123,-199.99983964856938,-199.99971708607646,-199.9998021234781,-199.9999200042265,-199.99968399255533,-199.9998961949497,-199.99991057059543,-199.999920748201,-199.99976838777735,-199.999967459825,-199.99985771138975,-199.9998071202945,-199.9997378369169,-199.99934530043495
-199.999960739576,-199.99997293755192,-199.9999563966991,-199.9999509542429,-199.99997475460654,-199.99999257542098,-199.99994197722134,-199.99990444439135,-199.99997049739036,-199.99992314831346,-199.99996598780032,-199.99994053197554,-199.99991606581227,-199.9998778944658,-199.9999276978672,-199.99985033819695,-199.9999569966709,-199.99995895228935,-199.99996302357192,-199.9998585532468,-199.99997624104,-199.99987219297395,-199.9999572622101,-199.99978272158748,-199.99980387301798
-199.99999519839676,-199.99997866378618,-199.99996603078574,-199.99997713399188,-199.99997475460654,-199.99999833203225,-199.99994197722134,-199.9999526861838,-199.9999875725144,-199.9999719937667,-199.99999354400552,-199.99994053197554,-199.99993412963718,-199.9999712598766,-199.99998887982179,-199.9999682772772,-199.99996543329044,-199.9999948934044,-199.99998378869117,-199.99996084810203,-199.9999944980807,-199.99997746036453,-199.99996823051086,-199.99988871466522,-199.99981452680765
-199.99999519839676,-199.99999126780367,-199.99998238382827,-199.9999934903125,-199.9999852745993,-199.99999833203225,-199.99998327334708,-199.9999798177174,-199.99999545018198,-199.99997971314053,-199.99999354400552,-199.9999625190146,-199.99997598598614,-199.9999977005028,-199.99998887982179,-199.99998309603185,-199.99999457574282,-199.99999555074942,-199.99999203061336,-199.9999840170988,-199.99999602290325,-199.99998550916737,-199.9999837794032,-199.99995593640506,-199.99990698195828
