trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-165.97451239969317,-184.9151484672348,-187.00737222079417,-182.33134652444315,-167.8763236299118,-188.99629877630005,-185.9020797324726,-196.6941171822409,-180.63414425322262,-159.8553187842284,-176.1160966809772,-184.08508134379107,-194.50433008838394,-189.55652206025576,-190.9412933722605,-191.16943993263624,-191.08698441373275,-173.62900056858916,-184.7012093990908,-186.67913725686586,-187.97015895943565,-198.46212565074632,-180.70901270297816,-183.33235832560354,-194.15877663800256
-187.7737235749654,-184.9151484672348,-187.00737222079417,-195.8913701217186,-182.1933726213429,-190.07319426050697,-186.08993560988606,-196.6941171822409,-183.12128719765906,-171.16697420273024,-182.57339652913572,-186.24378689014296,-194.50433008838394,-189.55652206025576,-190.9412933722605,-193.29095985146776,-191.08698441373275,-174.0643812781323,-187.23467573565918,-187.58516606768703,-187.97015895943565,-198.46212565074632,-180.70901270297816,-183.33235832560354,-194.15877663800256
-187.7737235749654,-195.53588623851914,-187.00737222079417,-195.8913701217186,-184.71975477915464,-190.07319426050697,-190.0731917450447,-196.6941171822409,-192.88311618829678,-194.30012692685818,-194.3907737351065,-186.24378689014296,-194.50433008838394,-191.66900366127248,-190.9412933722605,-193.29095985146776,-192.18070103439055,-174.0643812781323,-190.47504445442044,-187.58516606768703,-187.97015895943565,-198.46212565074632,-180.70901270297816,-183.33235832560354,-194.15877663800256
-193.3230671123107,-197.25156255887643,-196.65990310502872,-195.8913701217186,-191.42810723637788,-190.07319426050697,-190.0731917450447,-196.6941171822409,-192.88311618829678,-194.30012692685818,-194.3907737351065,-193.20979542324113,-194.50433008838394,-196.3801196307549,-190.9412933722605,-197.13340298428992,-195.3150884887489,-174.9147860376662,-190.47504445442044,-187.58516606768703,-197.36646472192106,-198.46212565074632,-180.70901270297816,-189.42395775330542,-198.11431819727414
-193.3230671123107,-197.25156255887643,-196.65990310502872,-195.8913701217186,-193.94835374826266,-194.55665225120322,-190.54113532152797,-196.6941171822409,-192.88311618829678,-194.30012692685818,-197.3054024969132,-193.20979542324113,-199.286816924254,-196.3801196307549,-195.159760765772,-197.13340298428992,-195.3150884887489,-197.3521791855421,-191.6792999857565,-192.05625062377024,-197.36646472192106,-198.46212565074632,-194.95996475450502,-193.94405942986518,-198.11431819727414
-193.3230671123107,-197.25156255887643,-198.69610188504026,-195.8913701217186,-196.4281954370453,-198.28496223949318,-190.54113532152797,-196.6941171822409,-197.96651949980696,-194.30012692685818,-197.3054024969132,-193.20979542324113,-199.286816924254,-196.3801196307549,-195.159760765772,-197.62186490692167,-195.3150884887489,-197.3521791855421,-196.06469264977616,-192.21947342963108,-197.84975918107233,-198.46212565074632,-194.95996475450502,-193.94405942986518,-198.11431819727414
-193.3230671123107,-199.24958718537084,-198.69610188504026,-197.36936594689627,-196.4281954370453,-198.28496223949318,-197.10982979921934,-198.34085190301082,-197.96651949980696,-194.30012692685818,-197.3054024969132,-194.87747371614196,-199.286816924254,-196.3801196307549,-195.159760765772,-197.62186490692167,-196.4265212843499,-197.3521791855421,-196.06469264977616,-198.02222875842193,-198.47810563930085,-198.46212565074632,-194.95996475450502,-195.72007053027144,-198.11431819727414
-194.07455729127844,-199.24958718537084,-198.69610188504026,-197.36936594689627,-196.4281954370453,-198.28496223949318,-197.10982979921934,-198.34085190301082,-197.96651949980696,-194.30012692685818,-198.2618803499668,-194.87747371614196,-199.286816924254,-196.3801196307549,-195.159760765772,-197.92775307848603,-196.4265212843499,-197.3521791855421,-196.06469264977616,-198.02222875842193,-198.47810563930085,-198.46212565074632,-194.95996475450502,-196.49838644353622,-198.11431819727414
-198.56047755528908,-199.24958718537084,-198.69610188504026,-197.36936594689627,-196.4281954370453,-198.28496223949318,-197.10982979921934,-198.96317875073308,-197.96651949980696,-194.30012692685818,-199.1339153604629,-195.19919443245334,-199.286816924254,-197.18483014108958,-195.159760765772,-197.92775307848603,-199.14706606520718,-197.3521791855421,-198.69967113137469,-198.54369402531282,-198.47810563930085,-198.46212565074632,-195.50783049614768,-199.7342469558325,-198.11431819727414
-198.56047755528908,-199.24958718537084,-198.97052491190925,-197.36936594689627,-197.61603972357574,-199.38583083967177,-198.08110786618266,-199.67046793191284,-197.96651949980696,-199.03746326377956,-199.1339153604629,-196.2543132054284,-199.286816924254,-197.18483014108958,-196.5040311217247,-198.25578003509463,-199.14706606520718,-197.88091478216168,-198.69967113137469,-198.54369402531282,-198.7418163683747,-198.46212565074632,-195.50783049614768,-199.7342469558325,-198.11431819727414
-198.56047755528908,-199.73044313547788,-198.97052491190925,-199.04437017254403,-198.26182452118834,-199.38583083967177,-199.22194048117458,-199.67046793191284,-197.96651949980696,-199.03746326377956,-199.1339153604629,-197.095759758108,-199.286816924254,-197.18483014108958,-197.71997926727965,-198.25578003509463,-199.14706606520718,-198.1612008634579,-199.6379590408343,-199.4548338008893,-198.7418163683747,-198.91953624376802,-198.13481086804688,-199.7342469558325,-198.44308820899712
