trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-184.99785513076438,-189.09137443845353,-170.04483209609583,-181.91951188211647,-185.8059335452205,-184.41219844902724,-195.22061256021118,-188.46923312132228,-189.2268781637787,-194.07701955858684,-185.49477205254942,-192.7856683734045,-191.26747216139563,-197.2972964754177,-178.19580663905583,-184.12753876467963,-188.24471059924608,-184.912476466101,-192.00007746496723,-176.5476708988858,-180.31753107525668,-186.6601131318022,-185.90273220041348,-188.67449320637988,-186.34092016176945
-190.27877309211877,-191.5473051685793,-177.1725823372406,-181.91951188211647,-191.73505047289373,-186.52054329211953,-195.22061256021118,-188.46923312132228,-189.2268781637787,-194.07701955858684,-186.2384972929408,-194.26976188736768,-191.26747216139563,-197.2972964754177,-178.19580663905583,-189.89495914494987,-188.24471059924608,-190.57241257148678,-192.78929842214777,-186.86389887780706,-182.6356075334876,-188.4372364000071,-196.60198874301182,-188.67449320637988,-187.39751123827264
-190.27877309211877,-191.5473051685793,-191.47824744143168,-189.46211840056273,-191.73505047289373,-191.12509423093243,-195.22061256021118,-189.83039955747554,-189.2268781637787,-198.15214322271228,-186.86784801811248,-194.26976188736768,-191.26747216139563,-197.2972964754177,-180.1298003041173,-196.09546997430627,-188.24471059924608,-190.57241257148678,-192.78929842214777,-186.86389887780706,-192.71373984171478,-195.49300443572824,-196.60198874301182,-188.67449320637988,-190.0415443498629
-195.05217062281497,-197.5706018501145,-191.47824744143168,-197.50965159990795,-194.14223462703322,-191.12509423093243,-195.6004397653119,-189.97936717526503,-191.01346092511682,-198.15214322271228,-192.05900976155658,-194.26976188736768,-191.94239221516497,-197.2972964754177,-195.69771012444258,-196.09546997430627,-188.24471059924608,-190.57241257148678,-192.78929842214777,-190.8539335574167,-192.71373984171478,-195.49300443572824,-196.60198874301182,-193.4346188272875,-190.0415443498629
-195.05217062281497,-197.5706018501145,-191.47824744143168,-197.50965159990795,-196.0781271151978,-198.61615531911985,-195.6004397653119,-193.05273116940305,-191.01346092511682,-198.15214322271228,-195.80080127358434,-196.75232003734715,-193.8023179207797,-198.30176982393587,-195.69771012444258,-196.09546997430627,-191.04368916523617,-193.62486828396047,-192.78929842214777,-190.8539335574167,-194.01524212917323,-195.49300443572824,-196.60198874301182,-195.21900245013023,-193.9635475742245
-196.4328135265348,-197.5706018501145,-198.0588123620493,-197.50965159990795,-196.0781271151978,-198.96602624860276,-197.5490254838702,-195.24929753767262,-191.13239484055484,-198.15214322271228,-195.80080127358434,-197.25178493404925,-197.24726639617612,-198.49700115982287,-195.69771012444258,-197.6325777323344,-195.86869625172278,-195.1111749620218,-194.48121791464686,-197.65750089904634,-194.88051013977235,-195.49300443572824,-196.60444573549546,-197.91129427677828,-196.84492811526
-196.55904861810603,-197.89202604445074,-198.0588123620493,-199.6375704889272,-196.0781271151978,-198.96602624860276,-197.5490254838702,-198.109939630146,-197.89288173394158,-198.15214322271228,-195.80080127358434,-197.25178493404925,-197.96857038427677,-198.49700115982287,-195.69771012444258,-197.6325777323344,-199.06444121335744,-195.36613913430057,-196.54785755312335,-197.65750089904634,-195.13939915489442,-198.5909942656918,-196.60444573549546,-197.91129427677828,-199.11326565976762
-198.5924129948985,-197.89202604445074,-198.0588123620493,-199.6375704889272,-196.0781271151978,-198.96602624860276,-197.5490254838702,-198.109939630146,-197.89288173394158,-198.15214322271228,-195.80080127358434,-197.25178493404925,-197.96857038427677,-198.57498891079715,-197.35232014142312,-197.6325777323344,-199.06444121335744,-197.8137043415498,-196.54785755312335,-198.70801639041775,-197.9566378444546,-198.5909942656918,-198.49543709960201,-197.91129427677828,-199.11326565976762
-199.67041421540435,-197.89202604445074,-198.78065545298364,-199.6375704889272,-198.26594134904371,-198.96602624860276,-197.5490254838702,-199.26636752825758,-197.89288173394158,-198.44234742493953,-196.5418721791009,-197.36836404441306,-197.96857038427677,-198.57498891079715,-198.0560894169178,-197.6325777323344,-199.06444121335744,-199.08076327809158,-196.54785755312335,-198.70801639041775,-197.9566378444546,-198.5909942656918,-198.49543709960201,-198.97486198419716,-199.3406258057308
-199.67041421540435,-197.89202604445074,-198.78065545298364,-199.6375704889272,-198.6058912779314,-198.96602624860276,-197.5490254838702,-199.26636752825758,-197.89288173394158,-199.4876296907666,-197.45455256001975,-199.3183065800403,-199.26597327413214,-198.57498891079715,-199.31987416713062,-198.590271452874,-199.06444121335744,-199.08076327809158,-198.5224464773331,-198.74215412755007,-197.9566378444546,-198.5909942656918,-198.49543709960201,-199.1787155124274,-199.3406258057308
