trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-197.99188850362552,-196.59598790124357,-169.18172197601834,-186.28630387660462,-189.33876007307566,-166.49639711537978,-167.48154671040552,-194.28694361412894,-186.67378491905987,-187.52496894659794,-187.17006444381198,-194.7689409182523,-191.20274407505784,-196.48201910750234,-183.7121417886634,-188.40568913621652,-172.36791595754815,-178.765145660182,-180.75015017973968,-186.88752946069624,-186.3958551731112,-192.3660036708245,-184.8765758172698,-188.12754813788698,-168.09381489260699
-199.9229634050964,-196.63654586332996,-178.59410145043603,-189.34048540699936,-199.42776602188155,-168.26778614492724,-168.88297530870244,-195.27961211511897,-188.11072517166878,-188.22229988751042,-188.27590180002747,-196.54846084107305,-192.74915097256314,-196.89460611168613,-187.31868751761448,-195.69336051645737,-178.46709599620226,-185.1563938691814,-182.8697830667735,-188.2524878713616,-197.4056483440996,-196.054483631274,-185.31433521942674,-193.648868184397,-172.44749651561946
-199.9229634050964,-198.02180443152434,-178.8798956940228,-192.24644682400609,-199.57976814034117,-186.65535172354834,-176.16324723948586,-197.97844289845628,-191.62412212056088,-189.15268722681105,-188.5134376075876,-198.6010347583124,-194.121042970281,-198.51099067190023,-195.47091174544047,-198.0771347991266,-190.06369145141048,-187.23206255439908,-189.97753256900398,-189.08022265176766,-198.62273042428646,-198.4065317632947,-187.42871709890352,-194.31095024715532,-175.5729919033648
-199.9229634050964,-198.36162002000958,-191.37534977994457,-195.6810328437575,-199.7172338288946,-187.70999083615322,-188.1673864563189,-199.707608413172,-192.70264716410506,-193.00406674447066,-199.4614818894562,-199.05866603046653,-197.48383613620675,-199.0389142029952,-196.13701688660257,-199.58568044421386,-192.74158960203792,-189.091373945788,-191.11844297186485,-192.42977106423305,-199.2034680046395,-199.79750815084265,-189.72752392016366,-199.15308665076284,-179.34490022118635
-199.9229634050964,-198.6856189144879,-193.04270006344632,-197.35606053514937,-199.7966534750779,-189.64130052158825,-188.2645854154759,-199.71153486278482,-194.19499621199472,-195.3435668681555,-199.5969696055635,-199.71620843035666,-197.55237980935408,-199.2751233995519,-197.04237406099222,-199.9751144274257,-198.30088694146147,-191.48704777626207,-191.9592163050633,-192.9076105407041,-199.4329293583983,-199.8491516813949,-190.47780206616142,-199.71702039620263,-181.31156282214027
-199.9504601972682,-199.66882935649664,-193.98397128006863,-198.6338011772441,-199.7966534750779,-195.0666090105515,-190.3074308561679,-199.8508700362782,-198.2831516554675,-195.88012735813777,-199.8160171301308,-199.8255158834278,-198.55969424019224,-199.62115249588396,-198.892348256583,-199.97958789120895,-198.78630605850563,-192.164506705053,-192.75872940043527,-199.34826388428434,-199.58854246260697,-199.93219951547908,-195.44372159595238,-199.84655820114742,-186.45058212286912
-199.95147563530847,-199.92426958825558,-196.32064152536927,-199.24427434342223,-199.86381893692285,-195.6884135484949,-190.47183969169376,-199.9586838133816,-198.79077443583014,-197.32733545668412,-199.89030140691128,-199.8255158834278,-199.17961401153858,-199.7128880814014,-199.22195319279263,-199.97958789120895,-199.52171691646308,-195.4253350996761,-195.32100356075568,-199.88617823852383,-199.7234567728915,-199.9522654568348,-195.82484501115493,-199.91635255898507,-192.26918814654394
-199.962451372538,-199.9781131017573,-196.97503811092477,-199.51883600263184,-199.96234139068483,-196.75411520764413,-194.8275309707031,-199.9586838133816,-199.92128412065165,-199.212807669325,-199.97059778646536,-199.86689786549553,-199.95141482135836,-199.72570172683518,-199.96537073654466,-199.980637834415,-199.9248109056192,-196.73162531978835,-198.04922178330241,-199.88617823852383,-199.80544048428038,-199.9522654568348,-199.69992926828132,-199.92339456018772,-192.7644807421237
-199.962451372538,-199.98821453124543,-197.1991303559744,-199.74507770991397,-199.96234139068483,-198.72279991598558,-195.85739935336454,-199.9586838133816,-199.92128412065165,-199.40213744218298,-199.97059778646536,-199.92181022819997,-199.95425096188632,-199.85920522332648,-199.9665297436445,-199.980637834415,-199.9248109056192,-197.7951274552303,-198.80131671182022,-199.90539302188964,-199.9019587428992,-199.96210108316853,-199.7841189308384,-199.97774272823304,-194.99345196624608
-199.97457170115666,-199.98821453124543,-198.45402001788693,-199.8898117698188,-199.9683956819647,-199.8494672468358,-196.72139538421777,-199.9586838133816,-199.92128412065165,-199.41699742457135,-199.98981831134736,-199.9622330658024,-199.9563841992028,-199.9303940645307,-199.9950627828538,-199.980637834415,-199.9248109056192,-198.57171890402864,-199.7769185577161,-199.91652498998292,-199.9019587428992,-199.96210108316853,-199.99035216837976,-199.98788396357546,-196.8504413841609
