trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25
-142.8421790928524,-108.1660001636991,-138.51394528616498,-92.10741517828207,-125.80044876080187,-86.01732101005217,-176.0143187339251,-96.36542156656422,-171.0093298353903,-68.65118269989632,-173.08842117629976,-154.98985243158492,-142.62177607758176,-135.09613173994143,-99.27881762204701,-102.37143795079886,-105.64605271640417,-165.29046074975665,-143.72040200034687,-100.34660721830652,-171.79579918070485,-170.33011327602685,-150.65155888273344,-141.12852865305223,-113.95567908862692
-173.16412546503858,-115.25043662974836,-176.48332934615135,-102.97176019567621,-166.3355571284464,-142.0307970312905,-176.08894602379348,-161.6619189194875,-172.73399330381818,-107.54310544490738,-176.52293094268066,-156.37974622247017,-145.37527077281493,-144.84149367251806,-153.45843774408516,-134.59482093136094,-118.70784901102839,-169.53780651098364,-144.33054129685326,-113.69467682555647,-173.5175512599096,-175.84097086158837,-152.2941050042686,-145.1936147221019,-134.35933706043664
-174.98546447123869,-171.05975908425205,-176.53178848688802,-108.47481496153688,-175.3376439994348,-144.0272891576122,-176.29173916865295,-175.91448522629722,-176.24633178243275,-162.5125164262188,-176.52505980311696,-175.4920131790624,-145.42705377871224,-145.12752180850248,-155.28605604661797,-143.4700722462283,-145.1267415752812,-174.71673092040777,-145.29020840591028,-115.2602452749602,-175.3090104441903,-176.21210401072173,-176.33912529446354,-145.26487119768854,-141.97732004929048
-175.60878795685176,-176.0322670071972,-176.54094033241,-114.86602855096025,-176.21556936969642,-144.98197826005605,-176.38050387763894,-175.9525039891573,-176.5298505845854,-174.97741791827997,-176.52885266011302,-175.4920131790624,-145.47485819266677,-145.3162959061101,-172.07359191122939,-143.65460138870827,-171.86283412843963,-175.23231346875116,-145.3753046405175,-176.49685241070813,-176.4905609002406,-176.26077797759206,-176.36823865938405,-145.4456233214273,-145.1671479844487
-175.88078925210465,-176.24054165212576,-176.54100148755373,-114.86707653764616,-176.4146939449428,-145.20461799817977,-176.38050387763894,-176.51309376557674,-176.5307317457584,-175.93566595907714,-176.52885266011302,-176.54119620823852,-145.47485819266677,-145.39164851771255,-172.33684391576372,-145.06173166451913,-175.86180773158034,-175.9591706245908,-145.4376794953859,-176.52006061963542,-176.49829816553202,-176.26077797759206,-176.37912083203489,-145.45372561145112,-145.34524041165216
-176.34678989494364,-176.45566133437043,-176.5410042783192,-115.92000431387522,-176.4146939449428,-145.27634129252317,-176.52158894660454,-176.51309376557674,-176.53856722665014,-175.93833739436693,-176.53626436134908,-176.5416568274076,-145.4761913634824,-145.39164851771255,-173.52448920116888,-145.38010688172903,-175.944607700384,-175.9663738567267,-145.4421278363985,-176.52006061963542,-176.52873573826398,-176.4057274551395,-176.39136433918884,-145.45372561145112,-145.45659167472408
-176.47962208206064,-176.45566133437043,-176.5417483278899,-171.1606451262781,-176.46537548278235,-145.2900673449902,-176.52187882672317,-176.5199405538691,-176.54051931837847,-176.0365069242046,-176.53772961766694,-176.5416634430017,-145.4761913634824,-145.3931344002863,-175.13496867165648,-145.38227731351944,-176.0594927510113,-175.98795386932537,-145.44322551449886,-176.53829071520704,-176.52873573826398,-176.41769080892266,-176.41463578032796,-145.45395976691253,-145.47500698213037
-176.47962208206064,-176.5155798458674,-176.5417483278899,-175.8743282352528,-176.46537548278235,-145.35012284129206,-176.53074414126712,-176.54064806303109,-176.54051931837847,-176.38534321856605,-176.53814454414436,-176.5417569047944,-145.4773019950866,-145.4773766207436,-176.3351120096184,-145.4453838045166,-176.52323303390563,-176.53574478657302,-145.44873907273998,-176.53829071520704,-176.53176080776745,-176.4256580870466,-176.52219878717602,-145.46883558122002,-145.47500698213037
-176.47962208206064,-176.52508387824426,-176.5417483278899,-176.51664019460765,-176.46897498200454,-145.47558946275578,-176.53099531489943,-176.54064806303109,-176.5408794239057,-176.38797035412975,-176.54075678759546,-176.5417569047944,-145.4773019950866,-145.47757853489853,-176.5294229430011,-145.4743908395441,-176.53576013630035,-176.54123672137237,-145.47758414198336,-176.53843768378664,-176.53176080776745,-176.51920969901624,-176.52861830319304,-145.4776705312773,-145.47597672918172
-176.47962208206064,-176.53039523863256,-176.5417483278899,-176.53400428424467,-176.48518229904155,-145.47558946275578,-176.53961091343132,-176.54064806303109,-176.5410433844338,-176.42786688716865,-176.54075678759546,-176.5417569047944,-145.4773019950866,-145.47757853489853,-176.53408304559414,-145.476890187801,-176.5391787062593,-176.54123672137237,-145.47758414198336,-176.54149906958597,-176.54109963732137,-176.5211815747713,-176.52900306822002,-145.4776705312773,-145.47597672918172
