Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[17.0, 9.0, 54.91427822012309, 64.52718773004044]","[0.2360754575213931, 2.9894619844545063, 8.293650079933801, 0.24533276249117245]","[0.7891110714865452, 0.4070409496654426]","[69.99999999999999, 90.0, 1.0, 915.3427413672944, 2.0]","[7.10297446342521, 0.22904772863650483]","[92.28780790628967, 31.507774755761695, 92.30782860132973, 1.5912447980470967]"
"[18.0, 9.0, 57.9845525951884, 45.52286323383183]","[0.2603557446000282, 2.9571045192392935, 7.8569385231113, 0.2747968051464319]","[0.7899427298873047, 0.40471149136187284]","[69.99999999999854, 90.0, 1.0, 830.2982127291237, 2.0]","[7.102974770269459, 0.22904731659157143]","[79.23785590474067, 32.564961457603275, 79.25609431699003, 1.3914366214802436]"
"[16.0, 8.0, 51.32531062099488, 88.36288542536306]","[0.343021923476617, 2.401211015200875, 6.42846363328987, 0.4078572169676185]","[0.7868986143450293, 0.41331201520211563]","[69.99999999999987, 90.0, 1.0000000000000147, 1000.99, 2.0]","[7.102974777098549, 0.2290473005458353]","[77.81412955884468, 32.77023521952415, 79.35479618511931, 1.3924091010305677]"
"[19.0, 9.0, 58.67200008787139, 43.636765651689906]","[0.311700817717664, 2.4696624644790077, 7.192608382965715, 0.32583151157557183]","[0.7900382405736339, 0.4044554266063076]","[69.99999999999953, 90.00000000000037, 1.0, 717.2457675157964, 2.0]","[7.289825587485773, 0.2232539277776723]","[78.4896136690795, 32.59835829378821, 78.83114753574293, 1.38279572905529]"
"[16.0, 8.0, 51.59813040435308, 87.26954917794005]","[0.21311544416835648, 3.384234038207348, 8.688403023418322, 0.22264365706007525]","[0.7889275705725385, 0.40756809196099963]","[69.99999999999943, 90.0, 1.0, 1000.99, 2.0]","[7.102977174281853, 0.22904723877377126]","[80.36457211397342, 32.42215188572173, 82.43801663166884, 1.4396883568768934]"
"[15.0, 8.0, 48.241917661245, 112.95443987475193]","[0.2953317343287976, 2.602203833067193, 7.200487675332097, 0.32497525178091097]","[0.7883953288617636, 0.4090732905255528]","[70.00000000000004, 90.00000000000013, 1.0, 908.5409885705376, 2.0]","[7.102974830653255, 0.22904729926052464]","[83.55393908177432, 32.1453845416396, 83.22046271923018, 1.4580558266489045]"
"[14.0, 7.0, 45.15331038428027, 144.50975491140332]","[0.31302506443096395, 2.5816326981152646, 7.0156449519564426, 0.34324457648897005]","[0.7887496052737509, 0.40804079938789456]","[69.99999999999945, 90.0, 1.0, 1000.99, 2.0]","[7.102974834238864, 0.22904730922682284]","[86.75510049854088, 31.850240329488418, 87.81286540656032, 1.5198992053084974]"
"[16.0, 8.0, 51.70271498948353, 85.46896191047475]","[0.2586834726692968, 2.7714941113985336, 8.005391582421261, 0.26695010747260667]","[0.787717046431776, 0.4110747243426184]","[69.99999999999983, 90.0, 1.0, 940.7370718838815, 2.0]","[7.102973252275073, 0.2290474497360691]","[75.79243621043827, 32.80040905730305, 76.387730816981, 1.3425618227379466]"
"[18.0, 9.0, 57.977262609870856, 45.58801534667334]","[0.31610038894792736, 2.507632151250398, 7.271404567193129, 0.31917466247955545]","[0.7838118612244879, 0.4221949084799052]","[70.0, 90.0, 1.0, 899.5163971209713, 2.0000000000000036]","[7.102974749758093, 0.2290473020213511]","[82.45786947483826, 32.25621512746511, 82.39071406589356, 1.4379998510826233]"
"[17.0, 9.0, 54.768906830494274, 64.70553789671737]","[0.25450806953222066, 2.971440747999962, 7.704306098600304, 0.2953344860908857]","[0.7915965430091855, 0.4000826003181302]","[70.0000000000002, 90.00000000000021, 1.0, 255.70960132509862, 2.0]","[7.102979562864842, 0.22904763364132757]","[85.26503691153886, 32.0616733248449, 85.76243656713254, 1.4932370815275595]"
"[17.0, 9.0, 54.98825722814077, 63.572727743095435]","[0.2080264601599893, 3.2790551225397935, 8.804586692074123, 0.21727654561700827]","[0.787670999756933, 0.41115936318054175]","[69.9999999999999, 90.0, 1.0, 630.8635134581233, 2.0]","[7.102974866511909, 0.22904730128450987]","[89.3981895336356, 31.547692828458842, 91.66783442099822, 1.5840001602927167]"
"[20.0, 10.0, 64.71809556118241, 12.229441659669304]","[0.2640484059496915, 2.744291891026957, 7.8283246272123925, 0.27451482702055047]","[0.7924632426133257, 0.39767969794661995]","[69.99999999999912, 90.00000000000063, 1.0, 456.8025819224053, 2.0000000000000053]","[7.102974810731327, 0.22904730081463873]","[65.86076158407496, 33.09796273324567, 74.08711073899933, 1.309510299674363]"
"[20.0, 10.0, 64.3845636254839, 13.706086259243149]","[0.25909538581339714, 2.8813883249696297, 7.816413234438469, 0.2760574527125178]","[0.7888736707274925, 0.4077093065984083]","[69.99999999999966, 90.0, 1.0, 898.6871934913154, 2.0]","[7.102974769356044, 0.22904730314221133]","[76.03018154455533, 32.877332651625515, 75.96941582805317, 1.338998059225314]"
