Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[15.0, 8.0, 48.455902179287285, 111.3171399338347]","[0.3402264729652583, 2.22925608548376, 7.122673206254075, 0.3413356085578777]","[0.7807005035633763, 0.43145162089706385]","[69.85832734379257, 90.0, 1.0, 825.1175508634034, 2.0]","[7.108977086821306, 0.22886625756023465]","[52.275951654313644, 34.05421299103141, 57.33780639730048, 1.050317336739476]"
"[18.0, 9.0, 57.45902302663978, 48.77584464941872]","[0.125, 5.836572110772393, 8.729655437346427, 0.22074020109227369]","[0.735582915620213, 0.5842139317420291]","[69.98957661846416, 90.0, 1.0, 768.9370098438038, 2.0]","[7.070067883719729, 0.23228887526990075]","[46.38408670317639, 34.09428861043966, 57.173488242002186, 1.0504170932313381]"
"[14.0, 8.0, 44.7281305712285, 146.6004981218698]","[0.3073190914023875, 2.530330471772008, 6.99795582419835, 0.34318790546757316]","[0.7900339754744538, 0.4045454396088293]","[69.96276404791091, 90.0, 1.0, 999.4592811987978, 2.0]","[7.102634384662282, 0.22909259217895972]","[56.951216038222405, 34.31962612108239, 56.92755554163877, 1.0501590781638468]"
"[14.0, 7.0, 43.51750212905724, 159.8190062451221]","[0.17653744089569373, 4.5907321835875905, 7.00822795234277, 0.3420532213765025]","[0.7616211858975455, 0.49088611087260564]","[69.98057059031703, 90.0, 1.0, 27.156928645928552, 2.0]","[7.100179073998153, 0.22931728352563988]","[49.36808350116558, 33.890080483569996, 56.33028937083928, 1.0515564299454]"
"[22.0, 8.0, 48.66494018845596, 109.47143860246835]","[0.125, 5.58277559525833, 9.198378944044226, 0.19906947716504453]","[0.7640690522500284, 0.48278387044456766]","[69.96254095525023, 90.0, 1.0, 15.719922048709968, 2.0]","[7.0482026482122055, 0.23443185622338958]","[49.641667052457564, 34.04266593908321, 57.35458373832848, 1.0507921037179435]"
"[19.0, 9.0, 57.59858271580034, 47.588378589987514]","[0.3391351287438184, 2.7597202943436536, 5.37858599286303, 0.5817309009513494]","[0.7853170110610602, 0.4178634216110254]","[69.94093528661293, 90.0, 1.0, 792.787827669155, 2.0]","[7.063683560283131, 0.23296807048879895]","[47.08457167004669, 33.977026097392475, 56.739175782627186, 1.0502947562743004]"
"[13.0, 7.0, 42.002920913134474, 177.83554547278592]","[0.170943204720873, 5.741454685887136, 5.2809205323398505, 0.6025591147318355]","[0.785908051454296, 0.41615443723702283]","[69.97293504438963, 90.0, 1.0, 520.9746571013206, 2.0]","[6.985221322061011, 0.2407989482234469]","[39.33213855576436, 33.746160472908116, 55.681132192742965, 1.0523681190270568]"
"[18.0, 9.0, 57.50217855529987, 48.31628569585722]","[0.125, 5.599144488145161, 9.169083454997393, 0.19989641332367136]","[0.7644316785168145, 0.4821013788128348]","[69.91617746603008, 90.0, 1.0, 1.177986152503435, 2.0]","[7.099712453614162, 0.22941285205121484]","[47.79201136330601, 34.324730202805284, 56.18482130159037, 1.050414422977721]"
"[16.0, 8.0, 49.7786292337894, 100.46409786833442]","[0.13058570402075365, 5.522576192344386, 8.990181616435061, 0.20789651109833496]","[0.7678835093230486, 0.47050381514329576]","[69.99805570908856, 90.00018934053837, 1.0000003542729659, 164.06522934790704, 2.0000407702035647]","[7.096456909295062, 0.2297010070701966]","[48.43349416193144, 34.17771258358304, 57.25332163092574, 1.0503300441400962]"
"[19.0, 8.0, 51.025992150817636, 90.6180266813136]","[0.16488393147441913, 4.034959433598642, 9.46347708405391, 0.19774228595016358]","[0.7796262914629257, 0.43450530368140694]","[69.99305809301778, 90.0, 1.0, 64.00192953576139, 2.0]","[7.0437627428113965, 0.23488839257912061]","[44.07097086694648, 34.07493616413105, 57.83589397526408, 1.0533559801369667]"
"[21.0, 10.0, 65.25698855614822, 10.0]","[0.2885104062677616, 2.6040416263153627, 7.4237979810654044, 0.30607384279458305]","[0.7175720713905689, 0.658763409469137]","[69.98932469322925, 90.0, 1.0, 142.1244336985408, 2.0]","[7.021082575379562, 0.23719961979038487]","[44.48944839455851, 33.66978190031128, 55.12970118937403, 1.0500673793747328]"
"[14.0, 7.0, 44.95159818560401, 144.4354565724142]","[0.125, 6.2361917444918085, 7.765561484666987, 0.2786930056382604]","[0.7813611557489678, 0.42950416019340676]","[69.8874462608295, 90.0, 1.0, 1.189734101096307, 2.0]","[7.1060055286693204, 0.22894966834897446]","[55.70907626106281, 34.13817902250422, 57.37746423926501, 1.0517354128201257]"
"[19.0, 12.0, 59.815984447457794, 35.895250227643366]","[0.2351750567841102, 3.283616657734709, 7.316655967644656, 0.31514103030390883]","[0.7950530975055559, 0.39056611293798554]","[69.98931170889965, 90.0, 1.0000042613328457, 161.28304603959197, 2.0]","[7.100397648934301, 0.2294417155060698]","[48.74605093754547, 33.9028470427158, 56.62338864053146, 1.0528073227573802]"
"[15.0, 8.0, 47.085418204357104, 124.75286882611428]","[0.2985604038522102, 2.937043876133035, 5.982444464454322, 0.47028976664417443]","[0.7569534345559581, 0.5063517777029699]","[69.9700356532761, 90.0, 1.0, 571.8412561822462, 2.00000121836569]","[7.023963135791632, 0.23695553857323176]","[40.128004281597164, 34.03924505061696, 57.28344101556425, 1.0502020037119435]"
"[15.0, 13.0, 48.008437762354454, 114.97701356706257]","[0.4461848896825017, 2.311410624575412, 4.559266653288004, 0.8093711120014154]","[0.7760653713712262, 0.44516376568197036]","[69.96535874301733, 90.0, 1.0, 56.65959220553647, 2.000039166656922]","[7.096972227569005, 0.22967257799667667]","[53.87625396828196, 34.091523564244916, 57.45215893270784, 1.050814218211125]"
"[18.0, 10.0, 56.7711961535283, 52.62346817740871]","[0.125, 5.612708050750431, 9.141444685302217, 0.20109715983600157]","[0.782687733148628, 0.4254925458389801]","[69.95881190321575, 90.0, 1.0, 49.97381781486499, 2.0]","[6.783246892293862, 0.2628938319918002]","[39.37527119796014, 34.07090776809714, 57.43047973937415, 1.0506846540341057]"
"[13.0, 7.0, 41.654520483628886, 182.92895129044578]","[0.25978192477910844, 2.7583140634918286, 8.008519475256648, 0.2634748336020926]","[0.7668843218222651, 0.47383448853403415]","[69.99820496899737, 90.0, 1.0, 115.57077159974787, 2.0]","[6.9346568215406394, 0.24613072398215816]","[54.567951777468934, 33.6698245700977, 55.012057786227096, 1.0517968008874317]"
"[14.0, 27.0, 44.46885512883395, 149.41695111060932]","[0.18118672557415505, 4.188305349511101, 7.824893494396024, 0.2747629115758584]","[0.7879409235974967, 0.41035263454369014]","[69.9985964162036, 90.0, 1.0, 259.2669192161706, 2.0]","[6.763874412464703, 0.26514264485827665]","[51.66280119001218, 34.10038009686871, 57.683050984365906, 1.0510580326781436]"
"[17.0, 9.0, 52.72187510551185, 78.17812163571476]","[0.125, 5.579377216763231, 9.17730193889616, 0.20001818759129528]","[0.7722575389465445, 0.45687272336193985]","[69.97094054550303, 90.0, 1.0, 83.19725643372203, 2.0]","[7.114027939285827, 0.22869566998564073]","[55.80865231716951, 34.23095545874129, 57.86365761937552, 1.0565355403751304]"
"[16.0, 8.0, 46.5502798609186, 128.32822466654426]","[0.125, 6.333193339390226, 7.434759571238282, 0.30396913713527657]","[0.7376393267962587, 0.5763087049824603]","[69.98355446690404, 90.0, 1.0, 114.08638983628077, 2.0]","[7.051905080076655, 0.23406040051370355]","[49.00026619255796, 34.098870173466786, 57.16284217243495, 1.0506729977133802]"
"[13.0, 11.0, 40.998678871186534, 190.83047732096858]","[0.13526606504934482, 5.653170819757931, 7.785253155493486, 0.2788556666203942]","[0.7762551858625981, 0.44461891567455747]","[69.97707533037591, 90.0, 1.0000187882150182, 296.84084733335453, 2.000039821093749]","[7.103922071273995, 0.22908198331330512]","[42.92837978208104, 34.11630003731662, 57.36007720040769, 1.0507832921311178]"
"[16.0, 11.0, 49.713455468379316, 100.73688760579904]","[0.20895706440273373, 3.9576926716887786, 6.724634483132004, 0.3721454987117779]","[0.7353931468477296, 0.5846170412089771]","[69.99900040092625, 90.0, 1.0, 136.27080445196646, 2.0]","[7.089948793546071, 0.23040963807551826]","[54.057489868311386, 34.27271120480135, 56.835248140374816, 1.051390509497302]"
"[15.0, 8.0, 47.051940303372405, 124.52948886753866]","[0.16830071506631267, 4.0859198967814505, 9.006232988974848, 0.2077729458512292]","[0.7317108733637329, 0.5991080442791046]","[69.98135472688833, 90.0, 1.0, 107.9628116623983, 2.0]","[7.074127230264647, 0.23187570501578464]","[53.60410786610409, 34.13292042361513, 56.82393158981589, 1.051949010527409]"
