Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[13.0, 7.0, 42.09588355185325, 176.6683462458692]","[0.1622783502173075, 4.241694599174007, 9.032104157739262, 0.20593558952140653]","[0.7901079304433642, 0.4042107430172305]","[75.81676578187256, 95.81676578187256, 1.0000000851243884, 432.25888425127766, 2.0000000000292526]","[7.102974076763852, 0.22904736652425423]","[58.81873742352968, 34.02087274462748, 58.38908244334929, 1.0675724308034358]"
"[15.0, 8.0, 48.03969870287844, 114.70057866599073]","[0.41046644986885156, 2.3776176528311357, 4.958121532286763, 0.6833999551434257]","[0.7615768466126869, 0.49084894524794465]","[70.00763895912348, 90.00763895912348, 1.0000000000230045, 764.089215628577, 2.0000000000000004]","[7.203370714254074, 0.22585498663716858]","[77.29427636175652, 32.347038180749124, 81.79222779963607, 1.4259587557157587]"
"[14.0, 7.0, 45.07378510586979, 142.95352527123512]","[0.2251500096506207, 3.1073145585126856, 8.398669870160202, 0.2381706601951923]","[0.7897309185372304, 0.4052702438641532]","[74.17118269166694, 94.17118269166694, 1.0001748856486097, 638.8227543188929, 2.000000000716676]","[7.102974757878775, 0.22904730081531505]","[57.689070534499145, 35.31615257689708, 57.50342947837675, 1.050013378013516]"
"[20.0, 10.0, 64.73032273499047, 12.148312813163072]","[0.24956616588787559, 3.47529765912652, 6.151985102766238, 0.44389344462394986]","[0.7754486869831387, 0.44700559541085616]","[72.58087167228305, 92.58087167228305, 1.0000008783211112, 497.3534543910867, 2.0000000000066374]","[7.102974757092022, 0.22904730089121525]","[71.47240484761974, 33.182601141623365, 71.46689386186569, 1.264969515651499]"
"[15.0, 8.0, 48.54252324582055, 110.34611266472366]","[0.36476887952032133, 2.2686440551909843, 6.281313008539075, 0.44561471103886496]","[0.7744308020136083, 0.45010574992286734]","[74.29900526526117, 94.29900526526117, 1.0000000034303642, 394.19775503112686, 2.000000398714071]","[7.102768291094896, 0.2290672203517218]","[69.6436323670737, 33.33281878423507, 69.64589323132985, 1.2364759419972327]"
"[14.0, 7.0, 45.116099201054524, 142.51640297559652]","[0.16509108603436135, 3.9315949896043936, 9.775999082166463, 0.19625930903927122]","[0.7835439516959473, 0.42295844677938377]","[70.00009868813714, 90.00009868813714, 1.000000000000093, 581.0303204126084, 2.0000112325040695]","[7.102974708666978, 0.22904730556290515]","[52.21892141110716, 34.09855562747521, 58.31295584189538, 1.0596821981367546]"
"[15.0, 8.0, 48.208295436214335, 113.22767587384409]","[0.13428976428171385, 5.0454522569922915, 9.500902825437528, 0.19743216797403013]","[0.7686627885554034, 0.46801399223772944]","[70.00000607552019, 90.00000607552019, 1.0, 158.2396353757871, 2.0000000000000018]","[7.105602690193946, 0.22896259008341474]","[73.2237633534787, 33.4705764881961, 73.17746145980917, 1.292291562435363]"
"[14.0, 7.0, 45.30088893912324, 140.61993103410217]","[0.198812045975364, 3.3780917597624356, 9.046137031025566, 0.2052972288550629]","[0.7879662443828999, 0.41025703665024077]","[72.65042855559771, 92.65042855588544, 1.0003759847504314, 844.7364051189792, 2.0000001557755054]","[7.039672249389117, 0.23526387985792624]","[57.8051183495773, 34.282169923725945, 57.799196455777476, 1.0517600916015897]"
"[14.0, 7.0, 45.32559451519974, 140.36790923529972]","[0.24643010134512727, 3.0642898845210254, 7.489500489260657, 0.29950465364623546]","[0.7861727576533064, 0.41537249896126094]","[69.99999999920908, 90.00000000000009, 1.0000000000000002, 986.9894691733981, 2.0]","[7.10200425181805, 0.22914095345381524]","[61.263519651619504, 33.935894455880785, 61.25201752072778, 1.1058284700981806]"
"[18.0, 9.0, 57.83933712818937, 46.19378478909393]","[0.19058287241646418, 3.3602702947970915, 9.708196097830854, 0.19654207693920855]","[0.7853281715048772, 0.41779821601236716]","[70.1510925577685, 90.1510925577685, 1.0000000696670643, 770.8344837000027, 2.0000166069185377]","[7.102974757880887, 0.22904730081511138]","[54.705737349673235, 34.124773860186195, 57.69448427784446, 1.0500342853389373]"
