Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[17.0, 9.0, 52.88399289078387, 77.01603631765146]","[0.17686694137937597, 3.881994261702304, 8.952503381035637, 0.2096895084909406]","[0.8023787860151836, 0.3709291272513582]","[71.46023180559013, 91.48330718541494, 1.0008543649745354, 629.6412819480595, 2.0008129895516813]","[6.87802042259848, 0.2530097878341003]","[73.51355960999754, 32.98670783438572, 73.5049515254602, 1.3000756578323331]"
"[18.0, 9.0, 56.15578744558831, 56.26040732064342]","[0.19682574363261765, 3.7030426259360447, 8.209472140702585, 0.2500487434717943]","[0.7781245183673589, 0.4389561727257849]","[70.39537194999949, 90.39857609501883, 1.0114072516040313, 497.7882044278222, 2.0035775892103036]","[6.456965151093346, 0.3048271570371287]","[99.96413072062926, 28.1333476938186, 87.90440632409096, 1.9651784191739574]"
"[18.0, 9.0, 57.753695782887156, 46.72039353426675]","[0.24910032714910146, 2.8304417311275634, 8.184234452732586, 0.2512992123818643]","[0.7583619961210867, 0.501714955523335]","[70.1804869483814, 90.18321469864668, 1.011881427917441, 97.02057896849664, 2.0038375325755102]","[7.118124556569556, 0.22857073759083313]","[99.87421322315339, 31.12379905495093, 99.95625379617897, 1.7119526067192892]"
"[18.0, 9.0, 55.78282364665355, 58.48426699039528]","[0.1634647139792546, 4.6964956522897605, 7.674562059548881, 0.2856945581584318]","[0.7831625040073189, 0.42507253986198956]","[79.17444707295252, 99.18131748843645, 1.0009751199858026, 461.0790846200514, 2.002129280907302]","[6.741191032692549, 0.2678291164492144]","[59.45802889474958, 33.90671696737796, 59.12842894397754, 1.084438344401017]"
"[20.0, 10.0, 61.755431445705106, 25.869939350988215]","[0.21666184300067395, 3.1660632325938556, 8.678571559334952, 0.22359597201324044]","[0.7706906532120023, 0.461855829550164]","[72.06123022884236, 92.06604387167795, 1.0031733245208365, 245.95111953607358, 2.0004906433335408]","[6.986806666474067, 0.24287985818164742]","[65.10019905431972, 28.088434510509174, 37.883288507609635, 1.3001894296934617]"
"[15.0, 8.0, 47.66871329195403, 118.01124969713695]","[0.43445639872987213, 2.344569461493765, 4.6932009597728825, 0.7628108354841078]","[0.7929724054601375, 0.39626057988336294]","[72.75396493159379, 92.76076713201057, 1.0013900439264827, 104.07735712008228, 2.002430189189639]","[7.0056651233228, 0.2388283847222715]","[61.94495920713192, 33.98788008179828, 61.897262434850916, 1.116923495388824]"
"[16.0, 8.0, 48.89887884394362, 107.34364377031272]","[0.17278485514202296, 5.276975986697511, 5.601197371040073, 0.5371171854078641]","[0.7902083792552501, 0.40489090275714124]","[74.01931712203564, 94.02267392920622, 1.001345748270523, 157.92236331466853, 2.0231189609891578]","[7.939732391517552, 0.20534753919837556]","[59.61359074843517, 34.4524602159659, 59.603467174226864, 1.0804110300441438]"
"[19.0, 10.0, 61.23810258680733, 28.492881473793265]","[0.31287042808756543, 2.850402734270521, 5.798081576014093, 0.5001024283135064]","[0.8452298855755203, 0.26826319550051136]","[73.04164269089154, 93.05030358056334, 1.000209049800063, 380.36867346949725, 2.0036124091851915]","[7.100113448196358, 0.22994969443043645]","[80.59364939926586, 32.46834150964192, 80.67492363247915, 1.409182630033739]"
"[16.0, 8.0, 49.02811715729799, 106.71787729796677]","[0.33742490860691715, 2.348371848672108, 6.790040736846157, 0.3670964151742616]","[0.8206402536266263, 0.32497207322923205]","[70.00064335128474, 90.00225986432561, 1.0008359646409435, 0.974542369289285, 2.0012098345114664]","[8.117008890954839, 0.20045050842013856]","[99.97772455524319, 30.874290974504238, 99.93106974675892, 1.7191361760971924]"
"[17.0, 9.0, 54.780502766055946, 64.81158582158025]","[0.22809328483268315, 3.5354024561110315, 6.906171279058017, 0.3522396256641319]","[0.8297752696436845, 0.3029729695321274]","[70.67376402082661, 90.67656105888557, 1.0034404121959084, 131.85264448423126, 2.005211750671977]","[7.111078836090485, 0.22892019449058146]","[75.39733895952328, 26.933510855981304, 34.95285361073061, 1.407078747690809]"
"[20.0, 10.0, 64.33032092024794, 14.733896111287844]","[0.2019780866647674, 3.4338754341279705, 8.644403386721836, 0.22521154155830664]","[0.7629649074475433, 0.487009733602483]","[70.06496472028542, 90.06897800144635, 1.0006437777655053, 768.1138425423338, 2.0063602710928983]","[7.735498901376014, 0.21045968156273584]","[69.5108653881857, 31.87032081614768, 57.355777483790895, 1.2347651753942106]"
