Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[13.0, 7.0, 42.083345275476724, 176.83254747852004]","[0.19841913445871776, 3.345119834067805, 9.194415731807604, 0.19882940650198036]","[0.7887272480551317, 0.40812490268978685]","[69.99728206526146, 90.0, 1.0, 370.9001877190538, 2.0]","[7.103973247647592, 0.2290151829810855]","[57.633616650982866, 34.16272356701868, 57.6816837390204, 1.0503154329223185]"
"[13.0, 7.0, 42.096655318406114, 176.6601351038762]","[0.19871253957968124, 3.343776188556952, 9.19273197614527, 0.19887052046886577]","[0.7894756806838331, 0.40599863567005273]","[69.9994897676387, 90.0, 1.0, 494.3132971064303, 2.0]","[7.10197980942096, 0.22916267635286114]","[57.64948583523779, 34.14558391412735, 57.665068053698576, 1.0500963783124273]"
"[13.0, 7.0, 42.085858983128034, 176.8042772297673]","[0.19771105430230562, 3.3603896273729053, 9.190284118289991, 0.19891553468359235]","[0.7887213272401862, 0.4081180635868144]","[69.99414882358009, 90.0, 1.0, 292.01264886696555, 2.0]","[7.1015848540846385, 0.22919446987463488]","[57.51374938829827, 34.15763668112925, 57.65224713311039, 1.0500552882844525]"
"[13.0, 7.0, 42.08661492660003, 176.8565428490458]","[0.19710015492778513, 3.3726960507513177, 9.193574104019334, 0.19883346605029065]","[0.7862880106699089, 0.4150522475423079]","[69.99994608094198, 90.0, 1.0, 560.1567897122658, 2.0]","[7.104987182072191, 0.22901779636307232]","[57.63591851672388, 34.1405334108301, 57.65879856318938, 1.0501728209910512]"
"[13.0, 7.0, 42.09309711026334, 176.7745892966162]","[0.19807166497420206, 3.354835771017528, 9.193068813588438, 0.19885349125167176]","[0.7906140537210695, 0.4027918826311048]","[70.00478729489636, 90.0069463354887, 1.0, 642.8562054550584, 2.0]","[7.103098798293305, 0.22904492747523428]","[57.659458475934734, 34.15737487095836, 57.65197246765365, 1.050056103930998]"
"[13.0, 7.0, 42.09776563625104, 176.72703254050614]","[0.19599119730200987, 3.393454919008768, 9.1878716321534, 0.19903203905636804]","[0.7870516213274334, 0.41287385412147]","[69.99898376186458, 90.0, 1.0, 983.6650459938468, 2.0]","[7.102698283976541, 0.22910718908884]","[57.38244386860806, 34.16004648281229, 57.58323796430724, 1.0500189821368873]"
"[13.0, 7.0, 42.07920063382207, 176.94082788104137]","[0.19792226708165575, 3.3549251698613283, 9.19175219759068, 0.198906083155002]","[0.7901090788985341, 0.40421936647951834]","[69.99991403805753, 90.0, 1.0, 596.666982992284, 2.0]","[7.103170460879231, 0.22904433548098027]","[57.18094304983305, 34.13522847563609, 57.61596907797426, 1.0500010800135617]"
"[13.0, 7.0, 42.06428154276918, 177.07554200145705]","[0.1978985245737305, 3.3596669695989707, 9.192523578060634, 0.19886087534925131]","[0.7887622066870218, 0.40800253395489716]","[69.99883518867563, 90.0, 1.0, 641.230329951295, 2.000154124590077]","[7.103355104606167, 0.2290443255733469]","[57.69497808953242, 34.14204690227968, 57.63130445327098, 1.0500630926051802]"
"[14.0, 7.0, 45.31416985212016, 140.48675936628675]","[0.1980645667668699, 3.3536436251515265, 9.19305702195985, 0.19883452917874878]","[0.7896517086508625, 0.4055029540550157]","[69.9979837723767, 90.0, 1.0, 473.5687286374338, 2.0]","[7.102620603311184, 0.22908511428971032]","[56.88003004869725, 34.13796062840234, 57.65339407726734, 1.0502461981740783]"
"[13.0, 7.0, 42.09133814220973, 176.85932931135173]","[0.19815484426143973, 3.3527469014793, 9.191461839550461, 0.1988941211825981]","[0.788080477251052, 0.4099476588261897]","[69.999006574715, 90.0, 1.0, 790.2503141513134, 2.0]","[7.102996267834924, 0.2290733252866873]","[57.38293997631562, 34.14474627267894, 57.61778396209599, 1.0500637002599178]"
