Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[17.0, 9.0, 54.20729658477712, 68.11472214965683]","[0.125, 8.218196322983175, 9.185194092107904, 0.1991281257753178]","[0.788360591806938, 0.4091386796467461]","[70.0, 90.0, 1.0, 625.8328511550707, 2.0]","[7.0783165652057765, 0.23144262541322844]","[57.692307682207314, 34.79408521271875, 56.173170389153285, 1.05]"
"[20.0, 10.0, 64.74048532234501, 12.1038553660392]","[0.2962182065807706, 2.7816574629390045, 6.705746383838568, 0.373679110179557]","[0.7782683260114939, 0.43850880609701665]","[70.0, 90.0, 1.0, 182.83785259115584, 2.0]","[7.095999076112223, 0.22972157753729228]","[48.56173091563833, 34.09149261751319, 57.70755152850217, 1.0502378038446338]"
"[17.0, 9.0, 55.00811345903495, 62.98904832403465]","[0.4857496667635823, 1.7795504924171923, 5.685083149005873, 0.5198306504301882]","[0.7903978539522698, 0.4033973834591306]","[70.0, 90.0, 1.0, 770.3976196166176, 2.0]","[7.112213749341862, 0.22874976109949374]","[17.674343353701545, 34.46848077192441, 57.48925817178614, 1.05]"
"[14.0, 7.0, 43.94465598750359, 155.02765660517224]","[0.33633478391894817, 2.267078851495293, 7.059413598140188, 0.3372228899688674]","[0.7926055378321518, 0.39724342615545805]","[70.0, 90.0, 1.0, 293.9679222327161, 2.0]","[7.101471504595598, 0.22970514973675704]","[57.69230769225881, 34.09861189052573, 57.38156655572374, 1.0500000000000382]"
"[14.0, 7.0, 45.213447682849505, 141.51480712096878]","[0.3173673477755739, 2.5973024211887283, 6.445796676370144, 0.4043491561633341]","[0.8045349569881696, 0.3651420662673722]","[70.0, 90.0, 1.0, 875.7624704978216, 2.0]","[7.108144963255541, 0.2288865510246607]","[56.850939115774146, 35.120173977399546, 57.69230769217452, 1.0500000000002434]"
"[20.0, 10.0, 64.65386732737322, 12.483244808881322]","[0.20441241094370488, 3.3085222477408776, 8.945625601410091, 0.20993644856154844]","[0.7899942185453979, 0.4045300856857798]","[70.0, 90.0, 1.0, 583.5325453106148, 2.0]","[7.088244225569798, 0.2304742630054478]","[57.69230757323934, 34.3009273895554, 57.69105830053481, 1.0500000000006213]"
"[20.0, 10.0, 63.764556605502335, 16.440960927820512]","[0.125, 6.800376841984457, 8.130503236766403, 0.2541408204528694]","[0.7924802940856743, 0.3978204910020872]","[70.0, 90.0, 1.0000000000006894, 999.1621885838765, 2.000000000001379]","[7.099155143371779, 0.22941618259959298]","[57.694457884756496, 33.52916521963604, 53.91128619525553, 1.0500335430022074]"
"[18.0, 9.0, 56.44994604037388, 54.19115908012383]","[0.125, 6.525012501390785, 9.193690500669588, 0.19882450571234284]","[0.7907799904471727, 0.4023271802015176]","[69.9996264095328, 90.0, 1.0, 325.34322145627743, 2.0]","[7.109970401522295, 0.22895564446587294]","[57.23661284757741, 34.12843749956096, 57.595278667512865, 1.0500012191895758]"
"[19.0, 10.0, 60.9071930336783, 29.99378184912235]","[0.32657301252480747, 2.3969716697675802, 7.061255046063461, 0.3375257695759925]","[0.7868539066427724, 0.4134240296795209]","[70.0, 90.0, 1.0, 291.77571297707846, 2.0]","[7.09969437239023, 0.22936405843904628]","[48.764354253710756, 34.30571124527898, 57.69230769230461, 1.05]"
"[15.0, 8.0, 48.08831596823192, 114.27449891953309]","[0.17564499562819377, 3.8760606858614857, 9.169266905623456, 0.19982050507836063]","[0.7889088238082825, 0.407587718533792]","[70.0, 90.0, 1.0, 43.297489187509065, 2.0]","[7.109030045485707, 0.2288522042586656]","[46.90859744868911, 34.0796249784195, 57.86305308981027, 1.0526636297942102]"
"[16.0, 8.0, 50.75678489139221, 92.4521541913761]","[0.3593121198446385, 2.2308059507561278, 6.668488572554294, 0.3812114925983417]","[0.7738307893865721, 0.4519414884214871]","[70.0, 90.0, 1.0000002485828592, 267.3354143628477, 2.0]","[7.101521806129862, 0.2291875277752232]","[19.122396865628996, 34.44863919135087, 57.69797049251142, 1.0500883396831788]"
"[15.0, 8.0, 47.08334668603288, 123.31363602681135]","[0.125, 7.706025315172891, 8.817141848710289, 0.2160994324665741]","[0.7964164694160367, 0.3867813689115212]","[70.0, 90.0, 1.0, 617.039355606771, 2.0]","[7.104932477195556, 0.22898418827657305]","[55.99182118219967, 34.13691891692605, 57.692307493863034, 1.050000000294641]"
"[16.0, 8.0, 50.52198882749708, 94.25703170744508]","[0.29309795941228894, 2.754588930218927, 6.698206418326898, 0.3749594191547566]","[0.7279340355953524, 0.614397008330145]","[70.0, 90.0, 1.0, 395.455707804802, 2.0]","[7.116604525341801, 0.22878761209439397]","[55.92759113185839, 32.460007152007776, 47.78918167260787, 1.0500470554658072]"
"[15.0, 8.0, 48.45043777382261, 111.13500391685174]","[0.23702789992684115, 2.862201079307106, 8.720339199569647, 0.23943031688954539]","[0.808173264222699, 0.35571621247252394]","[70.0, 90.0, 1.0, 44.892158926151595, 2.0]","[7.075235048320907, 0.23174429984040396]","[33.21833430449962, 34.13200165224559, 57.69941804573325, 1.050110921513439]"
"[15.0, 8.0, 48.36930996236098, 111.88139095576592]","[0.125, 7.2100267532042945, 6.644060492521269, 0.3805801787891378]","[0.789742443702807, 0.40523782459591423]","[70.0, 90.0, 1.0, 120.17594437259301, 2.0]","[7.101716319341934, 0.22916874835589504]","[57.72962184390862, 33.18993003470681, 51.97270148994752, 1.0505821008194085]"
"[17.0, 9.0, 52.773857595068485, 77.7561334008689]","[0.18390003237124716, 3.672132235815903, 9.178310996673403, 0.19942690227744087]","[0.7938797948587043, 0.39372282175549494]","[70.0000045366288, 90.0000045366288, 1.0, 197.76068510392807, 2.0000002115742728]","[7.111499996731702, 0.22877271979163086]","[51.30359728080581, 34.10406714756971, 57.69924116507403, 1.0501081621751551]"
"[14.0, 7.0, 43.5558815228585, 159.4014821428822]","[0.125, 8.503032473973429, 9.069300449459217, 0.2042498295031464]","[0.7912497345710297, 0.4010145012752537]","[70.0, 90.0, 1.0, 397.3167661545831, 2.0]","[7.101947679987319, 0.2291464141328158]","[57.69230772887067, 30.001075021511152, 36.69173831847521, 1.0500000005703825]"
