Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432865, 3.337365298646107, 9.19202432248105, 0.19883230722432896]","[0.7886751315005192, 0.40824829921584693]","[70.0, 90.0, 1.0, 980.4116521843835, 2.0]","[7.102974757880887, 0.22904730081511138]","[57.692307692307686, 34.14762034867441, 57.692307692307644, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432885, 3.3373652986460995, 9.192024322481059, 0.1988323072243289]","[0.7886751373806917, 0.4082482825842072]","[70.0, 90.0, 1.0, 489.4202613859925, 2.0]","[7.1029747578808875, 0.2290473008151113]","[57.692307692307644, 34.1476203486744, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432874, 3.337365298646103, 9.192024322481052, 0.19883230722432896]","[0.7886751332762458, 0.4082482941933333]","[70.0, 90.0, 1.0, 1000.99, 2.0]","[7.102974757880889, 0.22904730081511118]","[57.69230769230766, 34.147620348674415, 57.69230769230767, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.1988323072243285, 3.337365298646109, 9.192024322481053, 0.19883230722432893]","[0.7886751351809437, 0.40824828880603437]","[70.0, 90.0, 1.0, 1000.99, 2.0]","[7.102974757880888, 0.2290473008151112]","[57.69230769230765, 34.1476203486744, 57.692307692307686, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432896, 3.3373652986460995, 9.192024322481052, 0.19883230722432896]","[0.7886751386209787, 0.4082482790761458]","[70.0, 90.0, 1.0, 1000.99, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.69230769230765, 34.1476203486744, 57.692307692307686, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.1988323072243289, 3.3373652986461044, 9.192024322481052, 0.19883230722432896]","[0.7886751345565476, 0.4082482905720931]","[70.0, 90.0, 1.0, 461.605471296147, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.692307692307644, 34.1476203486744, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.1988323072243287, 3.3373652986461058, 9.192024322481048, 0.1988323072243291]","[0.7886751368020167, 0.4082482842209474]","[70.0, 90.0, 1.0, 105.30235800198489, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.692307692307686, 34.147620348674394, 57.692307692307644, 1.05]"
"[14.0, 7.0, 45.33678756476682, 140.253846707717]","[0.19883230722432865, 3.337365298646107, 9.19202432248105, 0.19883230722432896]","[0.7886751377717484, 0.40824828147813197]","[70.0, 90.0, 1.0, 1000.99, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.692307692307665, 34.1476203486744, 57.692307692307665, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432876, 3.337365298646103, 9.19202432248105, 0.19883230722432896]","[0.7886751379275747, 0.4082482810373885]","[70.0, 90.0, 1.0, 912.3224871831374, 2.0]","[7.102974757880887, 0.22904730081511135]","[57.692307692307544, 34.147620348674394, 57.69230769230768, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.1988323072243288, 3.3373652986461027, 9.192024322481052, 0.19883230722432896]","[0.7886751346391564, 0.40824829033844]","[70.0, 90.0, 1.0, 772.2974910783429, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.69230769230767, 34.14762034867441, 57.69230769230766, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432876, 3.337365298646105, 9.19202432248105, 0.19883230722432896]","[0.7886751337854452, 0.40824829275310015]","[70.0, 90.0, 1.0, 576.9474801627886, 2.0]","[7.102974757880888, 0.2290473008151112]","[57.69230769230767, 34.14762034867441, 57.69230769230766, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.198832307224329, 3.337365298646099, 9.19202432248105, 0.198832307224329]","[0.7886751336085119, 0.40824829325354284]","[70.0, 90.0, 1.0, 684.7982302020084, 2.0]","[7.102974757880888, 0.2290473008151112]","[57.69230769230767, 34.147620348674394, 57.69230769230765, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.1988323072243287, 3.3373652986461058, 9.192024322481048, 0.198832307224329]","[0.7886751331971248, 0.40824829441712135]","[70.0, 90.0, 1.0, 152.58530140269463, 2.0]","[7.102974757880888, 0.2290473008151112]","[57.69230769230765, 34.1476203486744, 57.692307692307686, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432876, 3.3373652986461044, 9.192024322481048, 0.198832307224329]","[0.788675135600891, 0.40824828761824405]","[70.0, 90.0, 1.0, 54.89132033839061, 2.0]","[7.1029747578808875, 0.2290473008151113]","[57.692307692307665, 34.1476203486744, 57.69230769230766, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.1988323072243287, 3.3373652986461053, 9.192024322481048, 0.198832307224329]","[0.7886751340379993, 0.40824829203876933]","[70.0, 90.0, 1.0, 945.8392261015201, 2.0]","[7.102974757880889, 0.22904730081511118]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432885, 3.3373652986461027, 9.192024322481052, 0.19883230722432896]","[0.7886751375024351, 0.40824828223986487]","[70.0, 90.0, 1.0, 807.7303459476954, 2.0]","[7.102974757880887, 0.22904730081511138]","[57.692307692307644, 34.1476203486744, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432896, 3.3373652986461, 9.192024322481052, 0.19883230722432896]","[0.7886751351477405, 0.40824828889994713]","[70.0, 90.0, 1.0, 80.42949695228174, 2.0]","[7.102974757880888, 0.2290473008151112]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[14.0, 7.0, 45.33678756476683, 140.25384670771697]","[0.19883230722432896, 3.3373652986461, 9.192024322481052, 0.19883230722432899]","[0.7886751366020059, 0.4082482847866632]","[70.0, 90.0, 1.0, 1000.99, 2.0]","[7.102974757880888, 0.2290473008151112]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432857, 3.3373652986461058, 9.192024322481055, 0.19883230722432893]","[0.7886751346862397, 0.4082482902052684]","[70.0, 90.0, 1.0, 299.83957514233236, 2.0]","[7.102974757880887, 0.22904730081511135]","[57.692307692307644, 34.1476203486744, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432868, 3.337365298646107, 9.192024322481048, 0.198832307224329]","[0.7886751324908258, 0.4082482964148368]","[70.0, 90.0, 1.0, 764.7718067391987, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.1988323072243288, 3.337365298646103, 9.192024322481052, 0.19883230722432896]","[0.7886751359710886, 0.4082482865711669]","[70.0, 90.0, 1.0, 851.2818821747519, 2.0]","[7.1029747578808875, 0.2290473008151113]","[57.69230769230765, 34.1476203486744, 57.692307692307686, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243945]","[0.19883230722432874, 3.337365298646103, 9.192024322481052, 0.19883230722432896]","[0.7886751321932515, 0.408248297256504]","[70.0, 90.0, 1.0, 316.5778883901306, 2.0]","[7.102974757880887, 0.22904730081511135]","[57.692307692307416, 34.147620348674394, 57.69230769230767, 1.05]"
