Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[14.0, 7.0, 45.33678756476682, 140.253846707717]","[0.19883230722380332, 3.33736529865355, 9.192024322495275, 0.198832307224295]","[0.7886751385138125, 0.4082482793792577]","[70.0, 90.0, 1.0, 993.5023389975, 2.0]","[7.102974757880887, 0.22904730081511138]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.098445595770116, 176.63659584615934]","[0.19883230722409936, 3.3373652986510214, 9.19202432247986, 0.1988323072243933]","[0.7886751324832458, 0.408248296436276]","[70.0, 90.0, 1.0, 678.8609576636568, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.69230769230765, 34.1476203486744, 57.692307692307686, 1.05]"
"[14.0, 7.0, 45.3367875647668, 140.2538467077173]","[0.1988323072189302, 3.337365298748107, 9.192024322482242, 0.19883230722436387]","[0.7886751352250038, 0.4082482886814135]","[70.0, 90.0, 1.0, 680.0833592936434, 2.0]","[7.102974757880887, 0.22904730081511135]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.098445595854415, 176.6365958424466]","[0.19883230722393597, 3.3373652986528812, 9.192024322487761, 0.19883230722440626]","[0.7886751355911743, 0.4082482876457269]","[70.0, 90.0, 1.0, 780.0717488390483, 2.0]","[7.102974757880887, 0.22904730081511138]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[14.0, 7.0, 45.336787564766816, 140.25384670771712]","[0.19883230722387807, 3.337365298657307, 9.19202432248322, 0.19883230722433964]","[0.7886751319625025, 0.4082482979091606]","[70.0, 90.0, 1.0, 249.1571701439952, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.692307692307644, 34.1476203486744, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585362, 176.63659584245693]","[0.19883230722425257, 3.33736529865304, 9.192024322485533, 0.1988323072244159]","[0.7886751323177009, 0.4082482969045077]","[70.0, 90.0, 1.0, 550.8556358276699, 2.0]","[7.102974757880888, 0.2290473008151112]","[57.69230769230765, 34.1476203486744, 57.692307692307686, 1.05]"
"[13.0, 7.0, 42.098445595854805, 176.63659584244093]","[0.19883230722329712, 3.337365298667082, 9.192024322511502, 0.19883230722430212]","[0.7886751353332119, 0.40824828837535454]","[70.0, 90.0, 1.0, 1000.99, 2.0]","[7.102974757880887, 0.22904730081511138]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584243956]","[0.19883230722391185, 3.337365298661605, 9.192024322475419, 0.19883230722457984]","[0.7886751326323558, 0.40824829601452944]","[70.0, 90.0, 1.0, 403.0296643396523, 2.0]","[7.1029747578808875, 0.2290473008151113]","[57.692307692307644, 34.1476203486744, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585492, 176.63659584244093]","[0.19883230722423736, 3.33736529866003, 9.19202432247722, 0.19883230722470607]","[0.7886751346463, 0.40824829031823484]","[70.0, 90.0, 1.0, 738.280775505735, 2.0]","[7.102974757880887, 0.22904730081511135]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
"[13.0, 7.0, 42.09844559585491, 176.63659584243953]","[0.19883230722463996, 3.3373652986418363, 9.192024322475893, 0.19883230722465278]","[0.7886751330402306, 0.4082482948608852]","[70.0, 90.0, 1.0, 113.75865086920055, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.692307692307644, 34.14762034867441, 57.69230769230769, 1.05]"
