Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[15.0, 7.0, 45.85048062007494, 135.0969330428881]","[0.12500047582538423, 5.5502201531351085, 9.239895831972039, 0.1986092674454833]","[0.7884135781856098, 0.4089885873674401]","[69.99999355750342, 90.0, 1.0, 1000.9522506260141, 2.0]","[7.102975667072326, 0.22904727227229674]","[56.06170056390961, 34.134727008904605, 57.692303606286124, 1.0500000265426104]"
"[17.0, 9.0, 55.007100807117304, 62.99544010743419]","[0.13384076647237322, 5.173955657766997, 9.192670088891054, 0.19882935470773924]","[0.7900724943630816, 0.40431024090662193]","[69.99999982927366, 90.0, 1.0, 929.4399800397603, 2.0]","[7.102974795833059, 0.22904734000231952]","[52.97772591093015, 34.11289248670271, 57.68758575165087, 1.0500000121593995]"
"[13.0, 7.0, 41.74163344553962, 181.10883654216346]","[0.14953806472528092, 4.58462772503388, 9.193962723070356, 0.19882325228515255]","[0.7884675905965038, 0.4088356304550416]","[69.99998866130879, 90.0, 1.0, 622.0952291282404, 2.0]","[7.10297484236697, 0.22904730383826274]","[51.275205286140526, 33.43806476048117, 53.79704468706186, 1.0500000044529163]"
"[16.0, 8.0, 49.67014516096441, 100.98394721231588]","[0.125, 7.310954124511536, 9.192024884241128, 0.19883232641785512]","[0.79121870458889, 0.4011011198486303]","[69.99998731714302, 90.0, 1.0, 932.890293298552, 2.0]","[7.102975090886588, 0.22904729694843895]","[57.613265921455366, 33.49691425289049, 53.72367124391799, 1.0500000243125032]"
"[16.0, 8.0, 51.81345691156323, 84.57864345622991]","[0.12553120440330906, 5.542784345161648, 9.192298964195695, 0.1988310294992681]","[0.7903136192049679, 0.4036335731268844]","[69.9999996250423, 90.0, 1.0, 1000.99, 2.0]","[7.102974432815285, 0.22904733780510683]","[53.40923016685045, 32.387500926975086, 47.95826266758917, 1.050000117775047]"
"[14.0, 7.0, 42.65150965367416, 169.90170885286938]","[0.12543697203300203, 5.5114823351652005, 9.288761169358466, 0.19838389100869686]","[0.79150792984871, 0.40029433286966803]","[69.99999591277727, 90.0, 1.0, 1000.987933707791, 2.0]","[7.102974596014879, 0.22904733863118887]","[56.48823966237053, 34.13797678686057, 57.692245094647035, 1.0500000152117994]"
"[14.0, 7.0, 44.16109456698022, 152.6502514294599]","[0.125, 5.601254536655672, 9.192022881927434, 0.19883237606705811]","[0.7881052726180876, 0.4098624963599323]","[69.99998737079304, 90.0, 1.0, 852.5849751159752, 2.0]","[7.102974687310547, 0.2290473151725426]","[52.38734398925332, 34.09286007769849, 57.58705959831978, 1.050000003642515]"
"[15.0, 8.0, 47.408784527954275, 120.33115226699529]","[0.15445826899328408, 4.422966955793092, 9.197387139024093, 0.1988072497086614]","[0.7878368018088031, 0.4106246353116837]","[69.99999755558451, 90.0, 1.0, 962.4160354412077, 2.0]","[7.102974569642187, 0.22904732873789393]","[53.41359233521288, 34.11633158395984, 57.69215790797291, 1.0500000591841454]"
"[18.0, 9.0, 57.94058677880224, 45.628211235097645]","[0.12501905902648627, 5.564831484683541, 9.198180181503934, 0.19880350506254255]","[0.7886106535633751, 0.40843070139030413]","[69.99999531442641, 90.0, 1.0, 383.38907793497845, 2.0]","[7.102974443874582, 0.2290473441288646]","[54.586322141886086, 34.10209054852922, 57.556619676584795, 1.0500000078399376]"
"[18.0, 9.0, 58.29011502816761, 43.69288482804724]","[0.13049269525655516, 5.30103029578207, 9.236788807577817, 0.1986237113643096]","[0.7893903460986001, 0.40622911694981056]","[69.99999973872217, 90.0, 1.0, 998.6298773046225, 2.0]","[7.102974669410691, 0.22904733902376714]","[56.32967378187941, 34.127826868700396, 57.636405021802545, 1.0500000016980278]"
