Problem,Algorithm,Best Fitness,Mean,Std,Rank,Best Max Constraint Violation,Mean Constraint Violation,Feasible Run Ratio (%),Best Solution Feasible
Pressure Vessel,L_SHADE,6059.714335048436,6096.924311921019,83.7661651487702,1,0.0,0.0,100.0,Yes
Pressure Vessel,IMODE,6059.714335048436,6059.714335048435,9.282491429618472e-13,1,0.0,0.0,100.0,Yes
Pressure Vessel,LSHADEcnEpSin,6059.714335048436,6062.17928437943,8.531419555717841,1,0.0,0.0,100.0,Yes
Pressure Vessel,SRA,6059.778668184136,6610.897066408947,493.4391987824041,4,0.0,0.0,100.0,Yes
Pressure Vessel,GWO,6059.964022674614,6097.055591926856,152.09782513029768,5,0.0,0.0,100.0,Yes
Pressure Vessel,DE,6060.0032036068405,6423.623924387128,404.9711028923281,6,0.0,0.0,100.0,Yes
Pressure Vessel,ACSA,6071.653527646296,7215.947299667827,1085.036340611845,7,0.0,0.0,100.0,Yes
Pressure Vessel,SSO,6077.583740301603,6464.075374428884,303.9641947880378,8,0.0,0.0,100.0,Yes
Pressure Vessel,NHO,6090.585654695135,6409.827492093987,207.56718873631664,9,0.0,0.0,100.0,Yes
Pressure Vessel,HHO,6096.180629717571,6755.693148185228,425.1554744140304,10,0.0,0.0,100.0,Yes
Pressure Vessel,ACO,6121.187287879588,6662.536882810886,391.55993560995813,11,0.0,0.0,100.0,Yes
Pressure Vessel,CHO,6241.171387403654,7012.2477665182505,448.17910477036173,12,0.0,0.0,100.0,Yes
Pressure Vessel,BPBO,6370.780423128805,7044.05108201776,541.9638543558091,13,0.0,0.0,100.0,Yes
Pressure Vessel,GA,6393.995031535798,7020.411350863128,377.5138557590117,14,0.0,0.0,100.0,Yes
Pressure Vessel,HGSO,7180.784257051743,9518.734806450391,1156.3563864440516,15,0.0,0.0,100.0,Yes
Welded Beam,LSHADEcnEpSin,1.6702177262798563,1.6702177262798568,2.972137055765787e-16,1,0.0,0.0,100.0,Yes
Welded Beam,L_SHADE,1.6702177262801192,1.670217726282174,1.5234553269035714e-12,2,0.0,0.0,100.0,Yes
Welded Beam,IMODE,1.6702177279475654,1.6702177349840444,4.864942579010274e-09,3,0.0,0.0,100.0,Yes
Welded Beam,DE,1.6702731074196286,2.1097879064297502,0.4072954940055434,4,0.0,0.0,100.0,Yes
Welded Beam,GWO,1.6704437335688154,1.6720981110099549,0.0014261325881346851,5,0.0,0.0,100.0,Yes
Welded Beam,NHO,1.6706248137794355,1.7022409121348796,0.04049518114132964,6,0.0,0.0,100.0,Yes
Welded Beam,SRA,1.6708603806317366,1.709295243469166,0.04863351814001527,7,0.0,0.0,100.0,Yes
Welded Beam,BPBO,1.672392372546338,1.8604191271538186,0.19321160091486633,8,0.0,0.0,100.0,Yes
Welded Beam,HHO,1.6934118384517918,2.154252517223894,0.334659798130861,9,0.0,0.0,100.0,Yes
Welded Beam,SSO,1.734861566760583,1.8326173750548442,0.09854661912760608,10,0.0,0.0,100.0,Yes
Welded Beam,ACSA,1.7448650630787044,2.2088719701188753,0.44820526610019157,11,0.0,0.0,100.0,Yes
Welded Beam,ACO,1.7470526844692484,2.050190055814592,0.1657801888765528,12,0.0,0.0,100.0,Yes
Welded Beam,GA,1.7491517141989836,2.4477169712717237,0.5383086185298035,13,0.0,0.0,100.0,Yes
Welded Beam,HGSO,1.8911955519902803,2.2535212737295707,0.23261155098413677,14,0.0,0.0,100.0,Yes
Welded Beam,CHO,1.8965198278456803,2.53244982071155,0.3855232697519461,15,0.0,0.0,100.0,Yes
Three Bar Truss,L_SHADE,263.89584337646835,263.89584337646835,0.0,1,0.0,0.0,100.0,Yes
Three Bar Truss,IMODE,263.89584337646835,263.89584337646835,1.160311428702309e-14,1,0.0,0.0,100.0,Yes
Three Bar Truss,LSHADEcnEpSin,263.89584337646835,263.89584337646835,0.0,1,0.0,0.0,100.0,Yes
Three Bar Truss,NHO,263.89584340105813,263.8959410902464,0.00013781582451733178,4,0.0,0.0,100.0,Yes
Three Bar Truss,SSO,263.8958464792775,263.8973805588555,0.001815834040032652,5,0.0,0.0,100.0,Yes
Three Bar Truss,BPBO,263.8958483014284,263.8977077668722,0.002102266924645819,6,0.0,0.0,100.0,Yes
Three Bar Truss,HHO,263.8958834744751,264.11727454989983,0.6837849075070833,7,0.0,0.0,100.0,Yes
Three Bar Truss,GWO,263.89588594187734,263.8976796651959,0.0015441749639566208,8,0.0,0.0,100.0,Yes
Three Bar Truss,SRA,263.89590553278595,263.896820704335,0.001271249662730222,9,0.0,0.0,100.0,Yes
Three Bar Truss,ACO,263.89615775770227,263.9027425052042,0.005549515736967058,10,0.0,0.0,100.0,Yes
Three Bar Truss,DE,263.896213564722,263.9857936019623,0.14315515118484873,11,0.0,0.0,100.0,Yes
Three Bar Truss,ACSA,263.8986115544415,264.79275907577113,1.3369740753961472,12,0.0,0.0,100.0,Yes
Three Bar Truss,CHO,263.900351657492,264.0796334722507,0.1884013147324496,13,0.0,0.0,100.0,Yes
Three Bar Truss,GA,263.912524066205,264.43505223050465,0.5711661435179723,14,0.0,0.0,100.0,Yes
Three Bar Truss,HGSO,263.9272344870125,264.2979340798949,0.3057382337613869,15,0.0,0.0,100.0,Yes
Multiple Disk,NHO,0.2352424579008037,0.23524247162966624,3.622181592295037e-08,1,0.0,0.0,100.0,Yes
Multiple Disk,HHO,0.2352424579008037,0.23524261523430898,7.683573736235501e-07,1,0.0,0.0,100.0,Yes
Multiple Disk,BPBO,0.2352424579008037,0.2352424579061992,2.095639020055729e-11,1,0.0,0.0,100.0,Yes
Multiple Disk,L_SHADE,0.2352424579008037,0.23524245790080373,2.832791573980247e-17,1,0.0,0.0,100.0,Yes
Multiple Disk,LSHADEcnEpSin,0.2352424579008037,0.23524245790080373,2.832791573980247e-17,1,0.0,0.0,100.0,Yes
Multiple Disk,ACO,0.2352424579008038,0.23524245790081988,3.08590558055619e-14,6,0.0,0.0,100.0,Yes
Multiple Disk,IMODE,0.2352424579017704,0.2352424579059404,6.250587715351744e-12,7,0.0,0.0,100.0,Yes
Multiple Disk,DE,0.2352424579047954,0.23948984096327738,0.005657672750438759,8,0.0,0.0,100.0,Yes
Multiple Disk,SRA,0.2352424580830424,0.23664515030243932,0.002536740048225897,9,0.0,0.0,100.0,Yes
Multiple Disk,SSO,0.2352424585481404,0.23524250475189046,4.5128014497992894e-08,10,0.0,0.0,100.0,Yes
Multiple Disk,GWO,0.2352430128278534,0.23525848896468587,1.4113740784984351e-05,11,0.0,0.0,100.0,Yes
Multiple Disk,ACSA,0.2352527455586066,0.23562201919395168,0.0004505620789024724,12,0.0,0.0,100.0,Yes
Multiple Disk,GA,0.2355573710599999,0.24379149185083537,0.006826240230112333,13,0.0,0.0,100.0,Yes
Multiple Disk,CHO,0.2514717930328651,0.32509942403684755,0.017213300077249638,14,0.0,0.0,100.0,Yes
Multiple Disk,HGSO,0.2541440197402073,0.2988075919971625,0.017259111128673232,15,0.0,0.0,100.0,Yes
Tubular-Column,DE,30.149738037056537,30.186819944485507,0.0834593149671806,1,0.0,0.0,100.0,Yes
Tubular-Column,BPBO,30.149738037056537,30.149738037062267,1.5677384157841477e-11,1,0.0,0.0,100.0,Yes
Tubular-Column,L_SHADE,30.149738037056537,30.149738037056537,0.0,1,0.0,0.0,100.0,Yes
Tubular-Column,IMODE,30.149738037056537,30.149738037056537,0.0,1,0.0,0.0,100.0,Yes
Tubular-Column,LSHADEcnEpSin,30.149738037056537,30.149738037056537,0.0,1,0.0,0.0,100.0,Yes
Tubular-Column,ACO,30.149738066891658,30.16710412419984,0.07617379178366389,6,0.0,0.0,100.0,Yes
Tubular-Column,NHO,30.1497380969468,30.14986339469158,9.552868730674439e-05,7,0.0,0.0,100.0,Yes
Tubular-Column,SSO,30.14973848534392,30.149739559365763,6.571610075041715e-07,8,0.0,0.0,100.0,Yes
Tubular-Column,SRA,30.14975883999589,30.15002340245857,0.00015830622445916462,9,0.0,0.0,100.0,Yes
Tubular-Column,HHO,30.14981553124333,30.16887395659171,0.018145878197504756,10,0.0,0.0,100.0,Yes
Tubular-Column,CHO,30.149930540668848,30.397177949900342,0.2962078443110223,11,0.0,0.0,100.0,Yes
Tubular-Column,GWO,30.150099337810847,30.152283382354696,0.0017214828212603977,12,0.0,0.0,100.0,Yes
Tubular-Column,ACSA,30.151445809645157,30.30791138431764,0.2544230179037723,13,0.0,0.0,100.0,Yes
Tubular-Column,GA,30.175279264098748,30.796582887349192,0.6373896927510037,14,0.0,0.0,100.0,Yes
Tubular-Column,HGSO,30.22373678660324,30.475753747601683,0.14312702449773845,15,0.0,0.0,100.0,Yes
