algorithm,suite,dimension,folder,epoch,pop_size,trial,n_workers,n_problems,runtime_seconds,runtime_minutes,status,error
NHO,classic,2,classic,100,30,1,4,16,16.1811749540002,0.2696862492333366,OK,
ACO,classic,2,classic,100,30,1,4,16,11.538174162999894,0.1923029027166649,OK,
DE,classic,2,classic,100,30,1,4,16,5.686352837999948,0.09477254729999914,OK,
GA,classic,2,classic,100,30,1,4,16,10.831807247999677,0.18053012079999461,OK,
GWO,classic,2,classic,100,30,1,4,16,5.389976937000029,0.08983294895000048,OK,
HGSO,classic,2,classic,100,30,1,4,16,6.639719786000569,0.11066199643334282,OK,
HHO,classic,2,classic,100,30,1,4,16,6.192129400999875,0.10320215668333124,OK,
SSO,classic,2,classic,100,30,1,4,16,4.18618251999942,0.06976970866665701,OK,
ACSA,classic,2,classic,100,30,1,4,16,5.155268139000327,0.08592113565000545,OK,
BPBO,classic,2,classic,100,30,1,4,16,4.134082974999728,0.06890138291666213,OK,
CHO,classic,2,classic,100,30,1,4,16,16.715440518000833,0.27859067530001386,OK,
SRA,classic,2,classic,100,30,1,4,16,10.428555322000648,0.17380925536667746,OK,
L_SHADE,classic,2,classic,100,30,1,4,16,15.483950814999844,0.25806584691666407,OK,
CMA_ES,classic,2,classic,100,30,1,4,16,21.480154394999772,0.3580025732499962,OK,
IMODE,classic,2,classic,100,30,1,4,16,9.752814161999595,0.16254690269999325,OK,
LSHADEcnEpSin,classic,2,classic,100,30,1,4,16,16.407542355999794,0.27345903926666326,OK,
NHO,CEC22,10,CEC22-10D,200,40,1,4,12,101.76919148100023,1.6961531913500039,OK,
ACO,CEC22,10,CEC22-10D,200,40,1,4,12,71.97562076399936,1.1995936793999893,OK,
DE,CEC22,10,CEC22-10D,200,40,1,4,12,35.156865896000454,0.5859477649333409,OK,
GA,CEC22,10,CEC22-10D,200,40,1,4,12,42.961798322000504,0.7160299720333417,OK,
GWO,CEC22,10,CEC22-10D,200,40,1,4,12,34.60363680899991,0.5767272801499985,OK,
HGSO,CEC22,10,CEC22-10D,200,40,1,4,12,37.70756177800013,0.6284593629666688,OK,
HHO,CEC22,10,CEC22-10D,200,40,1,4,12,55.159187982999356,0.9193197997166559,OK,
SSO,CEC22,10,CEC22-10D,200,40,1,4,12,29.432074545999967,0.4905345757666661,OK,
ACSA,CEC22,10,CEC22-10D,200,40,1,4,12,32.54162960099984,0.5423604933499974,OK,
BPBO,CEC22,10,CEC22-10D,200,40,1,4,12,30.37909775800017,0.5063182959666696,OK,
CHO,CEC22,10,CEC22-10D,200,40,1,4,12,62.195755894000285,1.0365959315666715,OK,
SRA,CEC22,10,CEC22-10D,200,40,1,4,12,43.512384881999424,0.7252064146999904,OK,
L_SHADE,CEC22,10,CEC22-10D,200,40,1,4,12,56.543857777000085,0.9423976296166681,OK,
CMA_ES,CEC22,10,CEC22-10D,200,40,1,4,12,86.82423312799983,1.4470705521333305,OK,
IMODE,CEC22,10,CEC22-10D,200,40,1,4,12,41.02556799800004,0.6837594666333341,OK,
LSHADEcnEpSin,CEC22,10,CEC22-10D,200,40,1,4,12,48.31528252899989,0.8052547088166648,OK,
NHO,CEC22,20,CEC22-20D,200,50,1,4,12,159.16174627999953,2.6526957713333257,OK,
ACO,CEC22,20,CEC22-20D,200,50,1,4,12,129.87635963600042,2.1646059939333404,OK,
DE,CEC22,20,CEC22-20D,200,50,1,4,12,56.01211928900011,0.9335353214833352,OK,
GA,CEC22,20,CEC22-20D,200,50,1,4,12,67.51297255000009,1.1252162091666682,OK,
GWO,CEC22,20,CEC22-20D,200,50,1,4,12,53.08018304500001,0.8846697174166669,OK,
HGSO,CEC22,20,CEC22-20D,200,50,1,4,12,57.68965363699954,0.9614942272833257,OK,
HHO,CEC22,20,CEC22-20D,200,50,1,4,12,90.25117604299976,1.5041862673833293,OK,
SSO,CEC22,20,CEC22-20D,200,50,1,4,12,48.93710962499972,0.8156184937499954,OK,
ACSA,CEC22,20,CEC22-20D,200,50,1,4,12,51.733932869000455,0.8622322144833409,OK,
BPBO,CEC22,20,CEC22-20D,200,50,1,4,12,48.02204990700011,0.8003674984500019,OK,
CHO,CEC22,20,CEC22-20D,200,50,1,4,12,95.37826983700052,1.5896378306166752,OK,
SRA,CEC22,20,CEC22-20D,200,50,1,4,12,64.69685694399959,1.0782809490666598,OK,
L_SHADE,CEC22,20,CEC22-20D,200,50,1,4,12,81.40737308799999,1.3567895514666664,OK,
CMA_ES,CEC22,20,CEC22-20D,200,50,1,4,12,144.3729311119996,2.406215518533327,OK,
IMODE,CEC22,20,CEC22-20D,200,50,1,4,12,62.064424308000525,1.0344070718000087,OK,
LSHADEcnEpSin,CEC22,20,CEC22-20D,200,50,1,4,12,66.14458568999999,1.1024097614999997,OK,
NHO,CEC20,50,CEC20-50D,400,60,1,4,10,183.25413137799933,3.0542355229666556,OK,
ACO,CEC20,50,CEC20-50D,400,60,1,4,10,448.76284355499956,7.479380725916659,OK,
DE,CEC20,50,CEC20-50D,400,60,1,4,10,66.49283374400147,1.1082138957333578,OK,
GA,CEC20,50,CEC20-50D,400,60,1,4,10,91.86367231099939,1.5310612051833232,OK,
GWO,CEC20,50,CEC20-50D,400,60,1,4,10,65.2989811210009,1.0883163520166819,OK,
HGSO,CEC20,50,CEC20-50D,400,60,1,4,10,63.662054014001114,1.0610342335666851,OK,
HHO,CEC20,50,CEC20-50D,400,60,1,4,10,99.26449735499955,1.6544082892499925,OK,
SSO,CEC20,50,CEC20-50D,400,60,1,4,10,51.69952955200097,0.8616588258666827,OK,
ACSA,CEC20,50,CEC20-50D,400,60,1,4,10,57.02728569999999,0.9504547616666665,OK,
BPBO,CEC20,50,CEC20-50D,400,60,1,4,10,51.34867374600071,0.8558112291000118,OK,
CHO,CEC20,50,CEC20-50D,400,60,1,4,10,130.52378164000038,2.175396360666673,OK,
SRA,CEC20,50,CEC20-50D,400,60,1,4,10,88.4101385970007,1.4735023099500115,OK,
L_SHADE,CEC20,50,CEC20-50D,400,60,1,4,10,118.2738719200006,1.9712311986666766,OK,
CMA_ES,CEC20,50,CEC20-50D,400,60,1,4,10,564.5554769089995,9.409257948483324,OK,
IMODE,CEC20,50,CEC20-50D,400,60,1,4,10,79.58209923899994,1.326368320649999,OK,
LSHADEcnEpSin,CEC20,50,CEC20-50D,400,60,1,4,10,123.59655226699942,2.0599425377833236,OK,
NHO,CEC20,100,CEC20-100D,500,80,1,4,10,549.6715476509999,9.161192460849998,OK,
