benchmark,benchmark_folder,case_name,parameter,parameter_value,setting_label,mean_fitness,std_fitness,min_fitness,max_fitness,median_fitness,n_values,parameter_order,benchmark_order,parameter_value_order,baseline_mean,relative_change_percent
CEC22-10D,CEC22_selected-10D,baseline,baseline,,Baseline,1688.4963391327979,964.2400228680023,600.0000001820734,2926.951288173334,1600.0666275370243,20,0,0,-1.0,1688.4963391327979,0.0
CEC22-20D,CEC22_selected-20D,baseline,baseline,,Baseline,1804.7717419970286,1065.953280488086,600.0000069132263,3054.658143112575,1787.8769563042777,20,0,1,-1.0,1804.7717419970286,0.0
Classic-2D,classic_selected-2D,baseline,baseline,,Baseline,-51.74083811086516,85.61746915423836,-199.99999999999997,1.5160673017138702e-07,-3.4817147850312686,20,0,2,-1.0,-51.74083811086516,-0.0
CEC22-10D,CEC22_selected-10D,lambda_C_010,lambda_C,0.1,$\lambda_C$=0.10,1714.1202241070357,987.2512387623783,600.0000002625364,2935.18652178292,1600.0732304583516,20,1,0,0.1,1688.4963391327979,1.5175564424023638
CEC22-20D,CEC22_selected-20D,lambda_C_010,lambda_C,0.1,$\lambda_C$=0.10,1803.428700307529,1064.920438615452,600.0000051235871,3078.6961818165973,1789.1354055685015,20,1,1,0.1,1804.7717419970286,-0.07441615237246023
Classic-2D,classic_selected-2D,lambda_C_010,lambda_C,0.1,$\lambda_C$=0.10,-51.74084021468667,85.61747279387409,-199.9999999995307,8.049494580555997e-08,-3.4817147751701185,20,1,2,0.1,-51.74083811086516,4.066075434663453e-06
CEC22-10D,CEC22_selected-10D,lambda_C_030,lambda_C,0.3,$\lambda_C$=0.30,1673.4060004363146,952.7567751171101,600.000000236314,2904.842908426478,1600.254352374402,20,1,0,0.3,1688.4963391327979,-0.8937146232862779
CEC22-20D,CEC22_selected-20D,lambda_C_030,lambda_C,0.3,$\lambda_C$=0.30,1798.9511234373651,1070.376863725656,600.000006835434,3166.035353410277,1602.5775982171278,20,1,1,0.3,1804.7717419970286,-0.3225127269126438
Classic-2D,classic_selected-2D,lambda_C_030,lambda_C,0.3,$\lambda_C$=0.30,-51.740829586608996,85.61745436243392,-199.99999999994068,1.769668011285109e-09,-3.4817147850312393,20,1,2,0.3,-51.74083811086516,-1.6474909332631876e-05
CEC22-10D,CEC22_selected-10D,lambda_C_050,lambda_C,0.5,$\lambda_C$=0.50,1707.6481571994013,979.888915348464,600.0000003163589,2909.0741312136147,1600.085441844579,20,1,0,0.5,1688.4963391327979,1.1342528629016595
CEC22-20D,CEC22_selected-20D,lambda_C_050,lambda_C,0.5,$\lambda_C$=0.50,1770.4570849044783,1036.9739290657826,600.0000074552626,3042.0605624303785,1604.198358761517,20,1,1,0.5,1804.7717419970286,-1.901329475304184
Classic-2D,classic_selected-2D,lambda_C_050,lambda_C,0.5,$\lambda_C$=0.50,-51.74078750246217,85.61738150671326,-199.9999999800599,7.159298764335758e-08,-3.4817147850312686,20,1,2,0.5,-51.74083811086516,-9.7811332095565e-05
CEC22-10D,CEC22_selected-10D,lambda_D_010,lambda_D,0.1,$\lambda_D$=0.10,1741.0641854764538,1004.020314178699,600.0000003762304,2888.597928541258,1600.2794293187321,20,2,0,0.1,1688.4963391327979,3.113293474515581
CEC22-20D,CEC22_selected-20D,lambda_D_010,lambda_D,0.1,$\lambda_D$=0.10,1788.073003368007,1048.599814521058,600.0000073202187,3044.114185914127,1784.6766681296106,20,2,1,0.1,1804.7717419970286,-0.9252548807387675
Classic-2D,classic_selected-2D,lambda_D_010,lambda_D,0.1,$\lambda_D$=0.10,-51.740830009094296,85.61745510003182,-199.9999999994555,5.3994499714481e-08,-3.4817147850312686,20,2,2,0.1,-51.74083811086516,-1.5658368055947154e-05
CEC22-10D,CEC22_selected-10D,lambda_D_030,lambda_D,0.3,$\lambda_D$=0.30,1691.5769095288542,967.7308153790879,600.000000281456,2923.250784432473,1600.0690337270644,20,2,0,0.3,1688.4963391327979,0.18244460024346487
CEC22-20D,CEC22_selected-20D,lambda_D_030,lambda_D,0.3,$\lambda_D$=0.30,1769.5907622913255,1036.5782780623053,600.0000051034841,3090.1799205358407,1605.671398742446,20,2,1,0.3,1804.7717419970286,-1.949331258188603
Classic-2D,classic_selected-2D,lambda_D_030,lambda_D,0.3,$\lambda_D$=0.30,-51.740854285154924,85.61749715308171,-200.0,7.032436994486721e-08,-3.4817147850312686,20,2,2,0.3,-51.74083811086516,3.12602005539487e-05
CEC22-10D,CEC22_selected-10D,lambda_D_050,lambda_D,0.5,$\lambda_D$=0.50,1696.00248617442,973.3165416165536,600.0000002634035,2995.97215309704,1600.3150562557848,20,2,0,0.5,1688.4963391327979,0.4445462431667031
CEC22-20D,CEC22_selected-20D,lambda_D_050,lambda_D,0.5,$\lambda_D$=0.50,1797.3465501281712,1058.8574142518842,600.0000052306572,3071.5267880968404,1777.2457392664357,20,2,1,0.5,1804.7717419970286,-0.41141999822322145
Classic-2D,classic_selected-2D,lambda_D_050,lambda_D,0.5,$\lambda_D$=0.50,-51.74077511079747,85.61736004083551,-200.0,5.203814212785203e-08,-3.481714766156495,20,2,2,0.5,-51.74083811086516,-0.00012176081793587692
