trial_1,trial_2,trial_3,trial_4,trial_5
-189.8929034139379,-186.1838561827326,-193.99997449146312,-180.71084976473952,-193.0763538754715
-195.68944398253498,-197.2754317397228,-194.3184654568486,-194.63469030495605,-194.9425399863059
-197.07299556691774,-197.5526475192062,-198.4211205585283,-197.06704698442752,-199.52838120967152
-199.6001011454608,-198.54690860593652,-199.0456001739388,-198.6827656982974,-199.52838120967152
-199.9379603332379,-199.72746912631305,-199.52924761244353,-199.52595730776315,-199.95901262715387
-199.9379603332379,-199.92902082345364,-199.75071737364186,-199.8883591094294,-199.95901262715387
-199.98579698057085,-199.9665425542021,-199.95502261640047,-199.9496854893011,-199.96479688663493
-199.9964249835193,-199.98989597073307,-199.9948795324404,-199.98530761407036,-199.99105208625429
-199.9968378063119,-199.99447052737614,-199.9948795324404,-199.9942709433675,-199.99516847400403
-199.99812561888086,-199.99964702332232,-199.99918254854308,-199.99857181205195,-199.99913729388382
-199.9993570236833,-199.99964702332232,-199.99918254854308,-199.99923890504755,-199.9995939014801
-199.9995076092692,-199.99982984016404,-199.99980883543918,-199.99956474978228,-199.9997714829083
-199.99964393094743,-199.99990525978737,-199.99986665014555,-199.9996832851159,-199.99997269927206
-199.99968111777713,-199.99999297368814,-199.99999057453925,-199.99984585321607,-199.99999645378824
-199.9996885671386,-199.99999297368814,-199.99999057453925,-199.99988698043853,-199.99999645378824
-199.999700745889,-199.99999822997376,-199.99999057453925,-199.99988698043853,-199.99999645378824
-199.99970266459013,-199.99999831456134,-199.99999610912027,-199.9999118795967,-199.99999645378824
-199.99970317867752,-199.99999962158518,-199.99999610912027,-199.99991377072107,-199.99999645378824
-199.9997041923746,-199.99999980972214,-199.9999968780942,-199.99991631587756,-199.9999965164484
-199.99970423424844,-199.99999999440485,-199.9999968780942,-199.99991631587756,-199.9999965164484
-199.99970423424844,-199.99999999440485,-199.9999968780942,-199.99991631587756,-199.99999652952488
-199.99970423424844,-199.99999999789628,-199.9999968974086,-199.9999165758916,-199.9999965969474
-199.99970423424844,-199.99999999789628,-199.99999701397445,-199.9999166645007,-199.99999659974029
-199.99970423895965,-199.99999999912336,-199.99999703575207,-199.9999167096639,-199.99999660239922
-199.9997042460313,-199.99999999936597,-199.99999703575207,-199.9999167096639,-199.9999966024047
-199.99970424690719,-199.99999999991763,-199.99999703575207,-199.9999167096639,-199.99999660249748
-199.99970424901957,-199.99999999993844,-199.99999704290235,-199.99991671068534,-199.99999660249748
-199.99970424901957,-199.99999999995623,-199.99999704889123,-199.99991671068534,-199.99999660249748
-199.99970426090087,-199.9999999999973,-199.99999704889123,-199.99991671068534,-199.9999966025038
-199.99970426090087,-199.99999999999864,-199.99999704896138,-199.9999167111867,-199.99999660306625
-199.99970426362177,-199.99999999999864,-199.99999704896138,-199.9999167111867,-199.99999660307938
-199.99970426435084,-199.99999999999875,-199.99999704896138,-199.9999167111867,-199.99999660307938
-199.99970426435084,-199.99999999999966,-199.99999704896962,-199.9999167111867,-199.99999660310684
-199.99970426527426,-199.99999999999986,-199.99999704897223,-199.99991671126676,-199.99999660310684
-199.99970426527426,-199.99999999999986,-199.99999704897223,-199.99991671127327,-199.99999660310684
-199.99970426527426,-199.99999999999994,-199.99999704898457,-199.99991671134035,-199.99999660310684
-199.99970426527426,-199.99999999999994,-199.99999704898457,-199.99991671134643,-199.99999660314043
-199.9997042653573,-199.99999999999994,-199.99999704898553,-199.99991671134933,-199.99999660314043
-199.99970426536964,-199.99999999999994,-199.99999704898553,-199.99991671134933,-199.99999660314043
-199.99970426536964,-199.99999999999994,-199.99999704898553,-199.99991671135072,-199.99999660314043
-199.99970426536964,-199.99999999999994,-199.99999704898553,-199.99991671135083,-199.99999660314748
-199.99970426536964,-199.99999999999994,-199.99999704898553,-199.99991671135083,-199.9999966031484
-199.99970426536964,-199.99999999999994,-199.99999704898553,-199.99991671135783,-199.99999660323653
-199.99970426536964,-199.99999999999994,-199.9999970501213,-199.99991671135783,-199.99999660339785
-199.99970426536964,-199.99999999999994,-199.9999970502114,-199.99991671135783,-199.99999660339785
-199.99970426536964,-199.99999999999994,-199.9999970502114,-199.99991671135783,-199.99999660340475
-199.9997042654057,-199.99999999999994,-199.9999970502114,-199.99991671135783,-199.9999966034187
-199.9997042654057,-199.99999999999994,-199.9999970502114,-199.99991671135783,-199.9999966034187
-199.9997042654057,-199.99999999999994,-199.99999705035643,-199.99991671135783,-199.9999966034187
-199.9997042654057,-199.99999999999994,-199.99999705037678,-199.99991671135783,-199.9999966034187
-199.9997042654057,-199.99999999999994,-199.99999705037678,-199.99991671135783,-199.9999966034187
-199.9997042654057,-199.99999999999994,-199.99999705037678,-199.99991671135783,-199.9999966034187
-199.9997042654057,-199.99999999999994,-199.99999705037678,-199.99991671135783,-199.9999966034187
-199.9997042654057,-199.99999999999994,-199.99999705037678,-199.99991671135783,-199.99999660342266
-199.9997042654057,-199.99999999999994,-199.99999705038778,-199.9999167113592,-199.99999660342266
-199.99970426552213,-199.99999999999994,-199.99999705039815,-199.9999167113592,-199.99999660342266
-199.99970426552213,-199.99999999999994,-199.99999705039815,-199.9999167113592,-199.99999660342655
-199.99970426552213,-199.99999999999994,-199.9999970508371,-199.99991671136115,-199.9999966034299
-199.99970426552213,-199.99999999999994,-199.9999970508371,-199.99991671136115,-199.9999966034299
-199.99970426552213,-199.99999999999994,-199.9999970509176,-199.99991671136115,-199.9999966034299
-199.99970426552213,-199.99999999999994,-199.9999970509176,-199.99991671136115,-199.9999966034299
-199.9997042655262,-199.99999999999994,-199.9999970513242,-199.99991671136115,-199.9999966034299
-199.9997042655265,-199.99999999999994,-199.9999970530729,-199.99991671136115,-199.99999660342996
-199.99970426552727,-199.99999999999994,-199.9999970530729,-199.9999167113617,-199.9999966034331
-199.99970426552727,-199.99999999999994,-199.99999705307627,-199.9999167113617,-199.9999966034331
-199.99970426552727,-199.99999999999994,-199.99999705307627,-199.9999167113617,-199.99999660343335
-199.99970426552727,-199.99999999999994,-199.99999705307627,-199.99991671136272,-199.9999966034336
-199.9997042655273,-199.99999999999994,-199.99999705307627,-199.99991671136272,-199.9999966034336
-199.99970426552733,-199.99999999999994,-199.99999705307627,-199.999916711363,-199.9999966034336
-199.99970426552733,-199.99999999999994,-199.99999705307627,-199.99991671136888,-199.99999660343443
-199.99970426552733,-199.99999999999994,-199.99999705307627,-199.99991671141441,-199.99999660343443
-199.99970426552733,-199.99999999999994,-199.99999705307627,-199.99991671141655,-199.99999660343443
-199.99970426552733,-199.99999999999994,-199.99999705308022,-199.99991671142047,-199.99999660343445
-199.99970426552733,-199.99999999999994,-199.99999705308022,-199.99991671143263,-199.99999660343445
-199.99970426552733,-199.99999999999994,-199.99999705309116,-199.99991671143573,-199.99999660343445
-199.99970426552733,-199.99999999999994,-199.99999705309133,-199.99991671143573,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.99999705309133,-199.99991671143573,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.999997053093,-199.99991671143616,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.999997053093,-199.99991671143616,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.999997053093,-199.99991671143616,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.999997053093,-199.99991671143616,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.999997053093,-199.99991671143616,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.99999705309304,-199.9999167114369,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.99999705309304,-199.9999167114369,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.99999705309304,-199.99991671143692,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.99999705309304,-199.9999167114371,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.99999705309304,-199.9999167114371,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.99999705309304,-199.99991671143712,-199.99999660343448
-199.99970426552733,-199.99999999999994,-199.99999705309304,-199.9999167114372,-199.99999660343448
-199.99970426552824,-199.99999999999994,-199.99999705309304,-199.99991671144102,-199.99999660343448
-199.99970426552824,-199.99999999999994,-199.99999705309304,-199.99991671144463,-199.99999660343448
-199.99970426553395,-199.99999999999994,-199.99999705309304,-199.99991671144664,-199.99999660343448
-199.99970426553415,-199.99999999999994,-199.99999705309304,-199.99991671144664,-199.99999660343448
-199.99970426553483,-199.99999999999994,-199.99999705309304,-199.99991671144664,-199.99999660343448
-199.99970426553534,-199.99999999999994,-199.99999705309304,-199.9999167114567,-199.99999660343448
-199.99970426553566,-199.99999999999994,-199.99999705309304,-199.99991671146745,-199.9999966034345
-199.99970426553566,-199.99999999999994,-199.99999705309304,-199.99991671148416,-199.9999966034345
-199.99970426553566,-199.99999999999994,-199.99999705309304,-199.9999167114891,-199.99999660343454
-199.99970426553566,-199.99999999999994,-199.99999705309304,-199.9999167114891,-199.99999660343454
-199.99970426553585,-199.99999999999994,-199.99999705309304,-199.9999167114891,-199.99999660343454
-199.99970426553594,-199.99999999999994,-199.99999705309304,-199.99991671149942,-199.99999660343454
-199.99970426553594,-199.99999999999994,-199.99999705309304,-199.99991671150005,-199.99999660343454
-199.99970426553614,-199.99999999999994,-199.99999705309304,-199.99991671150167,-199.99999660343454
-199.99970426553614,-199.99999999999994,-199.99999705309304,-199.99991671150167,-199.99999660343454
