trial_1,trial_2,trial_3,trial_4,trial_5
-185.78230411110843,-193.63827897970836,-189.6825467268294,-182.60184913283413,-180.14058115440207
-189.21653040618193,-197.09090734557924,-192.6505250415963,-197.1078955095813,-198.60382211789903
-198.53603744400738,-199.2320193703408,-197.28095146690436,-198.31614729567423,-199.8046165723041
-198.89219034193516,-199.23668356851996,-199.90154369136224,-198.31614729567423,-199.8046165723041
-199.81794303110865,-199.82836429692765,-199.90154369136224,-199.94752379864323,-199.8046165723041
-199.89482578844212,-199.99540405821543,-199.9444771537646,-199.94752379864323,-199.97576473234355
-199.9738164728974,-199.99540405821543,-199.9498341664556,-199.94752379864323,-199.97576473234355
-199.98164287032114,-199.9980269864063,-199.9700046704622,-199.98528200805703,-199.98643610312362
-199.99758697118455,-199.9980269864063,-199.99281408745983,-199.98660256243215,-199.9961636880832
-199.99758697118455,-199.99949108848455,-199.99870858726575,-199.99607398533303,-199.9984863897392
-199.99929047918675,-199.99966184588672,-199.99947037642565,-199.99953709821187,-199.99908521363733
-199.9998762229125,-199.99998239548776,-199.99947037642565,-199.99953709821187,-199.999652785102
-199.99997353383029,-199.99998239548776,-199.99960581423625,-199.99986052822595,-199.99991253268809
-199.99997353383029,-199.9999924011296,-199.99960581423625,-199.99992766096634,-199.99991253268809
-199.9999922206729,-199.99999764535886,-199.9996542835674,-199.9999882757282,-199.99997674604091
-199.99999515697885,-199.99999805637634,-199.99966763836423,-199.9999951765114,-199.9999811242641
-199.99999777567467,-199.99999899906925,-199.99966763836423,-199.99999877093654,-199.99998422916957
-199.99999908382057,-199.99999979777436,-199.9996695968872,-199.99999955471154,-199.99998422916957
-199.99999908382057,-199.99999994437033,-199.99967225929262,-199.99999975745357,-199.99998422916957
-199.99999908382057,-199.99999994437033,-199.99967225929262,-199.99999994325256,-199.9999849994034
-199.99999908736066,-199.9999999779077,-199.99967232913468,-199.9999999983975,-199.9999849994034
-199.99999908736066,-199.9999999779077,-199.99967232913468,-199.9999999983975,-199.99998504219832
-199.99999908736066,-199.9999999779077,-199.99967237475653,-199.99999999917094,-199.9999850425287
-199.99999908736066,-199.9999999779077,-199.99967237475653,-199.99999999917094,-199.9999850425287
-199.99999908736066,-199.99999997790954,-199.99967238206335,-199.99999999919132,-199.9999850425287
