trial_1,trial_2,trial_3,trial_4,trial_5
-181.19722162413547,-185.4888987040818,-193.78626129967114,-191.67560077875217,-185.4326245697254
-193.29777055598163,-196.10205763238457,-198.54071634927547,-195.27250694395275,-199.09326074496838
-196.07947897884637,-198.96435298613056,-198.54071634927547,-199.5357486318971,-199.16596269443104
-199.5816101494288,-199.55910020741698,-199.84220832024397,-199.8858038578263,-199.16596269443104
-199.82238345220534,-199.56773327816882,-199.93260790506062,-199.8858038578263,-199.89410484764255
-199.91330669109294,-199.87727317680282,-199.94758395278123,-199.8858038578263,-199.89410484764255
-199.9330108779359,-199.9695593781761,-199.9743524187101,-199.95447025600657,-199.95033934351326
-199.99645413578972,-199.9695593781761,-199.99550023385626,-199.9891303250575,-199.98569082658673
-199.9983739937075,-199.99565018081006,-199.99550023385626,-199.9982059894358,-199.99650317227918
-199.99904658026824,-199.99900624353137,-199.99977713822364,-199.99901295010957,-199.99779954876823
-199.9992648925777,-199.99900624353137,-199.99977713822364,-199.99968424367472,-199.99968078931533
-199.99987008408962,-199.9998554610716,-199.99980417866234,-199.99988692237872,-199.99995402852048
-199.9999594838455,-199.99992037094648,-199.99999543891008,-199.99988692237872,-199.99996157440359
-199.99995976299135,-199.99995474684678,-199.99999543891008,-199.9999341578687,-199.99998961751376
-199.99998010948465,-199.99999704362727,-199.99999543891008,-199.99994100655334,-199.99998961751376
-199.99999332132361,-199.99999704362727,-199.9999990308821,-199.99994353902323,-199.99999808928982
-199.999993321366,-199.99999704362727,-199.99999916268104,-199.99994353902323,-199.99999928400516
-199.999993321366,-199.99999842105427,-199.99999950189041,-199.99994417217133,-199.99999989973094
-199.99999339980758,-199.99999856692327,-199.9999998980886,-199.99994417217133,-199.99999989973094
-199.99999339980758,-199.99999908306506,-199.9999998980886,-199.99994441796963,-199.99999993372592
-199.99999339980758,-199.99999934517595,-199.99999989876486,-199.99994468385657,-199.999999970749
-199.99999339980758,-199.99999936931613,-199.9999999306998,-199.99994500955617,-199.99999998391115
-199.99999349643693,-199.99999937591463,-199.99999996713836,-199.99994503309568,-199.99999999721726
-199.99999350878042,-199.99999937591463,-199.99999996713836,-199.99994511046611,-199.99999999932183
-199.99999350878042,-199.9999993854888,-199.99999996713836,-199.99994512333157,-199.99999999963796
-199.99999350878042,-199.9999993854888,-199.99999996713836,-199.99994512333157,-199.99999999979946
-199.99999350878042,-199.9999993854888,-199.99999996856988,-199.99994513089592,-199.99999999993761
-199.99999354292615,-199.9999993855232,-199.99999996856988,-199.99994513254643,-199.99999999996678
-199.9999935437494,-199.9999993855232,-199.99999996856988,-199.99994513325387,-199.99999999999437
-199.9999935442847,-199.99999938562132,-199.99999996856988,-199.99994513325387,-199.99999999999986
-199.9999935442847,-199.999999385697,-199.99999996856988,-199.99994513325387,-199.99999999999986
-199.99999354547535,-199.99999938571221,-199.99999996856988,-199.99994513334488,-199.99999999999986
-199.99999354560308,-199.99999938571221,-199.99999996856988,-199.99994513334488,-199.99999999999986
-199.99999354560308,-199.999999385723,-199.99999996856997,-199.999945134241,-199.99999999999986
-199.99999354561697,-199.999999385723,-199.99999996856997,-199.9999451344445,-199.99999999999994
-199.99999354561697,-199.999999385723,-199.99999996856997,-199.99994513453635,-199.99999999999997
-199.99999354561697,-199.99999938572478,-199.99999996857431,-199.9999451345662,-200.0
-199.99999354578657,-199.9999993857271,-199.99999996857693,-199.9999451345662,-200.0
-199.9999935458096,-199.99999938572762,-199.99999996857832,-199.9999451345662,-200.0
-199.9999935458096,-199.99999938573393,-199.99999996857852,-199.99994513465117,-200.0
-199.9999935458096,-199.99999938573393,-199.99999996857858,-199.99994513472708,-200.0
-199.9999935458096,-199.99999938573393,-199.99999996857863,-199.99994513472936,-200.0
-199.99999354581425,-199.99999938573728,-199.99999996857875,-199.99994513475545,-200.0
-199.99999354581425,-199.99999938573728,-199.99999996857875,-199.99994513475707,-200.0
-199.99999354971587,-199.9999993857451,-199.99999996857875,-199.9999451347716,-200.0
-199.99999354971587,-199.9999993857451,-199.99999996857878,-199.9999451347716,-200.0
-199.99999354971587,-199.9999993857451,-199.99999996857878,-199.9999451347716,-200.0
-199.99999354971587,-199.99999938574535,-199.99999996857878,-199.9999451347716,-200.0
-199.99999354978794,-199.9999993857454,-199.99999996857878,-199.9999451348495,-200.0
-199.99999354978794,-199.9999993857454,-199.99999996857878,-199.9999451348495,-200.0
-199.99999354980474,-199.9999993857454,-199.99999996857878,-199.99994513486087,-200.0
-199.9999935498279,-199.9999993857454,-199.99999996857878,-199.99994513487803,-200.0
-199.9999935498279,-199.9999993857454,-199.99999996857878,-199.99994513487803,-200.0
-199.99999354983754,-199.9999993857454,-199.99999996857878,-199.9999451348814,-200.0
-199.99999354983754,-199.9999993857454,-199.9999999685788,-199.99994513488147,-200.0
-199.99999354984098,-199.9999993857454,-199.99999996857898,-199.99994513488147,-200.0
-199.9999935498562,-199.9999993857454,-199.99999996857898,-199.99994513488147,-200.0
-199.9999935498562,-199.9999993857455,-199.99999996857898,-199.9999451349138,-200.0
-199.99999354985874,-199.9999993857455,-199.99999996858142,-199.99994513500593,-200.0
-199.99999354985874,-199.99999938574553,-199.99999996858716,-199.9999451350281,-200.0
-199.99999354985874,-199.99999938574558,-199.99999996858827,-199.9999451350281,-200.0
-199.99999354985874,-199.99999938574558,-199.9999999685883,-199.9999451350324,-200.0
-199.99999354985874,-199.99999938574558,-199.99999996858844,-199.9999451350324,-200.0
-199.99999354985874,-199.99999938574558,-199.99999996858855,-199.9999451350324,-200.0
-199.99999354985894,-199.99999938574558,-199.99999996858855,-199.99994513508338,-200.0
-199.99999354985894,-199.99999938574558,-199.99999996858858,-199.99994513510313,-200.0
-199.9999935498592,-199.99999938574558,-199.99999996858858,-199.99994513511524,-200.0
-199.9999935498592,-199.99999938574558,-199.99999996858858,-199.99994513512488,-200.0
-199.9999935498592,-199.99999938574558,-199.99999996858858,-199.99994513512488,-200.0
-199.9999935498592,-199.99999938574558,-199.99999996858858,-199.99994513512956,-200.0
-199.99999354985957,-199.99999938574558,-199.99999996858858,-199.99994513571042,-200.0
-199.99999354985957,-199.99999938574558,-199.9999999685886,-199.99994513572125,-200.0
-199.99999354985957,-199.99999938574558,-199.99999996858864,-199.99994513572125,-200.0
-199.99999354985957,-199.99999938574558,-199.99999996858864,-199.99994513572125,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513572125,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513572904,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513572904,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513572904,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513572904,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513573762,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513574043,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513574043,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513574043,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513574043,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513574043,-200.0
-199.9999935498596,-199.99999938574558,-199.99999996858864,-199.99994513574043,-200.0
-199.99999354985965,-199.99999938574558,-199.99999996858864,-199.99994513574043,-200.0
