trial_1,trial_2,trial_3,trial_4,trial_5
-187.09534215561948,-182.45021666748423,-198.14477536210256,-197.2718405884079,-191.19415081900615
-188.88072822581847,-199.17002557115393,-198.14477536210256,-197.2718405884079,-195.06631407505876
-198.82018971198596,-199.26036821020236,-198.37300545359832,-198.6184447858831,-197.21954612666312
-199.47714963273663,-199.7063726989827,-199.628754575164,-199.34544098826694,-198.97830547001024
-199.5922527022505,-199.7063726989827,-199.90034926863075,-199.84029218213425,-199.69757590283004
-199.8913637818054,-199.87399810392196,-199.94222968317976,-199.88832625356878,-199.98020426229323
-199.95832035542003,-199.97069521632562,-199.95072121076055,-199.97969736460578,-199.98020426229323
-199.99505921919527,-199.9950448901677,-199.99774777114314,-199.99314246836727,-199.98390594806247
-199.99670555618135,-199.99535086544896,-199.99774777114314,-199.99714201563387,-199.98883619235383
-199.99900276205466,-199.99936648439532,-199.99899533515722,-199.9982095943134,-199.99813155652393
-199.9999715394551,-199.99971428796937,-199.99961341437282,-199.99944935169998,-199.99967688608845
-199.9999715394551,-199.9998979593494,-199.99980436009676,-199.99988534599285,-199.99972791658547
-199.9999715394551,-199.99992539185652,-199.99992403497137,-199.999975015391,-199.99977185597177
-199.99997615050268,-199.99999257371647,-199.99992403497137,-199.99998471350253,-199.99984277845374
-199.99999500447524,-199.99999602544946,-199.99996014786169,-199.9999977180947,-199.999874735844
-199.9999995375072,-199.99999875495328,-199.99996056367794,-199.9999977180947,-199.9998797166684
-199.9999995375072,-199.99999958540144,-199.99996148840998,-199.9999987490406,-199.99987971720853
-199.9999995375072,-199.99999966414097,-199.99996148840998,-199.99999881263207,-199.9998806534509
-199.99999978413777,-199.99999993199532,-199.99996148840998,-199.99999887606842,-199.9998806534509
-199.9999999213342,-199.99999998717655,-199.99996148840998,-199.99999888004666,-199.99988112235772
-199.99999995032357,-199.99999998717655,-199.99996157714165,-199.99999888004666,-199.99988112235772
-199.9999999753988,-199.99999999216186,-199.99996157714165,-199.99999888004666,-199.99988112235772
-199.9999999976397,-199.99999999539511,-199.99996158291182,-199.99999888104676,-199.99988114194377
