trial_1,trial_2,trial_3,trial_4,trial_5
-187.39621791862115,-191.53684019672022,-183.861101000981,-188.51612480768318,-182.40764766319143
-198.35782063220333,-198.77369126088385,-195.7734988089459,-197.75586008531997,-194.4531627612764
-198.35782063220333,-198.77369126088385,-198.47431412216392,-197.75586008531997,-199.35731576921395
-199.48754859498504,-199.29772815287325,-199.6243414317178,-199.11395003330884,-199.60332217007178
-199.83362491542164,-199.73705824685882,-199.90108870445084,-199.8285626762033,-199.89907891144048
-199.90585384845429,-199.75585184128474,-199.95182668769323,-199.98135769822215,-199.89907891144048
-199.94563068793346,-199.9439909836172,-199.97659646580388,-199.98135769822215,-199.97257198043212
-199.97023213784212,-199.99282095449152,-199.99225397703484,-199.99441081400354,-199.98936056885418
-199.99236692280306,-199.99282095449152,-199.9967734118903,-199.99441081400354,-199.99801895064297
-199.99236692280306,-199.99655004778245,-199.9967734118903,-199.99722021072176,-199.99801895064297
-199.99236692280306,-199.99967733431686,-199.99959811887595,-199.99946416109603,-199.9995227627797
-199.99327950706575,-199.99967733431686,-199.99988931950782,-199.9997091201664,-199.99989664892982
-199.99328548792784,-199.99989926495778,-199.99988931950782,-199.9999328045114,-199.99989664892982
-199.99501755986162,-199.99998837192427,-199.99988931950782,-199.99993704354836,-199.99998252975567
-199.9950235212697,-199.99999665149372,-199.99996147917233,-199.99997333318714,-199.99999172946664
-199.9950235212697,-199.99999665149372,-199.99996147917233,-199.99998162130225,-199.99999566301264
-199.99502542639567,-199.99999665149372,-199.99996147917233,-199.9999842315956,-199.99999876982108
-199.9950350434758,-199.99999906310353,-199.99996147917233,-199.9999842315956,-199.99999936086456
-199.9950369695712,-199.9999994225582,-199.99996147917233,-199.99998447334858,-199.99999936086456
-199.9950372293148,-199.99999948045172,-199.99996153389344,-199.99998447334858,-199.99999991621772
-199.99503732887783,-199.99999954389375,-199.99996153389344,-199.99998447334858,-199.99999991621772
-199.99503732887783,-199.99999954389375,-199.99996153389344,-199.99998447334858,-199.99999993353862
-199.99503732887783,-199.99999954389375,-199.99996153389344,-199.9999851969778,-199.99999995116568
-199.99503732887783,-199.99999954389375,-199.9999615357487,-199.9999851969778,-199.9999999615532
-199.99503732887783,-199.99999954389375,-199.99996153793617,-199.9999851969778,-199.99999997307822
-199.99503733468143,-199.99999954391077,-199.99996153793617,-199.9999852094748,-199.99999997307822
-199.99503733468143,-199.99999954394798,-199.99996153807072,-199.9999852094748,-199.99999997491946
-199.9950373352126,-199.99999954399357,-199.99996153807072,-199.99998521996434,-199.99999997491946
-199.99503733628717,-199.99999954399357,-199.9999615385857,-199.99998521996434,-199.99999997491946
-199.9950373384086,-199.99999954399357,-199.9999615385857,-199.99998521996434,-199.99999997513348
